city,total,suitable,semi_suitable,inappropriate
acrelandia,3458.90903432,151.81122956,2793.3418908000012,513.75591396
assis brasil,1539.00000001,220.6374843,1047.26415756,271.09835815
brasileia,5938.60526852,1047.71293463,4371.75266403,519.13966986
bujari,2329.47548288,166.49038745,1771.73333602,391.25175941
capixaba,2360.99999998,333.51279341,1690.06637504,337.42083153
cruzeiro do sul,18573.49389469,1354.95604933,15026.96297975,2191.57486561
epitaciolandia,4407.47654001,573.68432882,3513.3336641,320.45854709
feijo,7051.96037346,53.56871652,4931.05237296,2067.33928398
jordao,1301.88913548,60.90488321,755.5534723,485.43077997
mancio lima,3589.27629347,18.91493215,3100.01916389,470.34219743
manoel urbano,1859.26381287,151.53744978,1315.56026856,392.16609453
marechal thaumaturgo,2742.46501915,165.25361551,1506.55439963,1070.65700401
placido de castro,4747.75593468,248.16804864,3912.73721627,586.85066977
porto acre,4026.99999999,46.76037665,3307.00470191,673.23492143
porto walter,1688.75080447,-,1065.90616664,622.84463783
rio branco,94184.06763554,24864.25774194,67376.07697303,1943.73292057
rodrigues alves,3138.41618929,155.84077885,2137.89322836,844.68218208
santa rosa do purus,810.71640674,47.98344003,420.56184905,342.17111766
sena madureira,9311.02422104,627.30634366,7104.65305882,1579.06481856
senador guiomard,5589.37038587,319.00451452,4780.79314059,489.57273076
tarauaca,7499.25694399,304.88669338,5103.24086291,2091.1293877
xapuri,4494.43253151,674.7353785,3193.36199594,626.33515707
