city,quantity
acrelandia,12519.42766687
assis brasil,6023.0
brasileia,21276.00058955
bujari,8451.42644861
capixaba,8798.0
cruzeiro do sul,78128.01088133
epitaciolandia,15083.47654002
feijo,32328.28112029
jordao,6563.7782709
mancio lima,15151.84372573
manoel urbano,7952.93108389
marechal thaumaturgo,14130.37496014
placido de castro,17154.45463523
porto acre,14862.0
porto walter,9066.39450525
rio branco,333573.01691133
rodrigues alves,14371.98002059
santa rosa do purus,4671.71640676
sena madureira,37837.37879551
senador guiomard,20029.32303258
tarauaca,35475.01778907
xapuri,16059.29759455
