city,total,suitable,semi_suitable,inappropriate
agua branca,4718.45663183,1101.31631133,3000.43374291,616.70657759
anadia,4658.73722656,604.25290171,3850.62574582,203.85857903
arapiraca,58277.23791289,7721.15739714,49684.46233816,871.61817759
atalaia,10885.75803413,1627.80615444,8781.74306709,476.20881260000004
barra de santo antonio,3507.61320131,557.00264742,2841.68997525,108.92057864
barra de sao miguel,1978.56462111,737.88329613,1193.07946034,47.60186464
batalha,4326.68638944,551.20429466,3510.99379675,264.48829803
belem,1298.16980946,42.40633979,1146.81924564,108.94422403
belo monte,1813.99999998,191.09217265,1415.48719095,207.42063638
boca da mata,6617.60003085,3119.14431506,3264.35081933,234.10489646
branquinha,2467.82656909,578.52365842,1679.01296309,210.28994758
cacimbinhas,2884.97064194,-,2600.70657692,284.26406502
cajueiro,4858.89125017,332.99331777,4335.33053633,190.56739607
campestre,1664.6358392999994,512.05776742,1046.75946812,105.81860376
campo alegre,10933.97781839,618.86273039,10239.49780131,75.61728669
campo grande,2367.99999999,145.02449136,2120.3539744000004,102.62153423
canapi,4478.51844402,68.85514926,3514.82126391,894.84203085
capela,4119.27166201,1289.2547552,2537.00560649,293.01130032
carneiros,2025.67284796,-,1882.9279851,142.74486286
cha preta,1867.5531660999998,82.80616598,1578.87756249,205.86943763
coite do noia,2973.81863034,31.36816273,2600.27568288,342.17478473
colonia leopoldina,5257.81050613,1987.90980719,2994.366306,275.53439294
coqueiro seco,1521.99999997,173.0937935,1289.51016995,59.39603652
coruripe,13411.73546424,1629.43428725,11545.80876399,236.492413
craibas,5888.34813652,275.65772981,5016.0305524,596.65985431
delmiro gouveia,13184.41160857,7264.01405727,5687.34467307,233.05287823
dois riachos,2935.91716968,35.39541263,2528.080247,372.44151005
estrela de alagoas,4992.93813772,135.17317341,4325.86932522,531.89563909
feira grande,5656.37356117,46.24347787,4826.21443123,783.91565207
feliz deserto,1201.77018297,14.86884632,1145.78451178,41.11682487
flexeiras,3186.54066827,1142.07409485,1654.57210744,389.89446598
girau do ponciano,9022.18243818,97.14363611,7351.07020535,1573.96859672
ibateguara,4144.00000003,1878.57453754,2105.29470318,160.13075931
igaci,7105.95750069,132.84411003,6461.03870992,512.07468074
igreja nova,6262.38873251,190.31978007,5741.50637399,330.56257845
inhapi,4394.21867402,245.10107784,3406.09508088,743.0225153
jacare dos homens,1380.13205382,50.39661308,1272.15793216,57.57750858
jacuipe,1690.3732645,319.30591398,1183.94952685,187.11782367
japaratinga,1995.85139321,133.63186619,1601.02128485,261.19824217
jaramataia,1386.70788003,6.81127078,1264.44343723,115.45317202
jequia da praia,2910.4605689,40.97132941,2674.28352475,195.20571474
joaquim gomes,5509.56496394,361.23763057,4437.47377554,710.85355783
jundia,1123.82358682,17.95073232,1008.37199,97.5008645
junqueiro,6370.02269259,60.15638094,6136.23165929,173.63465236
lagoa da canoa,4802.20194082,137.30905485,4365.66132022,299.23156575
limoeiro de anadia,6779.44644868,216.98878363,5910.16247148,652.29519357
maceio,273923.80756726,89943.66414776,183473.19179531,506.95162419
major isidoro,5124.54159224,408.99492065,4270.03805415,445.50861744
mar vermelho,1038.40353329,138.58293407,813.39636486,86.42423436
maragogi,7358.06541187,1409.45334823,5373.81013358,574.80193006
maravilha,2686.99999999,147.92417183,2119.21782243,419.85800573
marechal deodoro,12252.19574202,2662.76471826,9494.56790326,94.8631205
maribondo,3828.00000003,1688.28219422,2059.14666064,80.57114517
mata grande,6257.99098116,716.78116765,4339.33070504,1201.87910847
matriz de camaragibe,5902.99400204,277.02107997,5383.65219818,242.32072389
messias,3893.33376061,854.60408713,2946.76406014,91.96561334
minador do negrao,1471.00000001,3.18523728,1319.06878818,148.74597455
monteiropolis,1697.99999999,3.32711775,1556.97794708,137.69493516
murici,6128.67273743,2499.5849534,3138.22783373,490.85995030000004
novo lino,3230.99999996,463.34495268,2308.62581069,459.02923659
olho d'agua das flores,5475.50201712,38.1679859,5178.41163095,258.92240027
olho d'agua do casado,2118.93974278,184.90477974,1742.43178111,191.60318193
olho d'agua grande,1303.0,-,1090.14590451,212.85409549
olivenca,2902.25218104,21.82566324,2507.1557124,373.2708054
ouro branco,2957.47812318,20.49171924,2582.50820859,354.47819535
palestina,1274.23722831,39.44814088,1210.55360161,24.23548582
palmeira dos indios,20353.63133763,1656.33554932,18015.30906304,681.98672527
pao de acucar,6072.3995417,830.8539719,4850.05061965,391.49495015
pariconha,2603.00000002,39.75304977,2309.08909057,254.15785968
paripueira,2836.3090356,196.67476091,2537.37384122,102.26043347
passo de camaragibe,3734.7965770000014,43.92124052,3281.23165888,409.6436776
paulo jacinto,2102.4054751,187.03104962,1807.41623005,107.95819543
penedo,16355.44255386,3886.6595134,12359.92194991,108.86109055
piacabucu,4648.1326766,1459.48316158,3107.1341239,81.51539112
pilar,8830.8750055,1444.84884101,7319.74488756,66.28127693
pindoba,757.76941595,-,697.8345082000003,59.93490775
piranhas,5739.67124058,2111.61905757,3293.94887556,334.10330745
poco das trincheiras,3331.20375911,9.7525441,2676.88984448,644.56137053
porto calvo,6433.08781535,681.00582338,5398.96748133,353.11451064
porto de pedras,2223.50547226,16.34442479,1906.87306259,300.28798488
porto real do colegio,5099.05931863,1144.24772775,3447.2429733000013,507.56861758
quebrangulo,3007.92224651,218.0738756,2495.74693909,294.10143182
rio largo,18442.73533329,4062.26872467,14174.54586419,205.92074443
roteiro,1657.82500019,80.44937874,1515.72313694,61.65248451
santa luzia do norte,1871.94985798,43.38682551,1810.19313031,18.36990216
santana do ipanema,11960.73927186,574.94506213,10362.48431644,1023.30989329
santana do mundau,2788.35686653,115.28055817,2348.96544781,324.11086055
sao bras,1825.80722414,114.5774788,1682.91658212,28.31316322
sao jose da laje,5902.31015082,2571.50270798,2840.00010813,490.80733471
