city,total,suitable,semi_suitable,inappropriate
amapa,1784.0,61.99482099,1570.80168512,151.20349389
calcoene,2256.99999999,75.34308581,2011.72065691,169.93625727
cutias,1032.77518685,6.79558061,902.01196727,123.96763897
ferreira gomes,1325.2816602,50.9532381,1144.38754619,129.94087591
itaubal,949.0,74.00779237,666.51298843,208.4792192
laranjal do jari,9811.15868302,603.73353422,9015.22758362,192.19756518
macapa,94410.10924013,11194.87809618,81756.21078131,1459.02036264
mazagao,3528.70265842,74.20814408,2324.17365284,1130.3208615
oiapoque,4652.91398704,241.69436502,3778.61214931,632.60747271
pedra branca do amapari,2500.8571213000005,28.6138017,2136.53699891,335.70632069
porto grande,4112.0,80.61394979,3645.3712151999994,386.01483501
pracuuba,787.57170016,11.03066489,648.80829691,127.73273836
santana,22291.29370868,1592.24513549,20156.96278074,542.08579245
serra do navio,1141.29454272,349.79336205,745.00586404,46.49531663
tartarugalzinho,2812.31420647,79.79458826,2213.78134156,518.73827665
vitoria do jari,2744.24571817,140.82176562,2449.91129033,153.51266222
