city,total,suitable,semi_suitable,inappropriate
alvaraes,2479.998693,245.81577369,1615.1681589000002,619.01476041
amatura,1637.76043334,83.48675738,1188.39083998,365.88283598
anama,1871.91823844,20.71673808,1271.17693679,580.02456357
anori,3075.0,42.21503405,2180.11297432,852.67199163
apui,4602.90797769,49.20334847,3906.58781621,647.11681301
atalaia do norte,2886.62775956,18.9464296,1552.62807554,1315.05325442
autazes,6933.29169239,385.31180051,4785.41021022,1762.56968166
barcelos,4271.64757257,334.40868749,2388.28079372,1548.95809136
barreirinha,5153.38438494,75.26514691,3661.54945678,1416.56978125
benjamin constant,5985.99999999,322.33755358,3914.83955676,1748.82288965
beruri,2881.48788276,299.0984798,1790.77916157,791.61024139
boa vista do ramos,2746.33042832,457.56811215,1447.65719597,841.1051202
boca do acre,7138.16876657,285.82146025,5373.67777809,1478.66952823
borba,6662.00000001,279.16554536,4338.88780805,2043.9466466
caapiranga,2219.7922862,85.30408451,1754.7526792999995,379.73552239
canutama,2958.00000002,165.9872908,2109.91255701,682.10015221
carauari,5229.02577288,975.31523081,3532.03974604,721.67079603
careiro,7370.73356486,579.2196589,4416.72216771,2374.79173825
careiro da varzea,5760.00000002,-,3936.50356059,1823.49643943
coari,15136.66923413,1641.98177963,10022.9893529,3471.6981016000004
codajas,4487.20673079,582.96775306,2845.34492311,1058.89405462
eirunepe,6245.2065532,236.02773587,4534.1638923,1475.01492503
envira,3201.00000001,22.12863797,2366.65746674,812.2138953
fonte boa,3902.10326675,31.1617287,2940.44825966,930.49327839
guajara,2636.37998186,64.00447464,1706.51598494,865.85952228
humaita,9809.32519285,938.53183969,7404.41758939,1466.37576377
ipixuna,3715.99999997,23.04617102,2040.84401104,1652.10981791
iranduba,9806.47585471,479.62549709,8525.11534607,801.73501155
itacoatiara,19883.75005601,2656.14303547,14871.98557734,2355.6214431999997
itamarati,1560.23644712,59.42492623,946.16615225,554.64536864
itapiranga,1763.42054592,63.47380178,1498.96831427,200.97842987
japura,1266.15489095,57.46170332,808.59124013,400.1019475
jurua,2048.99999998,115.27507058,1370.74993553,562.97499387
jutai,3162.32758075,-,2282.98245439,879.34512636
labrea,8134.271529000002,245.61832951,5865.41968873,2023.23351076
manacapuru,18207.08264175,1829.64411554,13716.81571973,2660.62280648
manaquiri,4850.30986974,237.5360001,2973.08879128,1639.68507836
manaus,460766.77685226,151386.64351378,307105.72547662,2274.40786186
manicore,9495.79479661,296.55680742,6501.99315896,2697.24483023
maraa,2790.04717514,213.3455639,1436.04569744,1140.6559138
maues,10028.07776951,1781.83704106,5276.752632100001,2969.48809635
nhamunda,3795.00000002,387.86091839,2178.03372824,1229.10535339
nova olinda do norte,5544.39102604,479.85094885,3128.21034547,1936.32973172
novo airao,3144.01806462,219.62451209,2208.04831816,716.34523437
novo aripuana,4268.21713267,186.23074729,2680.14813512,1401.83825026
parintins,20695.09481708,2844.04392174,14511.69727555,3339.35361979
pauini,3045.35473992,273.64058294,1502.18327108,1269.5308859000004
presidente figueiredo,7206.87254772,1640.10531012,4700.87055937,865.89667823
rio preto da eva,6092.56615899,308.5687835,4658.21854263,1125.77883286
santa isabel do rio negro,2586.05623683,105.29153165,1200.53442841,1280.23027677
santo antonio do ica,3990.21930499,72.14636473,2703.74311511,1214.32982515
sao gabriel da cachoeira,7482.00511415,434.44032651,4289.85764428,2757.70714336
sao paulo de olivenca,5328.4476533,-,2980.39754009,2348.05011321
sao sebastiao do uatuma,1950.6,5.18539604,1470.91805229,474.49655167
silves,1719.54265766,31.40968864,1222.14571278,465.98725624
tabatinga,10029.50596556,545.92145272,7852.27914117,1631.30537167
tapaua,3878.10907764,387.01352411,2408.83474163,1082.2608119000001
tefe,12179.02995805,2006.53009087,8825.59659362,1346.90327356
tonantins,2788.65949103,44.51320754,1733.08158382,1011.06469967
uarini,2188.31620693,106.83413944,1564.86836598,516.61370151
urucara,3399.75206988,119.60521487,2890.10672808,390.04012693
urucurituba,3283.10544154,409.46480765,2189.48191628,684.15871761
