city,quantity
alvaraes,14052.99869301
amatura,9393.04173341
anama,10184.210326299999
anori,16309.0
apui,17943.55708998
atalaia do norte,15081.88327864
autazes,31927.75015418
barcelos,21068.41554505
barreirinha,27204.30630979
benjamin constant,33110.0
beruri,15477.48788273
boa vista do ramos,14910.660856600001
boca do acre,30456.69292466
borba,34950.0
caapiranga,10927.38642595
canutama,12738.0
carauari,25696.81753437
careiro,32633.62284914
careiro da varzea,23930.0
coari,75383.42220186
codajas,23173.44711565
eirunepe,30512.58734102
envira,16325.0
fonte boa,22803.20653352
guajara,13849.57135431
humaita,44021.40857339
ipixuna,22243.00000002
iranduba,40677.4127896
itacoatiara,86481.24898988
itamarati,7981.38371178
itapiranga,8067.49314172
japura,7272.15489095
jurua,10802.0
jutai,17910.77910499
labrea,37395.82897314
manacapuru,84934.8309803
manaquiri,22725.69897049
manaus,1797035.67544037
manicore,46668.74842875
maraa,17458.14349908
maues,52148.07776951
nhamunda,18278.0
nova olinda do norte,29896.57348302
novo airao,14603.535156900001
novo aripuana,21373.15873346
parintins,101348.81653869
pauini,18127.79911148
presidente figueiredo,26991.87254772
rio preto da eva,25456.30748103
santa isabel do rio negro,17883.20496517
santo antonio do ica,24370.794889200002
sao gabriel da cachoeira,37671.01022829
sao paulo de olivenca,31335.99867698
sao sebastiao do uatuma,10688.0
silves,8366.45566327
tabatinga,51945.52982767
tapaua,19020.71848451
tefe,61273.02995805
tonantins,17053.9784731
uarini,11703.21344854
urucara,16967.56035881
urucurituba,17608.46178626
