city,qt
abaira,8305
abare,17020.05275795
acajutiba,14606.36183877
adustina,15661.02599504
agua fria,15681.78888376
aiquara,4587.79342092
alagoinhas,141701.64792769
alcobaca,21074.58275319
almadina,6307.11385762
amargosa,34176.34725191
amelia rodrigues,25105.50313502
america dourada,15922.71461593
anage,25426.71930357
andarai,13912.35039797
andorinha,14400.9398887
angical,14066
anguera,10184.85454846
antas,16933.27620544
antonio cardoso,11517.1123697
antonio goncalves,10953.02505175
apora,17624.640398
apuarema,7392.32461487
aracas,11505.11235327
aracatu,13712.95014029
araci,51566.50000765
aramari,9994.28847764
arataca,10376.78798037
aratuipe,8568.47269276
aurelino leal,13578.39705728
baianopolis,13811.63857583
baixa grande,20015.03172967
banzae,11807.42135959
barra,49054.67236339
barra da estiva,21162
barra do choca,34713.98720278
barra do mendes,13937.97890538
barra do rocha,6279.02526611
barreiras,136886.33632272
barro alto,13555.65352631
barro preto,6453
barrocas,14181.25570152
belmonte,21610.40111767
belo campo,15956.02952225
biritinga,14769.73666971
boa nova,15368.7988315
boa vista do tupim,17920.88571324
bom jesus da lapa,62853.78076902
bom jesus da serra,10113
boninal,13681.41026342
bonito,14834
boquira,22037
botupora,11126.72874911
brejoes,14199.11601204
brejolandia,11070
brotas de macaubas,10709
brumado,64538
buerarema,18556.64612186
buritirama,19598
caatiba,11403
cabaceiras do paraguacu,17316.21297492
cachoeira,31388.89763681
cacule,22225.6855948
caem,10319.35753635
caetanos,13626
caetite,47383.63933419
cafarnaum,17129.91095294
cairu,15107.17166278
caldeirao grande,12491
camacan,31381.82004328
camacari,242279.45409899
camamu,35099.80003977
campo alegre de lourdes,28080.90477401
campo formoso,66438.75905651
canapolis,9410
canarana,23972.17936132
canavieiras,32165.71942656
candeal,8882.61221877
candeias,82917.7078569
candiba,13192.31068157
candido sales,27880.6367252
cansancao,32888.37726104
canudos,15602.0491981
capela do alto alegre,11526
capim grosso,26449.84539805
caraibas,10211.48611565
caravelas,21332.42344647
cardeal da silva,8872.10009473
carinhanha,28310.97322519
casa nova,64860.74635138
castro alves,25408
catolandia,2609.72548932
catu,50969.45234766
caturama,8843
central,16982.22398593
chorrocho,10699.12537289
cicero dantas,32180.54115962
cipo,15709.93675942
coaraci,20940.79613337
cocos,18130.47430485
conceicao da feira,20281.93388269
conceicao do almeida,17842.26471626
conceicao do coite,61913.11627174
conceicao do jacuipe,30006.16084219
conde,23436.92697399
condeuba,16898
contendas do sincora,4651.00790353
coracao de maria,22356.33267197
cordeiros,8168
coribe,14259.33240193
coronel joao sa,16954.16328445
correntina,31194.39308763
cotegipe,13510.1917539
cravolandia,5025.09703243
crisopolis,20046
cristopolis,13267.71309044
cruz das almas,58468.21756196
curaca,32168
dario meira,12821.95058806
dias d'avila,66364.78366296
dom basilio,11320.10608919
dom macedo costa,3871.15908389
elisio medrado,7947
encruzilhada,23523.63213246
entre rios,39820.02712844
erico cardoso,10841.10151676
esplanada,32515.39759198
euclides da cunha,56177.1400419
eunapolis,99818.87535687
fatima,17633.9172793
feira da mata,6159.00534105
feira de santana,554455.92376761
filadelfia,16740
firmino alves,5356.64265284
floresta azul,10588.23021851
formosa do rio preto,22381.0569863
gandu,30210.94804839
gaviao,4477.18777902
gentio do ouro,10622
gloria,15066.22762784
gongogi,8320.12056949
governador mangabeira,19724.27318919
guajeru,10405
guanambi,78679.37787196
guaratinga,22121.03805169
heliopolis,13192
iacu,25634.53296575
ibiassuce,10062
ibicarai,24248.95087995
ibicoara,17250.97217273
ibicui,15635.75233626
ibipeba,16966.23070106
ibipitanga,14164.85253283
ibiquera,4863.02783321
ibirapitanga,22538.61137965
ibirapua,7922.94144005
ibirataia,18868.06683732
ibitiara,15497
ibitita,17744.50733091
ibotirama,25388
ichu,5241.36724117
igapora,15159.25083378
igrapiuna,13238.21808258
iguai,25668.55948819
ilheus,183501.15129699
inhambupe,36270.54978119
ipecaeta,15331
ipiau,44115.8700773
ipira,59187.22281662
ipupiara,9285
irajuba,6996.45631101
iramaia,11958.28289232
iraquara,22568.74369073
irara,27404.334196
irece,66055.81627424
