city,total,adequada,semi_adequada,inadequada
abaiara,2773.41187422,91.24021853,2444.77448798,237.39716771
acarape,4186,846.45620198,3201.94970684,137.59409118
acarau,14628.75571263,1157.22409897,12343.60512025,1127.92649341
acopiara,15040.99999998,2349.27446388,10975.08806575,1716.63747035
aiuaba,4422.82987997,351.77119118,3499.15504831,571.90364048
alcantaras,2859,402.07949382,2003.63881801,453.28168817
altaneira,2089.50241608,267.79855021,1778.325498,43.37836787
alto santo,4609,403.74137791,3831.95012529,373.3084968
amontada,9807.00000003,412.35509581,7788.27848282,1606.3664214
antonina do norte,2001.56775844,559.21962036,1306.36943979,135.97869829
apuiares,3890.00000001,101.8251594,3636.75987051,151.4149701
aquiraz,19661.7688009,1942.1018685,16658.369732,1061.2972004
aracati,19763.72620999,589.13894438,18501.902351060002,672.68491455
aracoiaba,7022.29040449,485.63768199,6148.3474645,388.305258
ararenda,3066.9484522,202.58224693,2657.77903109,206.58717418
araripe,5542.24372182,709.0730361,4178.830668,654.34001772
aratuba,2919.53491288,452.15760841,2197.40988912,269.96741535
arneiroz,2099.28437643,409.45584361,1500.5402336,189.28829922
assare,6406.94315827,618.74452291,5246.48931802,541.70931734
aurora,7107.00000002,677.92958782,5527.93353425,901.13687795
baixio,1714.1348461,19.84978489,1573.67062026,120.61444095
banabuiu,4573.23306593,647.68211063,3488.31585469,437.23510061
barbalha,14706.99999997,2023.49658121,11977.75529265,705.74812611
barreira,5539.31512916,545.49601733,4471.92884609,521.89026574
barro,6109.99999999,558.62386513,5103.14668494,448.22944992
barroquinha,3707,335.1625478,3029.46509541,342.37235679
baturite,9156.40681619,3161.89707299,5535.03103384,459.47870936
beberibe,14073.03303528,604.95823136,12652.72569711,815.34910681
bela cruz,8020.97824186,946.63994077,5918.36417552,1155.97412557
boa viagem,15146.18701249,3889.58859554,10201.90244341,1054.69597354
brejo santo,12112.58667595,5149.08325253,6196.21492707,767.28849635
camocim,15682.63310483,3681.76389803,11044.14655063,956.72265617
campos sales,7615.99999999,1303.97726422,5959.13794858,352.88478719
caninde,19963.31768343,3914.3667827,14361.01225653,1687.9386442
capistrano,4588.47395382,239.63119857,3864.57358669,484.26916856
caridade,5245.12583535,384.34139276,4518.23302823,342.55141436
carire,5107.82524228,219.70070722,4572.726778,315.39775706
caririacu,7078.00000001,228.1654041,6320.92120495,528.91339096
carius,5525.09205594,177.01228375,4917.15843043,430.92134176
carnaubal,4562.58718113,122.0471207,4166.51562869,274.02443174
cascavel,18806.10109134,1416.90953938,16144.34525939,1244.84629257
catarina,5022.39580047,758.98554589,3676.32944496,587.08080962
catunda,2743.95532133,16.15822804,2408.07471981,319.72237348
caucaia,89183.3265193,32106.49497074,54986.6674285,2090.16412006
cedro,7207.1586384,526.20385546,6269.64338326,411.31139968
chaval,3209.82100954,164.67806047,2755.79444715,289.34850192
choro,3271.91872374,109.62967917,2581.83269247,580.4563521
chorozinho,5463.05473064,44.83276642,5072.37916648,345.84279774
coreau,5942,731.61333236,4474.48057448,735.90609316
crateus,21717.33378294,8231.4859596,11995.43237248,1490.41545086
crato,33964.7151295,11540.67672613,21318.04371064,1105.99469273
croata,4832.99999996,958.31011754,3800.60138914,74.08849328
cruz,6167.58380136,248.82331357,5430.94463575,487.81585204
deputado irapuan pinheiro,2757.80055091,54.12368622,2517.12635564,186.55050905
erere,1885.89644767,238.24811701,1494.75443188,152.89389878
eusebio,12701.90404129,1891.00723544,10584.13338394,226.76342191
farias brito,5396.91547345,403.78038421,4432.71821915,560.41687009
forquilha,6153.48666828,2621.83747658,3393.15136151,138.49783019
fortaleza,709952.03156408,394870.42407309,314546.79160251,534.81588848
fortim,4137.35918349,30.51204854,3913.51715805,193.3299769
frecheirinha,3751.55500097,359.30652206,3098.52910351,293.7193754
general sampaio,1553.95629982,41.26556489,1407.16349858,105.52723635
graca,4271.00000002,237.33563773,3470.63114127,563.03322102
granja,13212.72345213,403.76284972,10419.04656885,2389.91403356
granjeiro,1174.99999999,189.50808114,866.66929049,118.82262836
groairas,3004.2864707,700.98868411,2168.45025251,134.84753408
guaiuba,6396.84945208,787.60959306,5386.85105395,222.38880507
guaraciaba do norte,10217.00000002,558.02726798,8940.77562404,718.197108
guaramiranga,1059.89490579,379.60969598,649.1397607,31.14544911
hidrolandia,5611.61771006,249.92800918,4867.61910105,494.07059983
horizonte,15680.56721991,1261.7320203,14236.24206683,182.59313278
ibaretama,3450.50517106,55.18308933,2807.57691931,587.74516242
ibiapina,6458,933.3077812,5137.03700786,387.65521094
ibicuitinga,3209.68751685,429.2669729,2583.39575314,197.02479081
icapui,5222.27085678,444.88233982,4714.77007832,62.61843864
ico,18235.61990416,4427.57971804,12513.42654874,1294.61363738
iguatu,28806.87384076,6214.83431765,22084.99051459,507.04900852
independencia,7486.80452648,1703.19791829,5081.06234686,702.54426133
ipaporanga,3484.24795781,14.94363889,3289.37185479,179.93246413
ipaumirim,3534.37985012,440.87250432,2795.15668701,298.35065879
ipu,11292,620.11008733,9994.60240817,677.2875045
ipueiras,10955.00000003,1641.56885959,8934.45288807,378.97825237
iracema,3991.99999999,766.72881139,3009.79676166,215.47442694
iraucuba,5586.68789216,1453.09957399,3709.3851095,424.20320867
itaicaba,2285.68284511,33.22920989,2225.18557296,27.26806226
itaitinga,9269.26469215,245.06165878,8955.76131196,68.44172141
itapage,12915.54807948,2522.2319437,9438.22405172,955.09208406
itapipoca,29918.02026903,7676.17755545,19116.71136866,3125.13134492
itapiuna,4936.02105298,442.86464114,3942.45716251,550.69924933
itarema,8881.34070412,418.60805895,7087.25875213,1375.47389304
itatira,4787.52047137,211.22319344,3834.62961011,741.66766782
jaguaretama,5162.01806032,196.04414706,4578.30616958,387.66774368
jaguaribara,2796.9621358,1321.52279801,1367.8083062,107.63103159
jaguaribe,10150.28268143,3900.63085998,5836.96323565,412.6885858
jaguaruana,9582.23544491,866.10067044,8454.93750102,261.19727345
jardim,6845.00000001,1529.29629538,4353.51514934,962.18855529
jati,2182.18589135,258.96491337,1756.19662979,167.02434819
jijoca de jericoacoara,4714.72247313,448.3174766,3971.32229396,295.08270257
juazeiro do norte,69143.57878084,22954.80683017,45479.23285617,709.5390945
jucas,6758.11793255,1448.71940094,4647.70633996,661.69219165
lavras da mangabeira,8646.52137013,1818.92933376,6004.63725915,822.95477722
limoeiro do norte,17140.99999998,2818.376305,14127.80440293,194.81929205
madalena,4797.57856195,385.76844578,3985.46107176,426.34904441
maracanau,57894.83256953,28555.37618466,29219.42554857,120.0308363
maranguape,28995.11276798,6908.37127655,20748.37190492,1338.36958651
marco,5936.76422553,330.36427047,5230.99114183,375.40881323
martinopole,2711.48533496,29.36624331,2481.55449905,200.5645926
massape,9229.2771731,2500.28966531,6127.37204512,601.61546267
mauriti,11635.27190032,1251.16281984,9376.62171026,1007.48737022
meruoca,3476,182.25795855,2811.1226893,482.61935215
milagres,7840.90339391,665.92132777,6309.07421019,865.90785595
milha,3847.99999999,628.24015311,2969.81374391,249.94610297
miraima,3235.92070608,308.4337078,2579.37281978,348.1141785
missao velha,9069.24103145,614.09880784,7805.5736172,649.56860641
mombaca,11965.20016099,2566.4928305,7978.51293811,1420.19439238
monsenhor tabosa,4761.27052121,215.19875575,4153.56010377,392.51166169
morada nova,18221.48101893,1215.11603119,16244.21882119,762.14616655
moraujo,2113.31024816,59.96271042,1876.42116402,176.92637372
morrinhos,5346.00000001,837.63901578,4147.83504217,360.52594206
mucambo,4224.91086801,565.90239268,3221.40334484,437.60513049
mulungu,2928.21782302,412.22726695,2246.21884471,269.77171136
nova olinda,3987.99999996,1195.90081305,2474.60228437,317.49690254
nova russas,9284.93825179,1641.49119829,7440.3237825,203.123271
novo oriente,7992.6464321,1243.68721035,6188.92876283,560.03045892
ocara,6760.79591141,355.91202334,5874.52990932,530.35397875
oros,6546.63936959,1878.7769221,4565.80611343,102.05633406
pacajus,17614.99999998,828.78176145,16085.40021134,700.81802719
pacatuba,18725.93987132,9576.78647282,9047.35455296,101.79884554
pacoti,3054.1692386,756.06557611,2105.46805311,192.63560938
pacuja,1749.65051839,709.61819548,949.546094,90.48622891
palhano,2610.80409483,391.21600451,2122.98791961,96.60017071
palmacia,3085.9,308.95196938,2260.95873238,515.98929824
paracuru,8719.75459061,978.50057475,7320.9531737,420.30084216
paraipaba,8178.0338972,1360.96383241,5886.97574367,930.09432112
parambu,8976.51218565,1944.4498453,6055.6955648,976.36677555
paramoti,3010.33925527,223.04395904,2499.90936764,287.38592859
pedra branca,11913.4881674,3290.7080303,7564.44602305,1058.33411405
penaforte,2295.93791821,964.64014373,1232.77608879,98.52168569
pentecoste,9845.33254339,1877.45904369,7350.4108208,617.4626789
pereiro,4346.87570083,389.62799919,3545.08136032,412.16634132
pindoretama,5353.40470759,53.69126891,4890.08004927,409.63338941
piquet carneiro,4446.55702193,135.1485604,3865.24333921,446.16512232
pires ferreira,2790,38.63420581,2463.10065997,288.26513422
poranga,3395.50561508,310.382616,2862.55465956,222.56833952
porteiras,4150,791.95949976,2841.80993504,516.2305652
potengi,2816.21950763,129.95646666,2451.80971938,234.45332159
potiretama,1705.57077119,8.85448873,1515.21775597,181.49852649
quiterianopolis,5724.00000001,681.53606865,4384.06449627,658.39943509
quixada,22112.33623923,8452.61109068,12443.48384907,1216.24129948
quixelo,4650.68415986,924.78479193,3531.58010168,194.31926625
quixeramobim,20451.49772201,6324.44962251,13332.51013288,794.53796662
quixere,5880.64503662,146.66048329,5589.78451243,144.2000409
redencao,7393.35808673,608.6814964,6398.61008352,386.06650681
reriutaba,5578.03232283,224.4627266,4950.6739445,402.89565173
russas,20394.45502951,4655.13790336,15119.50850611,619.80862004
saboeiro,4499.77147889,324.24591524,3687.66038939,487.86517426
salitre,3930.34822316,59.12775595,3033.78605554,837.43441167
santa quiteria,11844.38321188,1736.98889673,8859.25423107,1248.14008408
santana do acarau,7517.32524427,1717.94970547,4750.24782534,1049.12771346
santana do cariri,4511.87188851,722.18226,3142.73906659,646.95056192
sao benedito,12108.99999999,2343.93533748,9041.90872826,723.15593425
sao goncalo do amarante,12000.47593582,1874.41523828,9424.78916313,701.27153441
sao joao do jaguaribe,2577.82093228,533.79550128,2034.97867296,9.04675804
sao luis do curu,3579.46642607,88.25969044,3182.82950362,308.37723201
senador pompeu,7968.00000001,1956.91387234,5574.90022735,436.18590032
senador sa,1823.07539667,65.83770493,1600.77374904,156.4639427
sobral,50445.30157696,26924.99937789,22778.19152977,742.1106693
solonopole,5309.80909937,589.87706151,4459.21517106,260.7168668
tabuleiro do norte,9126.42458869,1291.13231601,7526.52509772,308.76717496
tamboril,6911.49048784,579.83105002,5536.81579456,794.84364326
tarrafas,2488.62718306,52.42271174,2112.89640849,323.30806283
taua,16245.03301071,3819.0654835,11610.28595415,815.68157306
tejucuoca,4293.7233875,43.52913682,3665.36541255,584.82883813
tiangua,18206.23749657,5368.38734603,12081.96470877,755.88544177
trairi,13337.68930456,427.08230014,10833.20185595,2077.40514847
tururu,3810.57382718,31.88910662,3540.91994782,237.76477274
ubajara,8737,422.14775306,7708.25470256,606.59754438
umari,2156.67052029,252.34325767,1700.95609685,203.37116577
umirim,4752.46217372,120.21862847,4342.38435798,289.85918727
uruburetama,5213.02627353,688.46669804,4203.37080441,321.18877108
uruoca,3547.97113598,566.1603333,2553.89215624,427.91864644
varjota,4880.8555125,800.59536188,3944.25847373,136.00167689
varzea alegre,11531.70923917,1708.48835349,9228.35813707,594.86274861
vicosa do ceara,13562.5759159,547.10489866,10769.70420401,2245.76681323
