city,qt
abaiara,10444.6781505
acarape,15338
acarau,57339.71096601
acopiara,51117
aiuaba,16160.21699654
alcantaras,10771
altaneira,6852.50241608
alto santo,16359
amontada,39220
antonina do norte,6966.83879211
apuiares,13920
aquiraz,71319.38382468
aracati,68881.18273455
aracoiaba,25361.29040449
ararenda,10459.32067738
araripe,20637.73116549
aratuba,11520.06982577
arneiroz,7611.09776884
assare,22436.94315828
aurora,24544
baixio,6016.40453831
banabuiu,17261.75306266
barbalha,55311
barreira,19561.63025829
barro,21514
barroquinha,14476
baturite,33245.81363239
beberibe,49239.03303526
bela cruz,30758.2349551
boa viagem,52263.11169466
brejo santo,45139.28736031
camocim,60024.96799763
campos sales,26484
caninde,74308.10173489
capistrano,17015.6944656
caridade,19996.50334137
carire,18341.82524227
caririacu,26393
carius,18482.77198594
carnaubal,16721.67810016
cascavel,65981.52950924
catarina,18739.39580048
catunda,9945.95532132
caucaia,324457.10785536
cedro,24490.15863838
chaval,12602.6420191
choro,12799.25963486
chorozinho,18851.24802616
coreau,21954
crateus,72686.66756591
crato,121233.71512948
croata,17054
cruz,22407.10044312
deputado irapuan pinheiro,9081.80055092
erere,6832.0492759
eusebio,45891.52020637
farias brito,19001.91547341
forquilha,21748.73099523
fortaleza,2444994.73114421
fortim,14734.82809007
frecheirinha,12981.55500098
general sampaio,6141.71881688
graca,15029
granja,52571.89439581
granjeiro,4629
groairas,10218.28647069
guaiuba,24068.69890413
guaraciaba do norte,37762
guaramiranga,4103.55185664
hidrolandia,19304.24436753
horizonte,55093.63440185
ibaretama,12911.01034216
ibiapina,23793
ibicuitinga,11288.31542451
icapui,18277.04638448
ico,65404.50546434
iguatu,96431.92642012
independencia,25526.80452647
ipaporanga,11327.49591566
ipaumirim,11968.38977358
ipu,40260
ipueiras,37846
iracema,13716
iraucuba,22269.06367638
itaicaba,7267.94344488
itaitinga,34414.23622405
itapage,48269.26900967
itapipoca,115636.52709945
itapiuna,18597.10526495
itarema,37283.06425106
itatira,18881.04094272
jaguaretama,17808.48290674
jaguaribara,10141.70558936
jaguaribe,34391.28268141
jaguaruana,32070.09174839
jardim,26688
jati,7637.10273443
jijoca de jericoacoara,16619.13940347
juazeiro do norte,248865.38055729
jucas,23716.89544328
lavras da mangabeira,31037.52137016
limoeiro do norte,56166
madalena,18000.94763162
maracanau,208759.92101429
maranguape,113253.11276795
marco,24461.65789412
martinopole,10209.48533496
massape,35134.31139882
mauriti,44210.27190029
meruoca,13638
milagres,28278.90339393
milha,13086
miraima,12794.92070609
missao velha,34222.5185389
mombaca,42584.08583879
monsenhor tabosa,16686.2705212
morada nova,61941.3533657
moraujo,8054.31024816
morrinhos,20700
mucambo,14096.91086802
mulungu,11462.65346907
nova olinda,14256
nova russas,30889.48904244
novo oriente,27393.04810183
ocara,23939.88002925
oros,21364.63936959
pacajus,61835
pacatuba,72230.9398713
pacoti,11589.16923862
pacuja,5976.98385174
palhano,8861.80409481
palmacia,11994
paracuru,31459.66289331
paraipaba,29919.77344397
parambu,31274.51218562
paramoti,11284.01776585
pedra branca,41798.65099296
penaforte,8219.93791822
pentecoste,35305.366147
pereiro,15737.87570083
pindoretama,18665.47633558
piquet carneiro,15439.00597461
pires ferreira,10216
poranga,11987.50561506
porteiras,15061
potengi,10255.21950763
potiretama,6109.66400791
quiterianopolis,19921
quixada,80270.39362108
quixelo,14969.0078711
quixeramobim,71499.86936939
quixere,19385.36208965
redencao,26337.07426014
reriutaba,19431.22556748
russas,69591.57896037
saboeiro,15736.1889315
salitre,15446.34822315
santa quiteria,42720.76642376
santana do acarau,29935.32524425
santana do cariri,17116.51590554
sao benedito,44146
sao goncalo do amarante,43820.95544831
sao joao do jaguaribe,7891.82093228
sao luis do curu,12292.61918501
senador pompeu,26469
senador sa,6843.07539668
sobral,187368.55697462
solonopole,17634.95727794
tabuleiro do norte,29131.93262908
tamboril,25417.98097567
tarrafas,8904.62718307
taua,55631.0330107
tejucuoca,16811.64183182
tiangua,68687.54927682
trairi,51232.64962787
tururu,14386.408226
ubajara,31724
umari,7528.35260134
umirim,18754.39662985
uruburetama,19697.02627358
uruoca,12870.97113599
varjota,17573.85551246
varzea alegre,38374.99765742
vicosa do ceara,54929.42392689
