city,total,suitable,semi_suitable,inappropriate
afonso claudio,9830.45454175,3993.05499756,5495.80343729,341.5961069
agua doce do norte,3750.54896287,1154.7214364,2355.32157324,240.50595323
aguia branca,2905.99999183,811.27202256,1910.28190173,184.44606754
alegre,9948.23008756,5303.7059869999985,4372.47665553,272.04744503
alfredo chaves,4583.99999997,1917.15381993,2656.48762102,10.35855902
alto rio novo,2298.93673495,1034.94466246,1181.82272818,82.16934431
anchieta,7346.99999999,2976.63187545,4338.72747893,31.64064561
apiaca,2457.99999998,1422.77832916,936.4240988,98.79757202
aracruz,23841.73705771,15543.15793006,8095.41614288,203.16298477
atilio vivacqua,2976.00000003,1664.02750033,1284.0328756,27.9396241
baixo guandu,9328.76774639,6092.08031911,3133.14280565,103.54462163
barra de sao francisco,12826.89261296,6195.652846800002,6277.40027708,353.83948908
boa esperanca,4386.90785501,1898.81663895,2358.27386792,129.81734814
bom jesus do norte,3178.00000003,2123.67184043,1035.67422748,18.65393212
brejetuba,3486.33689584,670.05247444,2620.59966011,195.68476129
cachoeiro de itapemirim,59492.54128473,44881.94007729,14444.40053416,166.20067328
cariacica,107825.90305811,70959.63074533,36751.55389804,114.71841474
castelo,11026.10366353,6556.02209142,4316.55583212,153.52573999
colatina,36153.44123559,27046.24553888,8861.72828896,245.46740775
conceicao da barra,8505.00000001,2007.73709525,6272.60387372,224.65903104
conceicao do castelo,3623.79522503,1333.51993391,2213.92146829,76.35382283
divino de sao lourenco,1396.51384981,385.78099218,936.90763027,73.82522736
domingos martins,9759.99999997,2559.93943514,6923.34762272,276.71294211
dores do rio preto,2063.70749775,941.69156832,1090.80261115,31.21331828
ecoporanga,7576.23234805,2871.27483308,4427.0554007,277.90211427
fundao,5316.79869813,1776.57143584,3467.74891533,72.47834696
governador lindenberg,3360.0,964.01416165,2336.75841229,59.22742606
guacui,8852.17228363,5334.60227525,3375.24253318,142.3274752
guarapari,33394.65912632,18039.42055261,15236.35661077,118.88196294
ibatiba,7118.99999999,2628.2131005999995,4244.16206602,246.62483337
ibiracu,3455.99999999,2171.21103788,1248.84577363,35.94318848
ibitirama,2695.55281763,865.38535799,1650.78406907,179.38339057
iconha,4044.85889651,1652.23711303,2356.92995416,35.69182932
irupi,3669.00000001,1034.81261864,2420.08918529,214.09819608
itaguacu,4654.10782759,1764.45054432,2827.15588043,62.50140284
itapemirim,9388.90293682,1651.46277218,7642.09565544,95.3445092
itarana,3373.0,1315.73629947,1965.72192178,91.54177875
iuna,8698.30308224,3902.48542142,4473.32730597,322.49035485
jaguare,7325.0,3173.83146755,3981.20574618,169.96278627
jeronimo monteiro,3513.69536572,2225.1892629999998,1242.44808955,46.05801317
joao neiva,4974.15180839,3701.97599316,1231.34165133,40.8341639
laranja da terra,3551.97477739,1130.06864767,2378.86883253,43.03729719
linhares,41941.17361729,23969.46864463,17203.26394772,768.44102494
mantenopolis,4360.04810146,2273.40534817,1885.25459252,201.38816077
marataizes,10614.76751997,4825.00578493,5405.40382601,384.35790903
marechal floriano,4538.22029408,771.53058341,3755.10587738,11.58383329
marilandia,3562.00000001,1838.90409441,1655.51442387,67.58148173
mimoso do sul,8327.77408905,3495.39640259,4678.52400911,153.85367735
montanha,5705.5761613,3401.45164319,2193.23963486,110.88488325
mucurici,1863.99238421,851.56373626,923.00576349,89.42288446
muniz freire,5612.48497861,1458.15761579,3861.66928251,292.65808031
muqui,4441.08062308,1987.87282884,2357.18618535,96.02160889
nova venecia,14405.2477352,7386.81647127,6753.97954656,264.45171737
pancas,6520.99999996,2052.05724902,4072.79308617,396.14966477
pedro canario,7172.23123251,3055.89745026,4002.48949149,113.84429076
pinheiros,7438.34371194,4832.42164259,2433.79065429,172.13141506
piuma,5750.21579743,3262.02140287,2459.73731223,28.45708233
ponto belo,2251.93699452,1371.41132092,818.03261041,62.49306319
presidente kennedy,3312.59507318,812.95621805,2431.96765159,67.67120354
rio bananal,5465.00000003,1502.71496202,3678.58936523,283.69567278
rio novo do sul,3626.92584456,1344.03984293,2224.45670686,58.42929477
santa leopoldina,3823.98142395,305.70075095,3280.85505745,237.42561555
santa maria de jetiba,10136.00000002,1961.64614957,7785.09066745,389.263183
santa teresa,6916.0,3173.37192405,3665.89851733,76.72955862
sao domingos do norte,2530.79324621,824.08598994,1585.38704989,121.32020638
sao gabriel da palha,10269.35269331,5804.02523389,4275.73804808,189.58941134
sao jose do calcado,3516.13866863,1998.56866568,1506.59897858,10.97102437
sao mateus,32729.08462769,16211.31005112,15818.87012413,698.90445244
sao roque do canaa,3519.0,1208.62771121,2236.34007716,74.03221163
serra,124991.19969655,86831.78240238,38092.37605267,67.0412415
sooretama,6943.04196907,2397.90961436,4331.87612991,213.2562248
vargem alta,5720.24948148,678.0511092999999,4881.42187277,160.77649941
venda nova do imigrante,6323.91309715,3246.57590194,3060.5166588,16.82053641
viana,18893.03333304,10467.36096311,8341.49825621,84.17411372
vila pavao,2805.53743784,667.43505083,2013.37288001,124.729507
vila valerio,4225.87132296,1104.92343946,2901.36085724,219.58702626
vila velha,134417.39024289,104131.45531623,30209.38916006,76.5457666
vitoria,108464.90203224,96246.08483899,12218.81719325,-
