city,quantity
afonso claudio,30944.35426392
agua doce do norte,11682.75215218
aguia branca,9367.46316695
alegre,30650.69026267
alfredo chaves,13955.0
alto rio novo,7310.8734699
anchieta,23826.0
apiaca,7512.0
aracruz,81570.15123037
atilio vivacqua,9842.0
baixo guandu,28868.756062599998
barra de sao francisco,40058.94710506
boa esperanca,14106.15524365
bom jesus do norte,9397.0
brejetuba,11843.30457574
cachoeiro de itapemirim,188998.66330462
cariacica,347445.95992164
castelo,34680.10366353
colatina,110966.30686801
conceicao da barra,28407.0
conceicao do castelo,11632.09088059
divino de sao lourenco,4501.54154951
domingos martins,31794.0
dores do rio preto,6392.4149955
ecoporanga,22628.37128085
fundao,16876.96133815
governador lindenberg,10866.0
guacui,27616.08785544
guarapari,104778.94024873
ibatiba,22366.0
ibiracu,11178.0
ibitirama,8942.65845293
iconha,12502.16769049
irupi,11665.0
itaguacu,14118.10782756
itapemirim,30916.43150898
itarana,10879.0
iuna,27254.21232896
jaguare,24648.0
jeronimo monteiro,10848.69536573
joao neiva,15794.45542518
laranja da terra,10813.92433219
linhares,139896.15613785
mantenopolis,13369.10783858
marataizes,34021.30255993
marechal floriano,14203.4208882
marilandia,11107.0
mimoso do sul,25732.09635615
montanha,17651.72333006
mucurici,5644.98476845
muniz freire,18390.48497861
muqui,14304.16652072
nova venecia,45702.67053182
pancas,21514.0
pedro canario,23775.23123253
pinheiros,23809.22880823
piuma,18034.58122492
ponto belo,6962.83857636
presidente kennedy,10286.97536584
rio bananal,17511.0
rio novo do sul,11318.92584457
santa leopoldina,12234.98142397
santa maria de jetiba,34176.0
santa teresa,21803.0
sao domingos do norte,7987.79324621
sao gabriel da palha,31678.14037443
sao jose do calcado,10347.27733725
sao mateus,108344.37113206
sao roque do canaa,11266.0
serra,407901.742393
sooretama,23761.18703862
vargem alta,19024.01422541
venda nova do imigrante,20433.91309718
viana,62392.98785633
vila pavao,8634.61231352
vila valerio,13799.48529183
vila velha,412268.40102085
vitoria,326765.19656327
