city,total,adequada,semi_adequada,inadequada
abadia de goias,2129.83920305,658.82221877,1435.19808433,35.81889995
abadiania,4627.4287229,2872.37611762,1696.34999859,58.70260669
acreuna,6396.07572866,905.07129938,5399.43304297,91.57138631
adelandia,846.00000002,167.1547624,673.27624946,5.56898816
agua fria de goias,1599.12622558,6.52140882,1481.90004502,110.70477174
agua limpa,733.68173213,52.5957075,665.52706816,15.55895647
aguas lindas de goias,44072.92781339,5324.87854049,38321.68374553,426.36552737
alexania,7416.84228893,777.1993264,6508.35633614,131.28662639
aloandia,800.99999997,151.57805494,641.46813869,7.95380634
alto horizonte,1453,37.34835778,1402.6989728,12.95266942
alto paraiso de goias,2104.64866423,810.71797614,1196.16397865,97.76670944
alvorada do norte,2418.54119898,289.6013316,2088.11786603,40.82200135
amaralina,1091,242.27180195,776.3985936,72.32960445
americano do brasil,1919.30101391,34.82748352,1872.42566134,12.04786905
amorinopolis,1291.6322141,83.706551,1197.53198109,10.39368201
anapolis,104221.5774887,54149.66977133,49958.31304245,113.59467492
anhanguera,353,26.79999361,323.8195743,2.38043209
anicuns,6830.00000001,3231.5409676,3559.18477462,39.27425779
aparecida de goiania,136319.46024248,32159.69282827,104044.05105299,115.71636122
aparecida do rio doce,818,499.62566185,308.46950608,9.90483207
apore,1258.87959169,191.42767342,1049.77826372,17.67365455
aracu,1298.93679825,87.07919077,1200.66717511,11.19043237
aragarcas,5670.42925481,222.57403834,5425.21383141,22.64138506
aragoiania,2695.52733213,15.8564052,2645.84278665,33.82814028
araguapaz,2571.55042338,929.82664596,1571.09891303,70.62486439
arenopolis,1201.99999999,91.31432395,1105.48664917,5.19902687
aruana,2409.00703008,371.54206683,2005.32498376,32.13997949
aurilandia,1363,23.21197204,1336.89671483,2.89131313
avelinopolis,853,163.50474378,685.6572509,3.83800532
baliza,1266.8237303,60.54133834,1093.59441448,112.68797748
barro alto,2513.05293659,151.44774237,2337.04561412,24.5595801
bela vista de goias,8082.77315189,2668.68157172,5324.25437799,89.83720218
bom jardim de goias,2799.83269928,25.03706701,2701.8253315,72.97030077
bom jesus de goias,6508.46883101,1365.48088879,5102.79850893,40.18943329
bonfinopolis,2362.91004467,98.6011696,2251.87929303,12.42958204
bonopolis,1032.59563311,358.13053003,605.44774931,69.01735377
brazabrantes,1083.87835504,6.67655708,1050.610384,26.59141396
britania,1850.00000002,355.62944089,1464.57243357,29.79812556
buriti alegre,3140.14795234,823.27530189,2304.30081142,12.57183903
buriti de goias,938.41040751,16.48848038,909.81061055,12.11131658
