city,total,adequada,semi_adequada,inadequada
acorizal,1738.6657984,34.81559627,1617.90989589,85.94030624
agua boa,6436.99999999,670.82262915,5632.86571018,133.31166066
alta floresta,15081.91075282,1814.50862448,12961.33775339,306.06437495
alto araguaia,5142.6252379,341.39218259,4754.77776781,46.4552875
alto boa vista,1461.33733266,208.42165574,1124.54001404,128.37566288
alto garcas,3420.54284837,35.33308595,3352.27838748,32.93137494
alto paraguai,3094.00000003,332.42415764,2545.90668351,215.66915888
alto taquari,2384.71464866,6.16498433,2362.04544823,16.5042161
apiacas,2459.25155129,43.98365616,2299.03081523,116.2370799
araguaiana,1086.99999999,13.87896135,1040.7849147,32.33612394
araguainha,387.00000001,34.21948229,349.94258379,2.83793393
araputanga,4835.04408661,399.48335994,4342.79963732,92.76108935
arenapolis,3257.87497964,412.09016242,2811.3927803,34.39203692
aripuana,5356.48986971,141.70505474,4880.6173833,334.16743167
barao de melgaco,2214.51941057,322.74367857,1598.73370532,293.04202668
barra do bugres,9398.81586367,2077.15334277,7121.31971507,200.34280583
barra do garcas,17794.57460296,9020.24430698,8412.38779601,361.94249997
bom jesus do araguaia,1501.91845514,-,1446.97473996,54.94371518
brasnorte,4389.87467041,101.3044662,4063.59918116,224.97102305
caceres,25225.5158974,10000.13117236,14526.4324634,698.95226164
campinapolis,2910.99999999,197.92549118,1949.00190453,764.07260428
campo novo do parecis,8406.99999999,1591.31280986,6756.50898247,59.17820766
campo verde,9419.85832221,991.32324496,8196.15825299,232.37682426
campos de julio,1500.31613427,25.90688011,1457.82411211,16.58514205
canabrava do norte,1408.61687516,-,1339.99286494,68.62401022
canarana,5663.03726142,136.35522754,5336.96039193,189.72164195
carlinda,3403.07138101,122.69001634,3084.87732513,195.50403954
castanheira,2523.64395152,152.92659623,2186.34978219,184.3675731
chapada dos guimaraes,5517.35612786,963.94391105,4249.15947879,304.25273802
claudia,3360.75789334,613.39702902,2585.38037949,161.98048483
cocalinho,1708,12.29687208,1617.17774629,78.52538163
colider,9927.25132241,1609.9045244,8149.54241246,167.80438555
colniza,7636.84141825,53.49527226,6817.7417368,765.60440919
comodoro,5485.59399019,800.52675309,4326.42640344,358.64083366
confresa,7292.99999998,714.12679262,6053.46868529,525.40452207
conquista d'oeste,1017.00987036,37.07528508,933.23660945,46.69797583
cotriguacu,4296.00000001,13.88043412,3720.8380936,561.28147229
cuiaba,165823.71065028,107218.01564112,58025.15868489,580.53632427
curvelandia,1515.00000001,9.84078026,1428.77846729,76.38075246
denise,2588.00000001,47.69898772,2491.74838522,48.55262707
diamantino,5850.43005475,1061.12935691,4579.81788707,209.48281077
dom aquino,2733.92773392,81.21738313,2608.31986133,44.39048946
feliz natal,2942.00000001,126.08950221,2599.34385125,216.56664655
figueiropolis d'oeste,1211.63692682,8.99163005,1171.79206431,30.85323246
gaucha do norte,1514.72832705,79.00692633,1230.21977921,205.50162151
general carneiro,1422.35660916,252.95680176,1009.30623088,160.09357652
gloria d'oeste,1035,32.69582307,983.63092337,18.67325356
guaranta do norte,9397.60723634,170.3607916,8878.31579021,348.93065453
guiratinga,4629,2378.93316183,2205.95911081,44.10772736
indiavai,751.41730591,7.85321656,719.68403836,23.88005099
ipiranga do norte,1559,20.92498533,1492.67454059,45.40047408
itanhanga,1563.82309663,16.46726675,1491.43243294,55.92339694
itauba,1385.41534386,97.16079016,1262.52669531,25.72785839
itiquira,3626.3849983,112.47912617,3421.73097369,92.17489844
jaciara,8149.95507637,2305.60711419,5746.1648532,98.18310898
jangada,1970.72036604,82.91502116,1553.53227006,334.27307482
jauru,3214,269.17562368,2830.26066241,114.56371391
juara,10041.52326025,1119.05386421,8545.21786154,377.2515345
juina,11915.87868762,425.17087385,11256.27244755,234.43536622
juruena,3187.89836842,478.19163936,2501.82956886,207.8771602
juscimeira,3737.36772011,237.54010402,3397.03349648,102.79411961
lambari d'oeste,1683.00000004,22.05004976,1592.19221129,68.75773899000001
lucas do rio verde,13748.15545139,5637.78651698,7991.84438781,118.5245466
luciara,652.65480328,-,638.86742441,13.78737887
marcelandia,3736.80323094,53.16169787,3490.73319948,192.90833359
matupa,4276.97367104,52.63387503,4093.9442986,130.39549741
mirassol d'oeste,7896.69817179,1431.07891232,6263.90851211,201.71074736
nobres,4494.78961877,588.20568665,3795.23190468,111.35202744
nortelandia,2005.00000003,243.92656183,1717.84266868,43.23076952
nossa senhora do livramento,3571.99999999,348.90534843,2746.30567993,476.78897163
nova bandeirantes,3449.99999999,369.12324365,2832.12901987,248.74773647
nova brasilandia,1450.17310194,204.02291578,1206.55003951,39.60014665
nova canaa do norte,3885.64396336,242.31531284,3510.55017751,132.77847301
nova guarita,1506.53899098,2.32113317,1419.86556588,84.35229193
nova lacerda,1625.01928529,438.62689996,1033.22769366,153.16469167
nova marilandia,921.35440369,1.62306971,861.87375812,57.85757586
nova maringa,1884.24181881,201.36432923,1601.7990221,81.07846748
nova monte verde,2507.26465272,-,2404.82438222,102.4402705
nova mutum,9416.22104293,2248.3652604,6971.67654344,196.17923909
nova nazare,760.00000001,13.26550661,606.75992982,139.97456358
nova olimpia,5079.22013566,217.03003229,4810.29816386,51.89193951
nova santa helena,1113.57210432,76.88342596,997.90600699,38.78267137
nova ubirata,2747.25780476,64.52749338,2534.94757756,147.78273382
nova xavantina,6372.16477153,1295.49451595,4966.13654292,110.53371266
novo horizonte do norte,1195,73.96591275,1085.66697086,35.36711639
novo mundo,2239.02489794,9.68645386,2044.81294797,184.52549611
novo santo antonio,595.42013154,4.20896538,531.79986942,59.41129674
novo sao joaquim,2066.91902637,351.96731643,1629.47762488,85.47408506
paranaita,3219.46547369,10.32666221,2939.26461592,269.87419556
paranatinga,5926.37927088,803.62591304,4998.43677327,124.31658457
pedra preta,5105.15022009,489.21924011,4476.68216402,139.24881596
peixoto de azevedo,8706.99999996,433.81065244,7453.94538606,819.24396146
planalto da serra,865.00000001,52.90800675,780.65002206,31.4419712
pocone,8848.24150478,206.21351004,8060.71333944,581.3146553
pontal do araguaia,1744.3107728,90.95287505,1623.15025533,30.20764242
ponte branca,649.50605497,-,644.82096663,4.68508834
pontes e lacerda,12747.68448003,2821.93489458,9612.06188011,313.68770534
porto alegre do norte,3009.99999999,36.67528354,2789.9703572,183.35435925
porto dos gauchos,1765.00000003,85.07241284,1609.50774049,70.4198467
porto esperidiao,3186.28977487,81.00645339,2844.04494308,261.2383784
porto estrela,1119,174.3785516,875.59849197,69.02295643
poxoreo,5646.89010755,1549.56445726,3922.72507098,174.60057931
primavera do leste,15666.87099121,4367.31422703,11194.86608268,104.6906815
querencia,3660.00000001,50.50905738,3391.01982854,218.47111409
reserva do cabacal,821.59940318,79.9411085,705.21748701,36.44080767
ribeirao cascalheira,2688.90174902,658.55378282,1927.1124339,103.2355323
ribeiraozinho,742.19900102,215.19805324,519.99825924,7.00268854
rio branco,1684.29058263,24.00953627,1634.9338474,25.34719896
