city,total,suitable,semi_suitable,inappropriate
abadia dos dourados,2319.31013953,1259.3830734,1018.46624872,41.46081741
abaete,7672.72365276,5944.12091972,1679.07152103,49.53121201
abre campo,3923.86970673,1646.30008887,2157.27436627,120.29525159
acaiaca,1264.00000002,703.39747102,541.17975671,19.42277229
acucena,3045.57086172,467.61986912,2444.23600427,133.71498833
agua boa,4160.02245113,1170.10103449,2685.78338607,304.13803057
agua comprida,709.20857118,461.80653383,237.80659497,9.59544238
aguanil,1353.0,782.91213363,548.70350605,21.38436032
aguas formosas,5284.56776849,3151.47181719,1964.25599315,168.83995815
aguas vermelhas,3463.31421903,1086.65628591,2297.21123981,79.44669331
aimores,8232.46187147,5423.98422066,2738.07381651,70.4038343
aiuruoca,2020.28666061,614.94501996,1370.39122618,34.95041447
alagoa,866.62493574,379.26397562,476.23760597,11.12335415
albertina,899.0,570.69880947,316.30605386,11.99513667
alem paraiba,11178.63883423,7766.74157462,3326.02801221,85.8692474
alfenas,23208.61466364,19193.80025451,3938.0537956,76.76061353
alfredo vasconcelos,1781.00000001,917.06184108,835.64033072,28.29782821
almenara,11531.68284546,6912.24599615,4281.73142167,337.70542764
alpercata,2208.9693253,1191.76343806,936.81032388,80.39556336
alpinopolis,5615.34914083,4136.92339859,1435.36778297,43.05795927
alterosa,4559.99999999,2997.51749623,1508.24081592,54.24168784
alto caparao,1719.84405217,971.77408213,731.45564049,16.61432955
alto jequitiba,2731.02244014,1227.01127793,1423.62835387,80.38280834
alto rio doce,3592.42481947,1177.83775673,2248.97941006,165.60765268
alvarenga,1401.9415824,562.8420009,791.98480026,47.11478124
alvinopolis,4625.21173754,2686.65281436,1877.35221475,61.20670843
alvorada de minas,966.0,213.19905609,658.82815797,93.97278594
amparo do serra,1467.0,548.18981447,856.52243125,62.28775428
andradas,12232.48442131,8506.16860099,3625.04249193,101.27332839
andrelandia,3971.99999996,2872.9629267,1009.74063219,89.29644107
angelandia,2114.0,648.89804064,1260.27173943,204.83021993
antonio carlos,3463.75193711,1894.21566951,1463.46100846,106.07525914
antonio dias,2870.17995146,999.97965757,1685.99815715,184.20213674
antonio prado de minas,555.99999998,319.07893498,227.09854817,9.82251683
aracai,719.0,323.34877,373.11923452,22.53199548
aracitaba,701.00000001,428.80100139,260.91035183,11.28864679
aracuai,9928.96911556,2914.68545863,6568.21450343,446.0691535
araguari,35513.91284398,27656.48609556,7733.27684465,124.14990377
arantina,932.0,692.76510402,239.23489598,-
araponga,2367.94350501,609.51940394,1618.01350491,140.41059616
arapora,1792.21372825,1427.01204116,359.62759759,5.5740895
arapua,985.99999999,691.08980388,291.93730143,2.97289468
araujos,2449.72764841,1826.89534934,615.20022374,7.63207533
araxa,29305.17866026,25662.14636489,3605.0961206999996,37.93617467
arceburgo,2873.99999999,2034.23249008,830.48509852,9.28241139
arcos,11570.10297655,10019.2239697,1550.87900685,-
areado,4500.0,3437.11055914,1024.39726204,38.49217882
argirita,934.60889761,596.13245173,321.73357011,16.74287577
aricanduva,1302.0,305.73698486,903.93966903,92.32334611
arinos,5221.39076736,1111.0073438,3816.32354509,294.05987847
