city,qt
abatia,7694.29253761
adrianopolis,6362.08392438
agudos do sul,8236.45015828
almirante tamandare,103016.48355797
altamira do parana,4298.69308165
alto paraiso,3109.75516738
alto parana,13642
alto piquiri,10034.66955282
altonia,20376.3659763
alvorada do sul,10203.36281896
amapora,5443
ampere,17256.02701797
anahy,2874
andira,20573
angulo,2849.97758737
antonina,18811.20337465
antonio olinto,7289.11517732
apucarana,120528.64437347
arapongas,103961.11216318
arapoti,25718.76009861
arapua,3561
araruna,13419
araucaria,119047
ariranha do ivai,2453
assai,16334
assis chateaubriand,32901.11820948
astorga,24594.87840372
atalaia,3913
balsa nova,11265
bandeirantes,32042.23788297
barbosa ferraz,12491.28232138
barra do jacare,2708.89597199
barracao,9622.82641688
bela vista da caroba,3928.94117791
bela vista do paraiso,15004
bituruna,15858.85297475
boa esperanca,4552.28582005
boa esperanca do iguacu,2704.28492144
boa ventura de sao roque,6503.65929021
boa vista da aparecida,7911
bocaiuva do sul,10961
bom jesus do sul,3792.72890903
bom sucesso,6498.99001219
bom sucesso do sul,3293
borrazopolis,7878
braganey,5730.11595859
brasilandia do sul,3206.25202637
cafeara,2695
cafelandia,14630.90801411
cafezal do sul,4289
california,7993.57422652
cambara,23829
cambe,96557.83477676
cambira,7236
campina da lagoa,15314.05606715
campina do simao,4076
campina grande do sul,38629
campo bonito,4396.05397696
campo do tenente,7089.55810786
campo largo,111924.7628909
campo magro,24811
campo mourao,86969.13284293
candido de abreu,16496.0607163
candoi,14907.70649285
cantagalo,12952
capanema,18437.70777239
capitao leonidas marques,14929.80566009
carambei,19073.52981266
carlopolis,13661
cascavel,282402.16368661
castro,66666.20220432
catanduvas,10014.28739747
centenario do sul,10884.95833811
cerro azul,16894.39420431
ceu azul,10946.96648333
chopinzinho,19612.66306855
cianorte,69778
cidade gaucha,10990.35614826
clevelandia,17055.84751174
colombo,212438.23429932
colorado,22168.52936648
congonhinhas,8019.02769091
conselheiro mairinck,3636
contenda,15876.34849848
corbelia,16259
cornelio procopio,46649.98298979
coronel domingos soares,7218.01743235
coronel vivida,21716.65425007
corumbatai do sul,3991.73144802
cruz machado,17998.97997761
cruzeiro do iguacu,4274.56622937
cruzeiro do oeste,20305.08239706
cruzeiro do sul,4538.08450008
cruzmaltina,3162
curitiba,1744897.11913476
curiuva,13857.42871312
diamante do norte,5499.50891024
diamante do sul,3510
diamante d'oeste,4982.15486819
dois vizinhos,36111.22620391
douradina,7382.44196594
doutor camargo,5825.22378746
doutor ulysses,5727
eneas marques,6091.8862072
engenheiro beltrao,13891
entre rios do oeste,3922
esperanca nova,1965.05798864
espigao alto do iguacu,4670.81838842
farol,3458
faxinal,16188.40616452
fazenda rio grande,81515.20775464
fenix,4773
fernandes pinheiro,5929.02612806
figueira,8276
flor da serra do sul,4722.57413285
florai,5035.32281337
floresta,5924
florestopolis,11209.05793179
florida,2521.42746691
formosa do oeste,7535.08464722
foz do iguacu,254759.62982194
foz do jordao,5417
francisco alves,6369.38350167
francisco beltrao,78126.64710501
general carneiro,13669
godoy moreira,3330.04018805
goioere,28869.10588705
goioxim,7490.48959814
grandes rios,6561.23062074
guaira,30453.90000873
guairaca,6008.44284995
guamiranga,7652.65052752
guapirama,3891
guaporema,2209
guaraci,5195.08724993
guaraniacu,14510.54441345
guarapuava,166077.78834067
guaraquecaba,7856
guaratuba,31866.51628191
honorio serpa,5934.37582549
ibaiti,28634.31985535
ibema,6036.2108717
ibipora,47942.2020204
icaraima,8681.9888661
iguaracu,3973.97390054
iguatu,2230.4263669
imbau,11241.18603525
imbituva,28312.64508209
inacio martins,10869.45254675
inaja,2988
indianopolis,4292.12733185
ipiranga,14100.50256035
ipora,14888
iracema do oeste,2575.83463224
irati,56001.11862665
iretama,10518.54388637
itaguaje,4499.86054345
itaipulandia,8966.658027
itambaraca,6733
itambe,5979
itapejara d'oeste,10523
itaperucu,23860
itauna do sul,3583
ivai,12762.34723555
ivaipora,31625.77451416
ivate,7507
ivatuba,2545
jaboti,4877.41822681
jacarezinho,38809.33900985
jaguapita,12085.87503639
jaguariaiva,32513.28351003
jandaia do sul,20152.92624344
janiopolis,6523.07565723
japira,4903
japura,8549
jardim alegre,12324
jardim olinda,1409
jataizinho,11830.25526987
jesuitas,8988.87518562
joaquim tavora,10664.55457153
jundiai do sul,3320.63568646
juranda,7629
jussara,6610
kalore,4445.00160712
lapa,44824.93202074
laranjal,6245.82363661
laranjeiras do sul,30589.64030541
leopolis,4114.78111415
lidianopolis,3968.00107112
lindoeste,5361
loanda,21037.68193647
lobato,4383.10959382
londrina,503989.86189546
luiziana,7240.85356431
lunardelli,5159
lupionopolis,4566.3384815
mallet,12917
mambore,13872.11269617
mandaguacu,19718
mandaguari,32528.68669113
mandirituba,22161.55956852
manfrinopolis,3109.30501213
mangueirinha,16998.66491702
manoel ribas,13003.03400328
marechal candido rondon,46676.23634414
maria helena,5926.21416576
marialva,31779.09677904
marilandia do sul,8803.52925923
marilena,6858
mariluz,10200.24582717
maringa,355086.54667178
mariopolis,6268
maripa,5658.11261976
marmeleiro,13878.82937753
marquinho,4978.40374641
marumbi,4599
matelandia,15385.03594379
matinhos,29158.72884847
mato rico,3794.78724515
maua da serra,8542.3264994
medianeira,41591.38159845
mercedes,5025.45373972
mirador,2327
miraselva,1859.96136171
missal,10464.3953264
moreira sales,12542
morretes,15652.11135222
munhoz de melo,3667
nossa senhora das gracas,3828.82030137
nova alianca do ivai,1419.14921838
