city,total,adequada,semi_adequada,inadequada
abreu e lima,28150.28379897,10175.44129727,17721.75047404,253.09202766
afogados da ingazeira,10868.0142837,6517.54893296,4086.58824941,263.87710133
afranio,4730.68284086,614.73678588,3421.30675149,694.63930349
agrestina,6881.99999999,3648.74572746,3141.54297767,91.71129486
agua preta,7742.36943552,1959.11227074,4985.06826333,798.18890145
aguas belas,10824.35466842,2884.93259502,6902.07224203,1037.34983137
alagoinha,4108.00000002,1222.46792745,2667.08651659,218.44555598
alianca,10294.99999999,3862.02249162,6239.11720807,193.8603003
altinho,7065.00000002,3231.17484462,3437.89958783,395.92556757
amaraji,6189.00000002,2441.78413166,3305.00114139,442.21472697
angelim,2996.9368188,1200.89263012,1601.7691294,194.27505928
aracoiaba,4828.4308129,230.66669227,4202.80536023,394.9587604
araripina,20629.88680296,6572.47078483,11991.70867352,2065.70734461
arcoverde,20133.3070201,13887.85692737,5995.17116486,250.27892787
barra de guabiraba,3344.27332051,1785.13940793,1491.50013342,67.63377916
barreiros,10399.06370449,3259.92046708,6467.8355939,671.30764351
belem de maria,3026.71309998,775.0970197,1961.52834696,290.08773332
belem do sao francisco,5046.05828357,1516.95326097,2988.25254704,540.85247556
belo jardim,22199.45204654,13723.53722336,7939.56618471,536.34863847
betania,3312.19940507,574.78214609,2513.34951374,224.06774524
bezerros,19277.62229035,11086.66181843,7799.57594207,391.38452985
bodoco,8932.31341555,1690.93423443,5510.58099764,1730.79818348
bom conselho,12622.52581947,5682.50070634,6183.42068507,756.60442806
bom jardim,10920.1704798,1639.90199302,8542.98677152,737.28171526
bonito,10829.69668655,5872.11120495,4327.13754535,630.44793625
brejao,2438.99999999,449.267465,1797.12489184,192.60764315
brejinho,2130.74954425,832.05899335,1168.8391786,129.8513723
brejo da madre de deus,13248.76036586,4833.17569134,7868.79903708,546.78563744
buenos aires,3557.58561855,372.64553135,2986.40800993,198.53207727
buique,13106.59175994,2613.55407079,8365.33188375,2127.7058054
cabo de santo agostinho,53325.06954624,20608.416879,31852.68336628,863.96930096
cabrobo,8187.47658076,3793.45516185,3923.6092926,470.41212631
cachoeirinha,5868.79947183,2937.57352514,2745.98210311,185.24384358
caetes,6977.56230955,1125.90681225,4799.20696581,1052.44853149
calcado,3124.75512101,855.00158452,2056.78774739,212.9657891
calumbi,1652.77211994,437.9311098,1145.89110052,68.94990962
camaragibe,42280.83486009,11592.28460769,30584.31951786,104.23073454
camocim de sao felix,5201.72158094,3065.23653036,2058.01732114,78.46772944
camutanga,2263.99999999,464.98115726,1771.0126152,28.00622753
canhotinho,6658.66223333,2530.42300347,3716.05511812,412.18411174
capoeiras,5123.84846777,1183.5123687,3220.33728197,719.9988171
carnaiba,5383.01171241,1718.76425367,3298.38428575,365.86317299
carnaubeira da penha,2610.16812339,240.33917709,1609.77223567,760.05671063
carpina,21427.39464956,2273.70735793,18743.34287175,410.34441988
