city,quantity
abreu e lima,93835.92396937
afogados da ingazeira,35016.04285106
afranio,17558.386401599993
agrestina,22679.0
agua preta,32491.92462043
aguas belas,40016.09398125
alagoinha,13759.0
alianca,37411.0
altinho,22353.0
amaraji,21930.0
angelim,10196.936818799999
aracoiaba,18060.51345839
araripina,77241.92457966
arcoverde,68125.99887405
barra de guabiraba,12751.45976977
barreiros,39669.86428276
belem de maria,11194.12332497
belem do sao francisco,20213.23313416
belo jardim,72312.45204654
betania,11979.79762031
bezerros,58620.62229035
bodoco,35060.32278286
bom conselho,45303.4163716
bom jardim,37800.3409596
bonito,37486.52183385
brejao,8844.0
brejinho,7302.74954425
brejo da madre de deus,45081.13925849
buenos aires,12515.44255452
buique,51846.12908958
cabo de santo agostinho,184340.1806808
cabrobo,30802.68702339
cachoeirinha,18800.39841555
caetes,26536.41591019
calcado,11100.25459663
calumbi,5644.77211992
camaragibe,143802.66972013
camocim de sao felix,17024.46209168
camutanga,8156.0
canhotinho,23600.28168234
capoeiras,19508.14461489
carnaiba,18569.01171243
carnaubeira da penha,11767.3362468
carpina,74715.57859827
caruaru,313937.79194695
casinhas,13766.0
catende,37048.57059249
cedro,10778.0
cha de alegria,12388.38661994
cha grande,20113.19940801
condado,23784.30309231
correntes,17291.0
cortes,12342.0
cumaru,17138.54027621
cupira,23308.04389542
custodia,33855.0
dormentes,16912.95148409
escada,63440.00000001
exu,31618.09320766
feira nova,20561.83533128
fernando de noronha,2142.19624791
ferreiros,11399.38588599
flores,22140.90875958
floresta,29266.82506952
frei miguelinho,14284.81161756
gameleira,27798.62392362
garanhuns,129140.61856317
gloria do goita,28979.9164516
goiana,75501.13819054
granito,6784.73400016
gravata,76164.36428871
iati,18360.0
ibimirim,26751.88989567
ibirajuba,7493.94512354
igarassu,101843.40721606
iguaraci,11767.96233513
ilha de itamaraca,18155.86424613
inaja,19054.01407904
ingazeira,4482.26433318
ipojuca,80353.20449082
ipubi,28050.723568299996
itacuruba,4366.0678984
itaiba,26256.0
itambe,35387.995148300004
itapetim,13865.31306003
itapissuma,22833.0
itaquitinga,15663.24171828
jaboatao dos guararapes,643950.82858725
jaqueira,11464.49745876
jatauba,15813.0
jatoba,13914.64207424
joao alfredo,30743.0
joaquim nabuco,15773.0
jucati,10581.73325927
jupi,13683.82283981
jurema,14480.88243228
lagoa de itaenga,20599.56124373
lagoa do carro,15986.0
lagoa do ouro,12039.21650357
lagoa dos gatos,15594.74711673
lagoa grande,22666.60556728
lajedo,36499.80050511
limoeiro,54170.14041308
macaparana,23892.0
machados,13592.0
manari,18083.0
maraial,11908.35999872
mirandiba,14246.45932944
moreilandia,11081.32388039
moreno,56562.40217974
nazare da mata,30671.70516992
olinda,376981.74685083
orobo,22878.0
oroco,13132.78671325
ouricuri,64291.96767064
palmares,58479.04806449
palmeirina,8189.0
panelas,25625.66404072
paranatama,10926.94119364
parnamirim,20166.47721871
passira,28495.187059099997
paudalho,51160.52134935
paulista,300015.95511743
pedra,20944.0
pesqueira,62334.11561613
petrolandia,32420.49379415
petrolina,292619.02456279995
pocao,11198.12790298
pombos,23939.83808332
primavera,13248.58656774
quipapa,24073.85453496
quixaba,6739.0
recife,1530723.07394094
riacho das almas,19156.89618796
ribeirao,44356.79019128
rio formoso,22140.0
saire,11180.70846243
salgadinho,9246.57484403
salgueiro,56071.23649527
saloa,15251.32258579
sanharo,21944.87300651
santa cruz,13594.0
santa cruz da baixa verde,11742.41420668
santa cruz do capibaribe,87233.77544592
santa filomena,13371.0
santa maria da boa vista,39435.0
santa maria do cambuca,12993.0
santa terezinha,10985.350266399999
sao benedito do sul,13904.64290403
sao bento do una,53228.0
sao caitano,35130.92823037
sao joao,21312.0
sao joaquim do monte,20428.96782936
sao jose da coroa grande,18133.51622685
sao jose do belmonte,32572.86455767
sao jose do egito,31783.86944896
sao lourenco da mata,102862.15161801
sao vicente ferrer,16986.84487207
serra talhada,79144.80921788
serrita,18331.0
sertania,33748.00506672
sirinhaem,39858.0
solidao,5744.0
surubim,58458.70205781
tabira,26391.49650276
tacaimbo,12725.0
tacaratu,21919.25608026
tamandare,20690.0
taquaritinga do norte,24753.4782529
terezinha,6708.70328233
terra nova,9272.04103258
timbauba,53694.47924899
toritama,35446.2996937
tracunhaem,13041.70358239
trindade,26061.49854175
triunfo,14972.0
tupanatinga,24370.714818
tuparetama,7889.34439195
venturosa,15991.548941100002
verdejante,9099.77280514
vertente do lerio,7873.0
vertentes,18197.93986359
vicencia,30667.59825783
vitoria de santo antao,129416.21316956
xexeu,14043.04118449
