city,total,suitable,semi_suitable,inappropriate
acaua,1877.00000001,-,1439.47750196,437.52249805
agricolandia,1533.73851476,336.28163279,1186.99296122,10.46392075
agua branca,4727.98927982,66.91077609,4605.0247303999995,56.05377333
alagoinha do piaui,2278.0,115.64511913,1951.92690151,210.42797936
alegrete do piaui,1485.23913771,14.19296837,1437.86256961,33.18359973
alto longa,3964.99999998,51.57342311,3496.75788984,416.66868703
altos,10360.18624501,295.63956251,9323.86464898,740.68203352
alvorada do gurgueia,1288.99999999,-,1224.51296849,64.4870315
amarante,4859.86195868,312.23261746,4207.79903443,339.83030679
angical do piaui,2076.99999999,143.25781747,1913.85087326,19.89130926
anisio de abreu,2562.99516238,157.55374794,2197.14107155,208.30034289
antonio almeida,866.7265228,73.45446312,761.03461459,32.23744509
aroazes,1609.3142134000002,5.81383691,1447.53273263,155.96764386
aroeiras do itaim,669.00000002,-,620.83042933,48.16957069
arraial,1250.0,116.43801165,1067.2629832999999,66.29900505
assuncao do piaui,1887.0,77.39432497,1635.61263515,173.99303988
avelino lopes,3100.00000001,5.00642828,2831.09057345,263.90299828
baixa grande do ribeiro,2514.00000001,24.35246959,2279.4629184,210.18461202
barra d'alcantara,1179.99999999,7.14825502,1157.96991989,14.88182508
barras,11297.02869397,1854.83887654,8115.05494525,1327.13487218
barreiras do piaui,796.00000001,-,751.7073752,44.29262481
barro duro,1844.1175342,737.06245044,1046.90617327,60.14891049
batalha,6922.99999999,879.12733712,5519.16572635,524.70693652
bela vista do piaui,935.5308248,210.43177744,711.19984809,13.89919927
belem do piaui,933.0,99.52069522,769.46782189,64.01148289
beneditinos,2764.995916300001,815.1661473,1637.87807609,311.95169291
bertolinia,1456.48090881,3.21744027,1359.25434965,94.00911889
betania do piaui,1579.99999998,-,1215.46546008,364.53453989999997
boa hora,1524.68096478,66.27979492,1219.3894077,239.01176216
bocaina,1385.11670254,248.43216134,1131.23215917,5.45238203
bom jesus,5711.47826736,376.28837234,5157.67806591,177.51182911
bom principio do piaui,1345.00000001,126.45473592,1066.08250721,152.46275688
bonfim do piaui,1518.99999998,-,1304.0267815,214.97321848
boqueirao do piaui,1610.52642254,13.09373413,1520.10291288,77.32977553
brasileira,2178.0705373000005,171.56589403,1850.99512168,155.50952159
brejo do piaui,1152.99999998,-,996.15346637,156.84653361
buriti dos lopes,4850.47666635,824.81591569,3573.33663931,452.32411135
buriti dos montes,2058.00000001,260.98548946,1624.00005288,173.01445767
cabeceiras do piaui,2577.47625687,298.02952113,1989.33623946,290.11049628
cajazeiras do piaui,931.99999999,258.56096151,590.34986368,83.08917480000002
cajueiro da praia,1820.93983181,33.26571419,1491.5161444,296.15797322
caldeirao grande do piaui,1539.54959524,-,1179.51737146,360.03222378
campinas do piaui,1642.0,16.54175979,1452.93008505,172.52815516
campo alegre do fidalgo,1253.46048191,3.48382159,945.47433834,304.50232198
campo grande do piaui,1614.0,9.64140639,1484.70873252,119.64986109
campo largo do piaui,1682.75297899,3.50368321,1299.20953238,380.03976339999997
campo maior,12959.43508385,2768.42093743,9747.386540200001,443.62760622
canavieira,1090.99999997,50.6378826,957.8698381000003,82.49227927
canto do buriti,5853.75348705,113.87785025,5089.55121375,650.32442305
capitao de campos,2953.55851094,95.04105422,2492.18005885,366.33739787
capitao gervasio oliveira,1147.0,5.75348983,924.2181257999999,217.02838437
caracol,2697.26168264,390.66712104,1978.47015655,328.12440505
caraubas do piaui,1451.03855022,229.59269887,938.67042787,282.77542348
caridade do piaui,1217.00000002,2.33678413,994.54044776,220.12276813
castelo do piaui,5072.99999994,582.4627065,4026.57835698,463.95893646
caxingo,1266.99999999,194.78038386,826.53928005,245.68033608
cocal,6716.52902705,36.34884265,5612.24335971,1067.93682469
cocal de telha,1328.99999996,315.97265883,942.45131751,70.57602362
cocal dos alves,1552.12684528,30.71907234,1268.33400282,253.07377012
coivaras,1018.18834947,-,902.06168124,116.12666823
colonia do gurgueia,1697.0,7.08963072,1665.43429446,24.47607482
colonia do piaui,2011.00000002,7.40897241,1941.12051284,62.47051477
conceicao do caninde,1278.0,391.65559628,782.12385739,104.22054633
coronel jose dias,1325.00000002,73.68991582,1112.23791802,139.07216618
corrente,6673.00000004,605.6933458,5447.78956893,619.51708531
cristalandia do piaui,2018.99999999,18.10058265,1751.30594952,249.59346782
cristino castro,2618.58432476,22.17844455,2524.44754865,71.95833156
curimata,2925.64669356,74.88150786,2611.93335539,238.83183031
currais,1133.0,-,1021.22128134,111.77871866
curral novo do piaui,1175.49999999,-,844.57340187,330.92659812
curralinhos,1100.07957917,122.97367323,940.78532657,36.32057937
demerval lobao,3789.77533432,20.37388011,3553.09947945,216.30197476
dirceu arcoverde,1865.92331026,-,1652.39188484,213.53142542
dom expedito lopes,1926.11106775,31.79306375,1875.10642276,19.21158124
dom inocencio,2555.30138382,23.74520621,2109.89241204,421.66376557
domingos mourao,1103.05883278,241.37120331,724.21539255,137.47223692
elesbao veloso,4326.99999999,1611.93931647,2591.31974255,123.74094097
eliseu martins,1323.72680176,367.27127049,932.72958994,23.72594133
esperantina,10131.00000001,179.93149846,9116.75652766,834.31197389
fartura do piaui,1320.70983739,-,1014.41857975,306.29125764
flores do piaui,1303.0,279.64174437,956.62642781,66.73182782
floresta do piaui,743.0,2.08897371,678.09098933,62.82003696
floriano,16113.00045017,4152.1166936,11539.77548933,421.10826724
francinopolis,1530.5650077,10.03858694,1491.28594557,29.24047519
francisco ayres,1322.87844078,291.85753515,979.64969196,51.37121367
francisco macedo,786.85426029,-,679.36792275,107.48633754
francisco santos,2479.87209761,160.26482917,2097.21809612,222.38917232
fronteiras,3079.80970104,1172.80181171,1511.10530867,395.90258066
geminiano,1572.0,86.65179124,1378.39034014,106.95786862
gilbues,2553.24999999,30.14209019,2104.77183599,418.33607381
guadalupe,2752.45044365,710.51746007,1980.66531309,61.26767049
guaribas,1072.99999999,164.72956843,777.15920927,131.11122229
hugo napoleao,1080.00000001,366.17335001,678.93409334,34.89255666
ilha grande,2194.18605528,89.81012903,1999.86656004,104.50936621
inhuma,4175.00000003,191.32392227,3820.9413857,162.73469206
