city,total,adequada,semi_adequada,inadequada
angra dos reis,53442.83711644,32151.42846485,21225.1051129,66.30353869
aperibe,3454.26890106,2358.9084896,1038.10750333,57.25290813
araruama,35827.18829963,17599.75539089,17926.69188883,300.74101991
areal,3499.98486097,849.41790372,2615.87501927,34.69193798
armacao dos buzios,8985.55808914,5321.30231228,3664.25577686,-
arraial do cabo,8930.63849879,4879.23623109,4051.4022677,-
barra do pirai,30741.82101313,17063.62652101,13573.32830903,104.86618309
barra mansa,56530.35625489,37329.22921358,19133.70096603,67.42607528
belford roxo,145666.99294559,61984.16129071,82256.47663931,1426.35501557
bom jardim,8473.00000001,3174.32975592,5250.66407055,48.00617354
bom jesus do itabapoana,11673.63876559,7870.7063228,3709.10675212,93.82569067
cabo frio,59417.54932634,30762.35918415,28415.98278745,239.20735474
cachoeiras de macacu,17846.00000003,8360.44447104,9290.78720316,194.76832583
cambuci,5109.92302837,2381.75837816,2627.68338271,100.4812675
campos dos goytacazes,142417.54705726,59197.15235968,82229.84856827,990.54612931
cantagalo,6428.00000001,3731.83231012,2620.42018453,75.74750536
carapebus,4155.36372488,1368.44987724,2674.85004444,112.0638032
cardoso moreira,4278.77689912,1841.99820815,2349.30758126,87.47110971
carmo,5736.64982234,3635.77326314,2082.88667198,17.98988722
casimiro de abreu,11485.04567445,6983.2513402,4462.08527003,39.70906422
comendador levy gasparian,2485.99999999,1571.6947044,901.55084484,12.75445075
conceicao de macabu,6696.99990338,1336.30679862,5310.27374712,50.41935764
cordeiro,6601.34748752,4770.34175518,1821.34153906,9.66419328
duas barras,3556.00000001,897.7804694,2653.90839923,4.31113138
duque de caxias,269284.28341377,111143.02887536,156559.73422563,1581.52031278
engenheiro paulo de frontin,4378.92609011,1044.247927,3326.36713855,8.31102456
guapimirim,15718.0147659,5300.08639556,10247.39227706,170.53609328
iguaba grande,7581.99999999,4880.60545122,2701.39454877,-
itaborai,69328.20004062,12066.96933047,56488.6739932,772.55671695
itaguai,33894.23695889,17684.32611251,16112.36654872,97.54429766
italva,4875.24007167,3134.58444795,1658.81867532,81.8369484
itaocara,7994,4984.19401741,2906.80766179,102.9983208
itaperuna,31878.4782466,23920.17167381,7777.67195482,180.63461797
itatiaia,9367.92344787,6647.48089443,2708.22306379,12.21948965
japeri,28424.00000001,10859.49760324,17217.06882125,347.43357552
laje do muriae,2401.02395808,1219.15410873,1138.33408186,43.53576749
macae,66906.43357643,38673.22272055,27936.02760796,297.18324792
macuco,1650.92521577,1222.78379518,428.14142059,-
mage,70394.55264756,16137.28470964,53546.68877437,710.57916355
mangaratiba,11778.03305596,4483.37651367,7264.53109857,30.12544372
marica,42831.48969878,4710.75832009,37868.75993737,251.97144132
mendes,6158.70250932,2416.2118562,3704.82274296,37.66791016
mesquita,53108.45897601,34712.07988776,18337.61189312,58.76719513
miguel pereira,8324.17013718,2984.81434579,5321.33539768,18.02039371
miracema,8162.46027965,5595.39424983,2537.2621292,29.80390062
natividade,4955.32827537,3142.22054537,1762.34041964,50.76731036
nilopolis,50496.05111234,34868.48581365,15627.56529869,-
niteroi,169161.53013666,137574.5432733,31511.80067278,75.18619058
nova friburgo,63569.1228965,38904.41853229,24606.69986932,58.00449489
nova iguacu,248092.08372617,121567.99063811,125200.11367784,1323.97941022
paracambi,15241.60624724,7815.79031655,7346.70573907,79.11019162
paraiba do sul,12825.99999997,8447.388263,4232.39587904,146.21585793
paraty,11443.97490894,4056.51835517,7294.79695461,92.65959916
paty do alferes,7998,3011.9668921,4842.24707251,143.78603539
petropolis,96250.86402043,43699.31735199,52479.66243311,71.88423533
pinheiral,7106.00000002,4862.58794542,2235.12448255,8.28757205
pirai,7959.9012991,5019.87468342,2904.21843355,35.80818213
porciuncula,5723.99999999,3498.22261372,2104.24327298,121.53411329
porto real,4968.79617241,3701.11727362,1267.67889879,-
quatis,4019.56695095,2566.70291424,1419.45586911,33.4081676
queimados,42230.36663484,21419.75776913,20531.94484799,278.66401772
quissama,6225.97824869,3636.6531461,2569.11854191,20.20656068
resende,38746.45410638,30949.28591955,7733.47550227,63.69268456
rio bonito,17177.41981739,6946.95168394,9962.38763006,268.08050339
rio claro,5487.1277623,2419.87914674,2991.24843402,76.00018154
rio das flores,2506.97398575,1302.51028367,1186.67336717,17.79033491
rio das ostras,34643.64940363,16126.67223453,18452.560309,64.4168601
rio de janeiro,2145378.67322003,1667000.07967167,478029.78303261,348.81051575
santa maria madalena,3463.99999999,1212.92988174,2174.74130944,76.32880881
santo antonio de padua,13526.99999999,8550.07345812,4803.81654795,173.10999392
sao fidelis,12806.26492626,7798.48976023,4852.51146166,155.26370437
sao francisco de itabapoana,13536.99999998,453.52270342,12546.81227179,536.66502477
sao goncalo,325721.56079006,182072.25201112,141364.9923239,2284.31645504
sao joao da barra,10616.3599662,2987.66986072,7564.99500172,63.69510376
sao joao de meriti,147435.30082728,94045.69543763,53146.02569578,243.57969387
sao jose de uba,2283.98994289,863.55048796,1396.89444385,23.54501108
sao jose do vale do rio preto,6509.00000001,1565.81189186,4934.92760297,8.26050518
sao pedro da aldeia,27733.29890934,17072.85005948,10469.05200805,191.39684181
sao sebastiao do alto,2754.94793035,943.96271433,1673.01233864,137.97287738
sapucaia,5558.53610661,2995.49476762,2384.07575806,178.96558093
saquarema,23113.97173757,4616.86241014,18236.94024628,260.16908115
seropedica,24248.6501852,11732.7680655,12280.25584539,235.62627431
silva jardim,6718.08772273,1810.31588899,4761.50528936,146.26654438
sumidouro,5082.74999997,787.7256744,4197.19227015,97.83205542
tangua,9666.99999998,1844.54298358,7740.66291565,81.79410075
teresopolis,53722.21453911,25792.79456253,27591.07010705,338.34986953
trajano de moraes,3282.55861855,542.10024159,2655.80619746,84.6521795
tres rios,24124.03260916,16562.53911598,7473.03034117,88.46315201
valenca,23087.50739494,13237.38318831,9698.88271168,151.24149495
varre-sai,2844.10868742,1111.5175158,1615.0980103,117.49316132
vassouras,11051.04900828,6089.32698997,4867.77899689,93.94302142
volta redonda,84284.40016428,71023.58671487,13252.53651308,8.27693633
