city,total,suitable,semi_suitable,inappropriate
acari,3288.45513395,2333.04213543,899.53806812,55.8749304
acu,14837.34102274,1350.24486529,13217.05031325,270.0458442
afonso bezerra,2935.32662214,1026.03071039,1731.24227158,178.05364017
agua nova,796.00000002,40.38673753,749.15216237,6.46110012
alexandria,3935.47842351,1718.17470284,1976.23504542,241.06867525
almino afonso,1436.0,70.76495283,1294.88564004,70.34940713
alto do rodrigues,3572.51483225,222.06266522,3337.04269269,13.40947434
angicos,3255.81831277,940.79507539,2251.32904423,63.69419315
antonio martins,2084.77796955,416.58460045,1580.06831482,88.12505428
apodi,10016.68458468,435.57166335,9196.77280331,384.34011802
areia branca,7242.59848092,1671.85854695,5505.63918787,65.1007461
ares,3442.45032724,514.04090633,2826.95407468,101.45534623
augusto severo,2606.05463034,336.31347012,2022.69411265,247.04704757
baia formosa,2162.65154647,176.40675039,1962.13049287,24.11430321
barauna,6726.44841569,128.59332977,6326.20435226,271.65073366
barcelona,1133.95312318,198.19481187,886.63503981,49.1232715
bento fernandes,1296.03239461,53.96337374,1187.9353746,54.13364627
bodo,694.99999999,176.44573673,492.08411485,26.47014841
bom jesus,2668.99999999,225.64624686,2385.83407006,57.51968307
brejinho,3286.30643202,603.29370997,2585.02822103,97.98450102
caicara do norte,1610.50039483,415.35127629,1191.43257451,3.71654403
caicara do rio do vento,891.43077963,419.41351776,443.4706238,28.54663807
caico,18615.99546729,11842.53898385,6593.06397895,180.39250449
campo redondo,2876.99999998,961.59706756,1611.62374812,303.7791843
canguaretama,7704.99999998,201.16279659,7298.84517281,204.99203058
caraubas,5861.26226066,707.65830665,4987.92485793,165.67909608
carnauba dos dantas,2245.35791113,309.60275598,1920.26678171,15.48837344
carnaubais,2768.20018581,859.96866113,1850.18273069,58.04879399
ceara-mirim,17292.16446627,5328.96431444,11330.13907753,633.0610743
cerro cora,3055.99999999,142.30323143,2711.955508,201.74126056
coronel ezequiel,1575.0,228.22924275,1209.66314952,137.10760773
coronel joao pessoa,1272.36788041,3.00321432,1224.87043897,44.49422712
cruzeta,2445.9425136,1314.52822689,1085.57057201,45.8437147
currais novos,12445.59298704,8858.11292454,3304.31278151,283.16728099
doutor severiano,1765.04605682,385.73893664,1319.69679696,59.61032322
encanto,1478.72439321,164.56256176,1221.1517491,93.01008235
equador,1729.99999999,685.55617895,969.06296008,75.38086096
espirito santo,2943.11405915,352.47437052,2482.26379073,108.3758979
extremoz,6514.99999998,1388.08286927,4923.15660046,203.76053025
felipe guerra,1671.05453459,40.19488269,1547.74647831,83.11317359
fernando pedroza,850.89596055,24.38624831,786.93045822,39.57925402
florania,2548.00000001,1501.35192742,980.77184459,65.876228
francisco dantas,835.20893358,17.77794526,765.97861828,51.45237004
frutuoso gomes,1296.37211882,22.83691634,1232.77258392,40.76261856
galinhos,568.22806422,-,562.3594807999998,5.86858342
goianinha,5599.66269755,1279.10732622,4320.55537133,-
governador dix-sept rosado,3464.12081249,429.11971289,2856.91016093,178.09093867
grossos,2816.13137597,215.67918479,2588.61710461,11.83508657
guamare,3331.99999999,851.95962863,2450.06252467,29.97784669
ielmo marinho,3348.60052337,108.42628998,2800.01166065,440.16257274
ipanguacu,3790.99999999,322.05282782,3369.03470931,99.91246286
ipueira,642.00000001,5.12721707,628.02759657,8.84518637
itaja,1880.35917795,226.33270931,1606.11026783,47.91620081
itau,1669.72466595,24.38259341,1634.8665693,10.47550324
jacana,2321.26855095,2.71772082,2182.61466642,135.93616371
jandaira,1854.81479182,192.43146645,1576.0101664000001,86.37315897
janduis,1507.84804368,410.05227561,1060.64979552,37.14597255
januario cicco,2451.06242327,202.31989171,2082.22407187,166.51845969
japi,1598.99999999,560.82212396,933.71516473,104.4627113
jardim de angicos,728.17880726,40.58484794,579.20046113,108.39349819
jardim de piranhas,3856.46274387,570.59664722,3180.71454927,105.15154738
jardim do serido,3841.80232157,2500.99658231,1299.85003647,40.95570279
joao camara,8551.99998486,1127.75384662,6934.93491295,489.31122529
joao dias,752.0,150.56036088,569.80021049,31.63942863
jose da penha,1805.48330745,175.29171135,1594.59839393,35.59320217
jucurutu,5250.74868032,1168.77026039,3922.96095584,159.01746409
jundia,1024.91031229,25.94456565,961.23879572,37.72695092
lagoa d'anta,1680.88860237,87.10485457,1530.59581387,63.18793393
lagoa de pedras,1959.99999998,21.24555616,1753.30812853,185.44631529
lagoa de velhos,739.55740588,90.85937723,630.83991232,17.85811633
lagoa nova,3684.00000001,1176.05955928,2291.75348569,216.18695504
lagoa salgada,2082.21837368,8.75678574,1941.52783185,131.93375609
lajes,2919.70240099,1516.02902113,1253.60911261,150.06426725
lajes pintadas,1314.00000001,402.91719371,805.77132662,105.31147968
lucrecia,1061.99999999,520.57778146,524.38255519,17.03966334
luis gomes,2603.99999998,71.32807707,2378.8437823000004,153.82814061
macaiba,19478.8747999,2638.61317693,16190.41620762,649.84541535
macau,8502.112291500001,4879.21100267,3498.72388846,124.17740037
major sales,1003.99999999,149.92308408,854.07691591,-
marcelino vieira,2388.18938075,466.80447189,1850.41529611,70.96961275
martins,2404.33488555,-,2316.30256781,88.03231774
maxaranguape,2602.42444826,80.01379106,2473.70224638,48.70841082
messias targino,1176.41613576,115.17140826,1033.37231666,27.87241084
montanhas,3099.12179505,114.62414796,2931.28387017,53.21377692
monte alegre,5707.42907226,863.80546261,4653.42929071,190.19431894
monte das gameleiras,653.09725662,130.02694948,495.22369293,27.84661421
mossoro,73350.10881772,36891.49435024,35780.13521419,678.47925329
natal,235579.24110808,125291.35988923,110141.46202427,146.41919458
nisia floresta,6375.00000001,415.09205711,5851.49988994,108.40805296
nova cruz,9772.41318939,1164.78831739,8219.86127442,387.76359758
olho-d'agua do borges,1284.04884596,33.330454,1197.78954624,52.92884572
ouro branco,1388.99999999,179.99694086,1163.11521864,45.88784049
parana,1122.99999999,4.98285566,1090.80545267,27.21169166
parau,1097.43823948,183.49087631,874.02825105,39.91911212
parazinho,1215.99999999,428.55149886,724.52001131,62.92848982
parelhas,6060.0,3585.23921651,2383.04037577,91.72040772
parnamirim,60344.1312788,29146.43362475,31118.72745359,78.97020046
passa e fica,3052.18206545,1398.5208401,1541.88097956,111.78024579
passagem,845.0,41.08987816,772.90225558,31.00786626
patu,3637.60358592,323.06759612,3162.94714724,151.58884256
pau dos ferros,8022.57022834,3724.62452516,4259.18907199,38.75663119
pedra grande,907.62254716,1.93799281,867.23834114,38.44621321
pedra preta,660.83651696,8.97244279,513.43613296,138.42794121
pedro avelino,1992.99999999,744.45229,1094.04938761,154.49832238
pedro velho,3805.11263333,1115.2559385,2585.25525649,104.60143834
pendencias,3866.00000001,1724.28806634,2141.71193367,-
piloes,959.99999999,159.11055281,753.8920688,46.99737838
poco branco,3354.65771913,180.40470674,3070.70329405,103.54971834
portalegre,2122.99723999,24.26714992,1923.30298097,175.4271091
porto do mangue,1443.47850633,-,1389.9069545,53.57155183
presidente juscelino,2317.33333333,370.2852226,1870.375763,76.67234773
pureza,2149.14012951,8.53072923,1907.32854564,233.28085464
rafael fernandes,1350.00000001,148.33050508,1091.29532311,110.37417182
rafael godeiro,949.48361486,36.98578043,868.78182614,43.71600829
riacho da cruz,907.2973699999999,473.3812024,404.44607817,29.47008943
riacho de santana,1226.00000001,95.46830019,1041.28469223,89.24700759
riachuelo,1850.99999996,765.80935505,1023.75850227,61.43214264
rio do fogo,2568.30169883,18.2298702,2512.89795561,37.17387302
rodolfo fernandes,1245.00000001,176.04702566,1039.28442257,29.66855178
ruy barbosa,968.99999998,-,861.04187328,107.9581267
santa cruz,9906.23036939,6227.38577008,3292.94044418,385.90415513
santa maria,1305.90310148,8.90396712,1195.35464424,101.64449012
santana do matos,4045.71687739,1535.7323943,2325.20704371,184.77743938
santana do serido,724.72322543,370.00634408,313.69522312,41.02165823
santo antonio,6397.99999999,1151.55670068,4956.08817483,290.35512448
sao bento do norte,789.57629015,114.12897111,654.27481455,21.17250449
sao bento do trairi,1028.00000002,459.08021792,453.43796519999995,115.4818169
sao fernando,1003.0,319.82083945,647.08392971,36.09523084
sao francisco do oeste,1154.93982182,-,1114.1605079,40.77931392
sao goncalo do amarante,24460.299686200004,11604.36798796,12640.23348598,215.69821226
sao joao do sabugi,1841.99999998,75.35757592,1695.10757609,71.53484797
sao jose de mipibu,10785.33933461,1180.15725947,9155.52914189,449.65293325
sao jose do campestre,3450.00000002,1232.88425939,2037.77143265,179.34430798
sao jose do serido,1232.7238037,698.67282734,490.22547058,43.82550578
sao miguel,6197.21567158,89.84580591,5903.47122336,203.89864231
sao miguel do gostoso,2201.00000002,4.73905228,2066.86086047,129.40008727
sao paulo do potengi,4541.77513405,2176.46407605,2262.45904031,102.85201769
sao pedro,1729.00000001,32.55592185,1536.19585718,160.24822098
sao rafael,2407.03419366,1275.63867986,1054.79700019,76.59851361
sao tome,3115.40929821,742.98843728,2057.96761133,314.4532496
sao vicente,1810.48444153,927.94373032,844.7804187,37.76029251
senador eloi de souza,1545.61865545,116.36945143,1382.52608697,46.72311705
senador georgino avelino,1041.08742113,12.10902352,1024.92339325,4.05500436
serra de sao bento,1586.00000003,99.51841561,1343.43294752,143.0486369
serra do mel,2778.82645043,11.34576461,2658.86580941,108.61487641
serra negra do norte,2145.65823842,1139.68958459,890.60818748,115.36046635
serrinha,1789.00000002,38.58966847,1570.83452628,179.57580527
serrinha dos pintos,1371.99999999,5.21228659,1354.65028097,12.13743243
severiano melo,1719.40394563,97.13978364,1572.19441547,50.06974652
sitio novo,1426.99999999,88.97530996,1207.99827782,130.02641221
taboleiro grande,690.0,6.38897796,666.78324776,16.82777428
taipu,3052.50927427,41.86078585,2728.97447247,281.67401595
tangara,3904.52321928,2210.41316345,1614.22876406,79.88129177
tenente ananias,2663.00000003,597.44634932,1867.81138407,197.74226664
tenente laurentino cruz,1539.15723724,57.99491704,1439.6345972000001,41.527723
tibau,1016.05041771,214.92408917,770.16027897,30.96604957
tibau do sul,3223.00000001,605.50287665,2600.46018332,17.03694004
timbauba dos batistas,677.0,480.88249347,196.11750653,-
touros,7884.99206535,1153.8305597,6378.92492417,352.23658148
triunfo potiguar,915.22226837,4.84905092,823.42983938,86.94337807
umarizal,3118.85902947,154.0423356,2854.05595152,110.76074235
upanema,3708.71630958,44.55646481,3439.37295195,224.78689282
varzea,1547.99999999,151.65568766,1353.34299757,43.00131476
venha-ver,932.0,32.98125391,864.77395821,34.24478788
vera cruz,2768.82498481,62.30599159,2663.8587164,42.66027682
vicosa,481.00000001,260.42608757,219.38791907,1.18599337
vila flor,690.00000001,6.99947893,680.61384338,2.3866777
