city,qt
acegua,4394
agua santa,3710.30870611
agudo,16585.15787344
ajuricaba,7233.17959096
alecrim,7030.4455114
alegrete,77082.23541211
alegria,4279.7131306
almirante tamandare do sul,2060.99625735
alpestre,7971.50119779
alto alegre,1848
alto feliz,2917
alvorada,194993.52989604
amaral ferrador,6298.41164628
ametista do sul,7293.239258
andre da rocha,1216
anta gorda,6045.56348096
antonio prado,12810.05374044
arambare,3677.59577461
ararica,4864
aratiba,6535.46989533
arroio do meio,18667.97028805
arroio do padre,2730
arroio do sal,7697.54627204
arroio do tigre,12648
arroio dos ratos,13606
arroio grande,18398.40751551
arvorezinha,10158.32256831
augusto pestana,7092.97059577
aurea,3636.58726272
bage,116348
balneario pinhal,10824
barao,5741
barao de cotegipe,6523
barao do triunfo,7015.37879804
barra do guarita,3080.71852142
barra do quarai,3951.5627892
barra do ribeiro,12490.65075978
barra do rio azul,1999.23710377
barra funda,2359.80762431
barracao,5337.7363097
barros cassal,11040.82107396
benjamin constant do sul,2305
bento goncalves,106793.40626178
boa vista das missoes,2112
boa vista do burica,6489.86472263
boa vista do cadeado,2438.55419909
boa vista do incra,2401.75215974
boa vista do sul,2776
bom jesus,11504
bom principio,11752.71181977
bom progresso,2328
bom retiro do sul,11426
boqueirao do leao,7615.28599569
bossoroca,6884
bozano,2200
braga,3682.96556101
brochier,4635.42408648
butia,20381
cacapava do sul,33440.84357168
cacequi,13604.927586
cachoeira do sul,83137
cachoeirinha,118027.74684377
cacique doble,4868
caibate,4938.67644421
caicara,5049.86112283
camaqua,62208.6082775
camargo,2592
cambara do sul,6518.5518347
campestre da serra,3240
campina das missoes,6107.28202567
campinas do sul,5494
campo bom,59667
campo novo,5457
campos borges,3491.66690352
candelaria,29901.65573025
candido godoi,6535
candiota,8748.59573274
canela,38925.1044456
cangucu,53047.51000705
canoas,323065.82946756
canudos do vale,1804.99510626
capao bonito do sul,1754
capao da canoa,41830.22519689
capao do cipo,3104
capao do leao,24233
capela de santana,11612
capitao,2636
capivari do sul,3857.01490647
caraa,7281.82498152
carazinho,58872.32073084
carlos barbosa,25112.10668887
carlos gomes,1605.32772681
casca,8637.57959005
caseiros,2994.78181487
catuipe,9313.24072017
caxias do sul,433965.0695115
centenario,2965
cerrito,6279.44504115
cerro branco,4427.68184329
cerro grande,2417
cerro grande do sul,10201.48486446
cerro largo,13069.39037776
chapada,9364.6211005
charqueadas,30599.96591628
charrua,3471
chiapetta,4040.64009638
chui,5839.79409136
chuvisca,4917.96324776
cidreira,12629
ciriaco,4922
colinas,2420
colorado,3550
condor,6549.05681359
constantina,9750
coqueiro baixo,1528
coqueiros do sul,2441.33911822
coronel barros,2450.55987268
coronel bicaco,7735
coronel pilar,1725
cotipora,3905.06885084
coxilha,2823.12400173
crissiumal,14028.73822241
cristal,7253.26992298
cristal do sul,2826
cruz alta,62404.26804567
cruzaltense,2129.14498066
cruzeiro do sul,12241.55754698
david canabarro,4683
derrubadas,3190
dezesseis de novembro,2866
dilermando de aguiar,3064
dois irmaos,27451.36643438
dois irmaos das missoes,2157
dois lajeados,3278
dom feliciano,14301.67738243
dom pedrito,38606
dom pedro de alcantara,2547.68461525
dona francisca,3398
doutor mauricio cardoso,5291.06469965
doutor ricardo,2016.99063162
eldorado do sul,34133.98348593
encantado,20434
encruzilhada do sul,24348.03382148
engenho velho,1527
entre rios do sul,3074
entre-ijuis,8894
erebango,2970
erechim,95520.17634849
ernestina,3078.68334932
erval grande,5155.35666951
