city,total,adequada,semi_adequada,inadequada
alta floresta d'oeste,7274.3952345,81.05999042,6652.87443546,540.46080862
alto alegre dos parecis,3685.36328641,10.75101803,3290.45051321,384.16175517
alto paraiso,5073.95002109,37.7725874,4653.99769819,382.1797355
alvorada d'oeste,5014.34998712,1204.84113881,3539.84805073,269.66079758
ariquemes,27190.46081669,997.26876667,25476.58966152,716.6023885
buritis,9507.13904234,9.88694104,8969.86012665,527.39197465
cabixi,1973.67067067,10.24761378,1869.32992152,94.09313537
cacaulandia,1694.10372506,72.97039334,1465.65513941,155.47819231
cacoal,24196.23366047,10635.11435776,12925.16864067,635.95066204
campo novo de rondonia,3640.08009842,5.58988241,3282.17855812,352.31165789
candeias do jamari,5675.43148484,154.18578583,4979.83242165,541.41327736
castanheiras,1116.89379816,3.98361561,1020.03203939,92.87814316
cerejeiras,5341.12028518,338.50926194,4885.44718602,117.16383722
chupinguaia,2361.03253852,10.01414727,2178.3051811,172.71321015
colorado do oeste,5961.99999998,169.50850019,5635.6360291,156.85547069
corumbiara,2649.89602512,23.77619555,2498.3190649,127.80076467
costa marques,3714.28598826,82.18003161,3256.62382305,375.4821336
cujubim,4568.42589216,85.2174456,4030.64339084,452.56505572
espigao d'oeste,8667.50775575,258.67681713,8132.81998021,276.01095841
governador jorge teixeira,2994.13179547,12.83739306,2701.472149,279.82225341
guajara-mirim,10662.86089192,1151.37958327,8696.56721249,814.91409616
itapua do oeste,2520.53986531,47.79960315,2214.40532079,258.33494137
jaru,15897.84940143,245.87798668,15149.13925611,502.83215864
ji-parana,35612.09228106,3359.3901466,31515.97593716,736.7261973
machadinho d'oeste,9169.83981164,19.26701736,8262.86249941,887.71029487
ministro andreazza,2928.00000001,44.64440268,2651.73783569,231.61776164
mirante da serra,3515.00000003,-,3227.99019315,287.00980688
monte negro,4065.23646903,23.35478826,3634.98247079,406.89920998
nova brasilandia d'oeste,5885.89854921,60.69394651,5358.72396805,466.48063465
nova mamore,6352.48757181,73.37487357,5515.37532049,763.73737775
nova uniao,2097.30344582,-,1868.62703047,228.67641535
novo horizonte do oeste,2983.58834605,9.45436411,2705.61040389,268.52357805
ouro preto do oeste,11650.34869127,472.65327531,10928.7037577,248.99165826
parecis,1389.18905662,-,1257.52465561,131.66440101
pimenta bueno,10047.04253316,2616.30139421,7312.97235694,117.76878201
pimenteiras do oeste,702.9671506,4.99254745,676.37515305,21.5994501
porto velho,119577.76528868,18324.84956744,98308.51928672,2944.39643452
presidente medici,6867.99999998,31.0726787,6535.53831598,301.3890053
primavera de rondonia,1079.72869526,6.97233854,996.19947388,76.55688284
rio crespo,996.54035616,2.37786806,903.03020953,91.13227857
rolim de moura,15835.99999998,1424.39031873,14041.12130053,370.48838072
santa luzia d'oeste,2752.41485019,8.48145889,2558.91168361,185.02170769
sao felipe d'oeste,1810.43173197,2.57795606,1695.19868361,112.6550923
sao francisco do guapore,4739.99999999,-,4349.90387906,390.09612093
sao miguel do guapore,6366.67738732,24.7461298,5776.87939134,565.05186618
seringueiras,3350.45449452,29.60732968,2989.6781817,331.16898314
teixeiropolis,1480.71925709,-,1421.23389105,59.48536604
theobroma,3081.28381996,55.83415061,2723.46050013,301.98916922
urupa,3922.90609653,102.90199826,3544.2505588,275.75353947
vale do anari,2805.6896107,4.645424,2488.97775697,312.06642973
vale do paraiso,2430.26679866,-,2263.20992401,167.05687465
vilhena,23551.31379983,2529.11226844,20892.43876177,129.76276962
