city,total,suitable,semi_suitable,inappropriate
alto alegre,3702.13208618,303.70345536,2208.05707717,1190.37155365
amajari,2100.55875612,50.17938197,1293.69508383,756.68429032
boa vista,76224.46934751,29926.09030386,45546.46103968,751.91800397
bonfim,2508.49345117,448.65435722,1350.58098038,709.25811357
canta,3624.68567422,79.16966135,2685.06597389,860.45003898
caracarai,4433.74571046,1355.33349993,2316.68835494,761.72385559
caroebe,2157.66812806,231.36002200000001,1596.70150732,329.60659874
iracema,2229.57602977,572.36281122,1271.02804033,386.18517822
mucajai,3864.60840217,51.89974627,3318.61897785,494.08967805
normandia,1696.0170353,91.88335582,931.86811519,672.26556429
pacaraima,2395.07379447,431.50756677,1529.09875863,434.46746907
rorainopolis,5944.74546906,192.43940990000002,4953.15423367,799.15182549
sao joao da baliza,1714.54657774,206.24628529,1357.73543035,150.5648621
sao luiz,1734.99999999,353.00281097,1325.0746159000005,56.92257312
uiramuta,1447.00000001,9.38786783,758.68967329,678.92245889
