city,total,suitable,semi_suitable,inappropriate
abdon batista,842.27090125,204.74865739,611.61595763,25.90628623
abelardo luz,4999.47216233,419.43024305,4323.46803647,256.57388281
agrolandia,2946.75842681,1475.59527369,1471.16315312,-
agronomica,1506.61731917,390.1893459,1085.14448002,31.28349325
agua doce,2127.17439561,900.07079438,1197.29156455,29.81203668
aguas de chapeco,1956.99894268,150.66039283,1740.18577923,66.15277062
aguas frias,725.0,185.40388473,528.44974032,11.14637495
aguas mornas,1686.05537789,366.38729406,1319.66808383,-
alfredo wagner,2959.00000002,534.12239539,2381.1270971,43.75050753
alto bela vista,678.00000001,142.41299821,531.13177793,4.45522387
anchieta,1978.1219505,210.74640908,1700.52025594,66.85528548
angelina,1623.50699166,198.94654712,1424.56044454,-
anita garibaldi,2708.99999998,1200.89159582,1489.17042303,18.93798113
anitapolis,1075.00000001,241.86620448,829.89304954,3.24074599
antonio carlos,2270.37602466,629.31489185,1628.87690036,12.18423245
apiuna,3027.99999998,1571.7829022,1433.22310417,22.99399361
arabuta,1340.34360788,371.67161055,954.5956123,14.07638503
araquari,7230.83171277,2164.87475138,5065.95696139,-
ararangua,19747.69845602,9328.22016941,10362.26284925,57.21543736
armazem,2454.68620948,803.7616554,1648.66185158,2.2627025
arroio trinta,1143.00000003,710.70864388,424.57371779,7.71763836
arvoredo,629.19976174,115.69179237,477.4759698,36.03199957
ascurra,2361.0,1674.8641543,686.1358457,-
atalanta,1069.01113953,368.74418735,696.48548544,3.78146674
aurora,1733.99999997,212.77479407,1495.64824923,25.57695667
balneario arroio do silva,3327.02295614,2673.61083343,653.41212271,-
balneario barra do sul,2889.99999999,1968.20457253,918.27560054,3.51982692
balneario camboriu,39285.5731459,34308.20026071,4977.37288519,-
balneario gaivota,2892.90499719,1014.61437726,1878.29061993,-
balneario picarras,5426.00000001,3821.70288647,1594.97389949,9.32321405
bandeirante,900.33529798,31.51996568,813.55063493,55.26469737
barra bonita,576.5568284,26.65046157,532.59648335,17.30988348
barra velha,7102.00000001,4998.85978359,2090.1406392,12.99957722
bela vista do toldo,1765.79841868,129.73981541,1482.76397611,153.29462716
belmonte,789.63616466,38.95304882,721.13089505,29.55222079
benedito novo,3173.99999998,943.96391416,2230.03608582,-
biguacu,18016.75538645,11456.89345791,6559.86192854,-
blumenau,101061.8547026,81401.85715502,19648.81451388,11.1830337
bocaina do sul,1048.00000001,28.50953355,1000.85563512,18.63483134
bom jardim da serra,1311.07386963,313.9424722,988.01354997,9.11784746
bom jesus,768.0,394.12187128,343.20660978,30.67151894
bom jesus do oeste,672.1232147000002,99.18493369,565.92090015,7.01738086
bom retiro,2714.60319312,1474.75086963,1239.85232349,-
bombinhas,4615.13270771,2994.13661589,1620.99609182,-
botuvera,1469.00000001,449.04034223,1019.95965778,-
braco do norte,8885.00000003,4474.20315208,4410.79684795,-
braco do trombudo,1118.12971634,517.62514488,600.50457146,-
brunopolis,895.0,155.61394068,713.75984566,25.62621366
brusque,33238.33835644,24599.60305063,8630.81052246,7.92478335
cacador,21984.00000001,13296.44069908,8498.53029734,189.02900359
caibi,1893.83640084,303.65175095,1568.53193666,21.65271323
calmon,897.99999996,355.17639738,500.84535283,41.97824975
camboriu,18284.86476986,12312.80504569,5972.05972417,-
campo alegre,3646.29776891,1852.86607223,1768.16974726,25.26194942
campo belo do sul,2323.79689482,1131.70101549,1127.17290345,64.92297588
campo ere,2874.79838872,420.51916457,2391.57068848,62.70853567
campos novos,10514.13380491,6219.64755925,4176.24182598,118.24441968
canelinha,3214.00000001,1380.82945503,1815.30750157,17.86304341
canoinhas,16175.60652186,8401.51294819,7453.82213837,320.2714353
capao alto,909.00000003,126.1056878,771.88370105,11.01061118
capinzal,7021.3903966000025,3990.08997432,3031.30042228,-
capivari de baixo,6915.63968057,5666.35862436,1249.28105621,-
catanduvas,2980.92984457,1664.23911987,1291.50220592,25.18851878
