city,quantity
abdon batista,2636.99883851
abelardo luz,17023.72047801
agrolandia,9314.75842683
agronomica,4877.70391507
agua doce,6942.69758245
aguas de chapeco,5965.99788528
aguas frias,2424.0
aguas mornas,5494.49840099
alfredo wagner,9389.0
alto bela vista,2005.0
anchieta,6371.1219505
angelina,5185.54894164
anita garibaldi,8603.0
anitapolis,3214.0
antonio carlos,7435.50409868
apiuna,9593.0
arabuta,4190.34360789
araquari,24750.99513827
ararangua,60813.28622793
armazem,7740.37241897
arroio trinta,3502.0
arvoredo,2250.3085516
ascurra,7412.0
atalanta,3288.0445581
aurora,5547.0
balneario arroio do silva,9557.14373734
balneario barra do sul,8424.0
balneario camboriu,107454.12989564
balneario gaivota,8184.16738969
balneario picarras,17034.0
bandeirante,2900.67059594
barra bonita,1872.22731359
barra velha,22339.0
bela vista do toldo,5982.28566744
belmonte,2612.50755701
benedito novo,10321.0
biguacu,58048.75538643
blumenau,307186.98964836
bocaina do sul,3280.0
bom jardim da serra,4374.12283084
bom jesus,2526.0
bom jesus do oeste,2130.12321469
bom retiro,8888.05529603
bombinhas,14029.26541539
botuvera,4466.0
braco do norte,28981.0
braco do trombudo,3371.12971634
brunopolis,2850.0
brusque,105082.33835644
cacador,70439.0
caibi,6158.26900659
calmon,3387.0
camboriu,62210.31846326
campo alegre,11683.19107573
campo belo do sul,7423.95281362
campo ere,9318.72552983
campos novos,32703.73970685
canelinha,10603.0
canoinhas,52437.36956678
capao alto,2753.0
capinzal,20722.78079317
capivari de baixo,21663.63968056
catanduvas,9532.92984456
caxambu do sul,4411.0
celso ramos,2767.47113879
cerro negro,3573.09292939
chapadao do lageado,2754.43012752
chapeco,182204.24411672
cocal do sul,15159.0
concordia,68500.27282289999
cordilheira alta,3767.0
coronel freitas,10201.0
coronel martins,2458.0
correia pinto,14566.044164200002
corupa,13823.0
criciuma,190744.32664929
cunha pora,10580.57475849
cunhatai,1876.40662244
curitibanos,37467.060777
descanso,8626.0
dionisio cerqueira,14760.43333453
dona emma,3704.74205553
doutor pedrinho,3604.0
entre rios,3018.0
ermo,2024.48348319
erval velho,4348.0
faxinal dos guedes,10661.0
flor do sertao,1584.88172251
florianopolis,418652.35345749
formosa do sul,2601.0
forquilhinha,22502.68637777
fraiburgo,34553.0
frei rogerio,2474.0
galvao,3472.0
garopaba,18025.05340345
garuva,14678.03430139
gaspar,57725.00137089
governador celso ramos,12972.99626553
grao para,6223.0
gravatal,10616.098887200002
guabiruba,18424.96921647
guaraciaba,10431.76580214
guaramirim,35172.0
guaruja do sul,4897.62717836
guatambu,4679.0
herval d'oeste,21178.78218465
ibiam,1945.0
ibicare,3373.0
ibirama,17318.0
icara,58734.51354975
ilhota,12355.0
imarui,11654.25152818
imbituba,39731.31822624
imbuia,5657.43933647
indaial,54782.0
iomere,2729.0
ipira,4734.77425312
