city,total,adequada,semi_adequada,inadequada
adamantina,11324.28449169,10065.03925667,1244.28939038,14.95584464
adolfo,1200,988.58936468,206.63175197,4.77888335
aguai,9898.99999996,7361.08431881,2380.28979921,157.62588194
aguas da prata,2503.83945404,1828.53153227,675.30792177,-
aguas de lindoia,5592.99368374,4475.82312637,1111.85816579,5.31239158
aguas de santa barbara,1872.99999999,1187.48361146,666.68227136,18.83411717
aguas de sao pedro,990.00000001,910.36911147,79.63088854,-
agudos,10139.60937536,8005.22697216,2120.54332307,13.83908013
alambari,1526.00000001,733.20905578,777.43737667,15.35356756
alfredo marcondes,1349.22970064,1013.7380472,325.05140497,10.44024847
altair,1186.00000001,795.44928325,390.55071676,-
altinopolis,4879.00000001,3680.23163946,1145.44425063,53.32410992
alto alegre,1374.99999999,995.55772487,362.57823703,16.86403809
aluminio,4979.63560911,3008.95548625,1970.68012286,-
alvares florence,1427.99999998,926.04344181,495.45946864,6.49708953
alvares machado,7431,5478.75542673,1906.32523713,45.91933614
alvaro de carvalho,1012.00000001,768.36417242,240.00981413,3.62601346
alvinlandia,908.46781091,701.09273748,202.17727472,5.19779871
americana,67653.72096446,57343.97511256,10289.42026254,20.32558936
americo brasiliense,10289.99999999,7922.82750375,2367.17249624,-
americo de campos,1976,1537.31937527,432.93406241,5.74656232
amparo,20522.69310447,15034.61217584,5453.67227733,34.4086513
analandia,1374.50975653,898.97512199,445.79793188,29.73670266
andradina,18085.87129863,14497.92992631,3450.25877507,137.68259725
angatuba,7044.16939807,4584.0714869,2382.60321556,77.49469561
anhembi,1773.47284359,1134.6968018,632.80120906,5.97483273
anhumas,1149.81553387,855.89512695,287.94483793,5.97556899
aparecida,10320.17442557,8164.83011153,2155.34431404,-
aparecida d'oeste,1556.93053412,1184.43576608,361.0918701,11.40289794
apiai,7561.47773105,3392.56825677,4121.70501811,47.20445617
aracariguama,4939.99999998,1854.11966169,2942.14333588,143.73700241
aracatuba,60561.43701381,52683.99709148,7783.19112439,94.24879794
aracoiaba da serra,8572,3217.49909683,5329.02968853,25.47121464
aramina,1653.00000001,1341.35098475,308.07399646,3.5750188
arandu,1898.14871312,1124.22631939,770.89791954,3.02447419
arapei,799.99999998,361.31952752,426.57587004,12.10460242
araraquara,68765.15816969,60259.97799247,8438.11226062,67.0679166
araras,36330.40872498,30735.09630505,5577.63086622,17.68155371
arco-iris,641.95629954,355.33361146,284.06579239,2.55689569
arealva,2659.98130592,1776.21539703,858.02675768,25.73915121
areias,1080.07146368,539.06743384,504.47942204,36.5246078
areiopolis,3030.1039711,2378.38752335,651.71644775,-
ariranha,2687.21585548,2062.09538172,617.30059515,7.81987861
artur nogueira,13477.27163228,9700.22194266,3755.64561433,21.40407529
aruja,21420.27781151,12448.28042926,8971.99738225,-
aspasia,605,394.59036048,207.7906278,2.61901172
assis,31101.33052399,27115.88296185,3952.33141952,33.11614262
atibaia,38353.06912572,21196.39288237,17101.07620414,55.60003921
auriflama,4722.99999999,3887.10073996,823.10472281,12.79453722
avai,1561.76372123,867.62088324,683.94150378,10.20133421
avanhandava,3069.68112611,2425.26772848,629.1672921,15.24610553
avare,26225.96855031,21055.88573791,5100.51237077,69.57044163
bady bassitt,4704.08619203,3866.9909275,823.95815123,13.1371133
balbinos,473.00000001,349.12828735,123.87171266,-
balsamo,2753.18501563,2284.33778396,468.84723167,-
bananal,3284.99999999,2221.14499158,1049.39993302,14.45507539
barao de antonina,1018.62601865,536.13633108,481.01454676,1.47514081
barbosa,2031.79893369,1484.41695744,518.00138633,29.38058992
