city,qt
adamantina,33490.28449169
adolfo,3557
aguai,32089
aguas da prata,7510.10684467
aguas de lindoia,17139.99368372
aguas de santa barbara,5584
aguas de sao pedro,2687
agudos,34173.59959988
alambari,4863
alfredo marcondes,3888.22970064
altair,3800
altinopolis,15527
alto alegre,4102
aluminio,16756.86187507
alvares florence,3897
alvares machado,23494
alvaro de carvalho,3294
alvinlandia,2992.93562181
americana,209870.80241833
americo brasiliense,34381
americo de campos,5700
amparo,65549.19756284
analandia,4260.58099782
andradina,54263.74259733
angatuba,22145.33879614
anhembi,5559.8629356
anhumas,3710.16097037
aparecida,34638.51026587
aparecida d'oeste,4422.8610682
apiai,25078.95546208
aracariguama,16922
aracatuba,180598.81538391
aracoiaba da serra,27196
aramina,5152
arandu,6073.63743615
arapei,2493
araraquara,206752.86891681
araras,117904.89868007
arco-iris,1916.8251983
arealva,7816.98130592
areias,3640.214391
areiopolis,10554.51985549
ariranha,8532.21585546
artur nogueira,44116.81489687
aruja,74668.55562309
aspasia,1809
assis,93243.25910788
atibaia,125665.16085115
auriflama,14153
avai,4914.76372124
avanhandava,10134.6811261
avare,80891.65426439
bady bassitt,14593.08619202
balbinos,1365
balsamo,8150.37003122
bananal,10154
barao de antonina,3084.5457586
barbosa,6419.34440081
bariri,31460.24447115
barra bonita,35166.35805404
barra do chapeu,5244
barra do turvo,7671.41556859
barretos,111721.38969896
barrinha,28487
barueri,240633.50599123
bastos,20425
batatais,56263.84009477
bauru,339663.70946053
bebedouro,74808.27646118
bento de abreu,2674
bernardino de campos,10660.1763316
bertioga,47273.1456198
bilac,7028
birigui,108314.85633353
biritiba-mirim,28538.28044028
boa esperanca do sul,13625.82033822
bocaina,10772.93794949
bofete,9618
boituva,48236
bom jesus dos perdoes,19689
bom sucesso de itarare,3552.13689478
bora,805
boraceia,4268
borborema,14456.7177015
borebi,2275.10880616
botucatu,126889.97939236
braganca paulista,145884.8684844
brauna,4999.59055295
brejo alegre,2550.84395032
brodowski,21057.9602353
brotas,21522
buri,18498.41977376
buritama,15349.98203171
buritizal,4052
cabralia paulista,4356
cabreuva,41537.54182994
cacapava,84416.60783705
cachoeira paulista,29922.16009413
caconde,18439.91816842
cafelandia,16545
caiabu,4054.94875307
caieiras,86320.73643435
caiua,4871.49817526
cajamar,64048.96615506
cajati,28229.74636063
cajobi,9768
cajuru,23277
campina do monte alegre,5530.34948006
campinas,1074237.70041045
campo limpo paulista,73623.82188658
campos do jordao,47329.42328005
campos novos paulista,4539
cananeia,12159.88831896
canas,4384
