city,total,has_children,children_born,children_borned_live,children_borned_dead
acrelandia,4608.94191588,3025.94849169,11559.26482058,11133.12154909,426.14327152
assis brasil,2257.86898692,1464.82304686,5864.28568459,5631.19342745,233.09225707
brasileia,8300.61740541,5368.40522957,20432.84890577,19327.11484805,1105.73405773
bujari,3043.27935451,2067.2723593,8457.2187206,8188.24721796,268.97150256
capixaba,3233.10144071,2154.6150654,8996.54642519,8677.28751277,319.25891242
cruzeiro do sul,30372.08262221,17944.40636604,75729.93302917,72273.63151379,3456.30151537
epitaciolandia,5973.42508406,3931.00113966,14462.08992557,13874.17612587,587.91379978
feijo,11240.63300039,6801.94385501,30798.71205181,29616.68293831,1182.02911354
jordao,2035.05686935,1165.43522151,5072.33112535,4936.6821196,135.6490058
mancio lima,5500.6370891,3125.97786911,12808.00276928,12356.50409164,451.49867762
manoel urbano,2716.76275817,1749.11336236,7985.58920079,7625.31553169,360.27366909
marechal thaumaturgo,4526.66275757,2669.21115482,14239.33403128,13592.95761944,646.37641186
placido de castro,6373.48892394,4216.183952,17258.29765839,16616.93071921,641.36693922
porto acre,5505.00650143,3572.44959679,13689.38579533,13219.06105314,470.32474224
porto walter,2897.33379113,1751.4177235,9679.06428039,9369.09520347,309.96907684
rio branco,141774.50649106,86327.32312943,274222.89372387,263150.14875184,11072.74497206
rodrigues alves,4893.87021317,2506.95625277,11900.65205419,11554.99066052,345.66139368
santa rosa do purus,1497.81392162,878.92684309,3431.08984969,3379.09068736,51.99916233
sena madureira,14218.40056306,8660.41726403,35034.36053853,32949.95125541,2084.40928309
senador guiomard,7816.24365692,5144.02801749,20142.06183725,19348.57109647,793.49074074
tarauaca,12268.66200753,7311.08691943,33642.76225943,32681.03546145,961.72679789
xapuri,6072.76385387,4085.42017469,16556.44460436,15695.78817576,860.65642869
