city,total
acrelandia,5527.14604617
assis brasil,2353.82666821
brasileia,9111.29505906
bujari,3601.38026773
capixaba,3422.96591308
cruzeiro do sul,28539.82687171
epitaciolandia,6232.16783717
feijo,11529.79776534
jordao,2216.41154488
mancio lima,5596.74263801
manoel urbano,2938.83239361
marechal thaumaturgo,4899.21496214
placido de castro,7083.39790556
porto acre,6112.25031018
porto walter,2877.32351238
rio branco,129393.27677397
rodrigues alves,5159.62446642
santa rosa do purus,1573.18863651
sena madureira,13817.528082
senador guiomard,8122.67382414
tarauaca,12087.78315404
xapuri,5973.09421644
