city,total,has_children,children_born,children_borned_live,children_borned_dead
agua branca,7777.58549699,4678.04704702,23154.03714239,22017.04617792,1136.9909645
anadia,7275.32944892,4607.04576272,19471.40510883,18311.82693406,1159.57817477
arapiraca,93912.04054249,56810.58916837,220927.19480528,209781.44054478,11145.75426054
atalaia,17492.31463009,10842.27502905,43355.00964207,41174.63605648,2180.37358549
barra de santo antonio,5736.57689389,3470.28846267,13128.70011055,12588.60854808,540.09156248
barra de sao miguel,3126.45836364,1904.96078092,6734.95316404,6506.47397606,228.47918796
batalha,7116.7857217,4319.59321992,19314.05578668,18526.87871763,787.17706905
belem,1957.91275373,1243.66165476,5394.18891523,5233.26550643,160.92340879
belo monte,2818.97978187,1682.53825839,8374.25419483,7932.97211383,441.28208097
boca da mata,10585.18915275,6697.72381297,27509.4841992,25870.14598421,1639.33821501
branquinha,4054.19043734,2072.04599371,9042.86807717,8549.7919331,493.07614408
cacimbinhas,4247.38019039,2757.67760566,12565.10162522,12075.21297216,489.88865305
cajueiro,8282.35203242,5310.39880147,22479.73675498,21277.53984158,1202.19691338
campestre,2656.8590606,1620.48651344,7234.81198349,6836.56655497,398.24542852
campo alegre,20483.35141499,11123.15917733,44607.28405871,41955.95852045,2651.32553836
campo grande,3756.76410231,2176.84733871,11318.79804263,10727.74038185,591.05766079
canapi,6666.38043494,3971.31642483,21500.47395855,20629.32067499,871.15328352
capela,6901.02436301,4341.64068707,19309.66156364,18170.17832009,1139.48324358
carneiros,3240.8510395,1975.32122462,9651.10585627,9189.70749024,461.39836604
cha preta,2767.37270904,1752.07036658,8304.90546512,7767.92381221,536.9816529
coite do noia,4493.82498906,2673.68579678,12749.82651269,11986.36611849,763.46039426
colonia leopoldina,7802.51224546,4922.94166086,21936.83046874,20647.61458587,1289.21588283
coqueiro seco,2278.10360734,1495.32434995,5824.82944151,5578.27156139,246.55788007
coruripe,21349.03904738,13639.44336622,51211.27008552,48367.49565195,2843.77443362
craibas,9393.73462925,5571.26856558,28880.67364595,27698.96695065,1181.70669521
delmiro gouveia,20602.35769767,13239.64727061,50322.60602698,47629.8900883,2692.71593873
dois riachos,4400.84736271,2611.61100522,11697.59847656,10754.52199145,943.07648511
estrela de alagoas,7375.75977138,4434.5783476,21567.59762839,20246.99147501,1320.6061534
feira grande,8813.31274321,5190.03367131,23636.28932003,22527.47479654,1108.81452344
feliz deserto,1795.44717451,1205.15232467,4919.49970502,4717.77820053,201.72150451
flexeiras,4824.22905358,3100.3842183,13886.87766045,13072.29470916,814.58295126
girau do ponciano,14893.65428118,8578.75428631,40413.58735722,38379.78432477,2033.80303246
ibateguara,6101.07773579,3541.5093701,16931.54600359,15436.74451899,1494.80148466
igaci,10632.55142357,6365.91520835,29876.41301198,27946.12743874,1930.28557322
igreja nova,9465.25059272,5664.76492828,26017.93515064,23995.26846866,2022.66668202
inhapi,7141.29006206,3954.65923565,19682.13401693,18500.50276347,1181.63125346
jacare dos homens,2177.56298072,1362.70585246,6361.54798967,6053.84948306,307.69850661
jacuipe,2722.41293338,1755.58598362,7721.58755671,7261.01798777,460.56956895
japaratinga,2976.57541921,1939.23665033,8223.57002707,7700.34103143,523.22899563
jaramataia,2218.73855774,1345.81234575,6163.49823136,5903.03038254,260.4678489
jequia da praia,4714.26651663,2752.93966674,11048.73846538,10505.41198492,543.32648045
joaquim gomes,8526.99499517,5060.28902929,23469.58481558,22261.62381087,1207.96100471
jundia,1685.61202473,1068.63056125,4785.3642656,4705.23871761,80.12554802
junqueiro,9966.00022338,6054.46951189,28340.23359814,27000.95950185,1339.27409633
lagoa da canoa,7624.00279692,4601.22344584,22053.92879463,20940.09818033,1113.83061433
limoeiro de anadia,11205.39088677,6583.48167981,29486.26977477,27890.1744091,1596.09536569
maceio,423261.67890485,262695.24648065,781086.70473807,740034.72205604,41051.98268209
major isidoro,7895.49223382,4823.78974091,22358.45166186,21049.11504861,1309.3366133
mar vermelho,1526.25809416,975.14005699,4507.49842029,4277.0838795,230.41454079
maragogi,11367.8676678,6287.54838099,25880.90431571,24585.54511026,1295.35920536
maravilha,4112.63916698,2679.5564432,12886.50718867,12238.7281678,647.77902085
marechal deodoro,19226.32221589,12188.92636213,43684.14687741,41290.95543477,2393.19144262
maribondo,5901.70555893,3640.07114528,16127.94563876,15488.34986487,639.59577383
mata grande,9825.38469418,6018.01526181,30075.61776318,28577.10061651,1498.51714667
matriz de camaragibe,9850.94000479,5856.68544519,25186.1717279,23581.53901532,1604.6327126
messias,6383.30616225,4138.39949349,17835.00414623,16678.64888731,1156.35525887
minador do negrao,2235.88753417,1385.70521213,6431.04447642,6055.87014627,375.17433021
monteiropolis,2847.57813774,1658.81350037,8650.88040751,8322.29771732,328.58269017
murici,10685.53421711,5579.10071465,24693.27527121,23221.61819119,1471.65708001
novo lino,4700.28451147,3009.63129748,13514.36224034,12686.71415433,827.64808602
olho d'agua das flores,8700.63141979,5203.47967345,22995.18232462,21973.39492074,1021.78740384
olho d'agua do casado,3342.67522973,2089.94512192,10104.08070882,9697.6118869,406.4688219
olho d'agua grande,1954.14004288,1177.96676891,6353.71750487,6012.47615591,341.24134901
olivenca,4434.85835447,2710.687776,14270.76454117,13738.67980615,532.08473503
ouro branco,4367.20355496,2776.76188143,13696.35275422,13475.14651507,221.20623916
palestina,2112.24471875,1242.35240142,6879.92786979,6679.52066149,200.40720829
palmeira dos indios,30930.85198152,19133.43299447,74085.10159105,70554.72158455,3530.38000643
pao de acucar,9997.10851444,5918.06804181,27402.98980417,25865.72900731,1537.26079679
pariconha,4097.03034582,2385.37355414,11941.85943623,11502.74818681,439.11124942
paripueira,4679.02808059,2953.75948079,11936.69558019,11255.12624025,681.56933996
passo de camaragibe,5624.348748,3833.28784589,16617.50415614,15647.82306617,969.68108998
paulo jacinto,3135.23081477,1952.09305627,8891.53527513,8491.60479541,399.93047972
penedo,25923.5306021,15945.4734028,63918.91270027,60339.28095384,3579.63174647
piacabucu,7097.94555899,4560.46629752,19232.2050682,18380.61272629,851.59234185
pilar,14031.02590499,9129.65744421,35202.14337125,33628.99677301,1573.14659824
pindoba,1166.45467377,731.09090876,3263.22781052,3175.78270723,87.44510329
piranhas,9323.1356042,5155.3771707,23422.40196824,21969.21199255,1453.18997572
poco das trincheiras,5346.03225145,3086.25027506,16442.74047746,15861.19977076,581.54070674
porto calvo,10356.97286717,6637.02956859,27788.66855508,26276.80418798,1511.86436715
porto de pedras,3309.70950408,2152.81777914,9202.02015391,8564.99386913,637.02628479
porto real do colegio,7935.98950236,4892.38642512,21974.9196475,20811.58622014,1163.33342735
quebrangulo,4805.3470584,2917.40521012,12386.85173289,11659.01320113,727.83853166
rio largo,29331.04760361,18194.38555242,65304.80634294,60829.03296615,4475.77337667
roteiro,2490.93349285,1691.26035631,7604.90020712,7287.8102626,317.08994453
santa luzia do norte,2862.96735807,1835.22290411,7106.0417757,6654.37215062,451.66962508
santana do ipanema,18634.61238699,11376.39867419,49298.44244392,46468.88378426,2829.55865973
santana do mundau,4480.43601101,2348.35999272,10454.60131532,9879.49309903,575.10821631
sao bras,2755.25011624,1727.58120548,8663.60990757,8301.66596536,361.94394218
sao jose da laje,9322.40710525,5432.61871322,23871.79407623,22289.23117102,1582.56290517
sao jose da tapera,11920.79598245,6733.72090661,36777.86466341,34612.23068474,2165.63397871
sao luis do quitunde,12555.96780439,7953.24856088,33808.28350945,31460.04506275,2348.23844667
sao miguel dos campos,22752.26995816,14654.07728014,54951.37043015,51389.57837306,3561.79205706
sao miguel dos milagres,2913.40352693,1987.55411852,7720.33372414,7425.34532541,294.98839875
sao sebastiao,13026.49463366,8015.59284598,38206.94114584,36229.09146484,1977.84968105
satuba,6307.76074103,3431.19705661,10833.51698687,10548.25414521,285.26284166
senador rui palmeira,5145.22166707,2930.72924763,16673.28319293,16016.93952696,656.34366597
tanque d'arca,2591.61295492,1564.62250839,7058.31531138,6565.21361837,493.10169295
taquarana,8001.49244104,4982.18542977,23286.96188198,22307.09170799,979.87017393
teotonio vilela,16598.62499488,10495.30888983,46492.53679207,43597.36095008,2895.17584207
traipu,10038.77272153,5720.64180317,27936.22988445,26291.86061672,1644.36926772
uniao dos palmares,26087.15702095,16014.00157245,66739.37982699,62264.84665304,4474.53317402
vicosa,10638.42123157,6341.74722917,25568.99341489,23845.71744065,1723.2759742
