city,total,married,separated,divorced,widow,single
agua branca,15409.16981083,5630.75610161,117.66022114,136.07924203,792.03853866,8732.63570739
anadia,14204.93836656,3899.53262494,91.86982979,249.42836955,802.79977825,9161.30776403
arapiraca,177218.54528416,64354.33083864,2551.54894743,5120.97320866,9288.78375744,95902.90853199
atalaia,35017.20219661,8143.46891362,454.69826472,459.97626853,1676.07418673,24282.98456301
barra de santo antonio,11330.12864646,2193.2653048,42.46421984,115.36539955,425.11321724,8553.92050503
barra de sao miguel,6170.61664129,1635.07454196,35.14459518,91.18073305,196.41941696,4212.79735414
batalha,13837.20421371,4749.90653312,153.69395127,244.17519752,657.62945607,8031.79907573
belem,3796.59957107,1316.58208433,29.86313,100.16100296,235.53686942,2114.45648436
belo monte,5717.41929234,2047.01122149,24.54942415,43.97576885,164.53487134,3437.34800651
boca da mata,20806.12279288,5211.32984854,118.07932454,376.79126061,952.86166024,14147.06069895
branquinha,8353.81936236,2208.61480872,53.38157499,103.1456093,378.1067837,5610.57058565
cacimbinhas,8303.11002523,2905.57650549,105.74671879,108.67189729,439.4636976,4743.65120606
cajueiro,16109.75760098,3826.14020914,144.45799591,244.91799692,874.53166915,11019.70972986
campestre,5238.88434049,1071.50759378,20.55350768,65.24284318,260.45055869,3821.12983716
campo alegre,40315.85793211,10536.30370484,315.74228069,361.05352344,1245.34964608,27857.40877706
campo grande,7366.48341626,2628.0219734,31.0669351,99.43025822,331.1686879,4276.79556164
canapi,13382.45934347,3615.94581628,114.61795534,45.02750438,651.14846735,8955.71960012
capela,13575.94084722,3579.42230401,142.25724921,225.73250373,714.96763762,8913.56115265
carneiros,6332.10000455,2050.18234711,77.98166174,64.52485672,357.14138957,3782.26974941
cha preta,5628.82006309,1587.86255434,27.1038608,70.91799006,293.72902238,3649.20663551
coite do noia,8928.30654138,3706.8443716,81.41808042,67.1556844,460.54095693,4612.34744803
colonia leopoldina,15730.05039772,3163.47607802,169.87351587,147.35895864,799.06979975,11450.27204544
coqueiro seco,4527.52486129,846.7100545,30.80901814,107.5745291,291.45182596,3250.97943359
coruripe,41772.43537784,12683.11627312,353.76290181,499.856089,1668.32787986,26567.37223405
craibas,18303.8133849,7208.22095215,199.43633284,200.31569854,725.15085703,9970.68954434
delmiro gouveia,39150.56243826,13478.1513162,514.50067098,719.48021869,1840.67978072,22597.75045167
dois riachos,8733.18308092,2760.33846029,107.91849011,111.87803009,401.23626461,5351.81183582
estrela de alagoas,14239.87915036,6184.06424612,186.60113,184.30323577,765.26007255,6919.65046592
feira grande,17234.90199845,6566.68382024,149.59883925,187.55598196,781.52019822,9549.54315878
feliz deserto,3531.37575378,877.41169962,59.58896953,42.09385395,165.81687025,2386.46436043
flexeiras,9806.11643858,2017.17636653,108.43528102,129.87999796,434.60914041,7116.01565266
girau do ponciano,29374.45862336,10681.79847619,349.53554638,298.44192872,1129.13551603,16915.54715604
ibateguara,12083.63987744,2775.40894852,152.27794151,83.72988056,753.68187014,8318.54123671
igaci,20612.31184527,8547.60485362,146.56924421,411.12182697,1133.50061043,10373.51531004
igreja nova,19059.2908774,7144.83289436,148.32542789,188.01400334,853.39639323,10724.72215858
inhapi,13904.78650009,4450.18894386,72.64909943,111.52588612,531.20261343,8739.21995725
jacare dos homens,4281.1848581,1226.98334516,19.86258945,66.6056625,155.70764015,2812.02562084
jacuipe,5578.63937271,921.6785316,28.03888212,39.22279879,244.14480851,4345.55435169
japaratinga,6023.83703698,1299.79746375,15.75763169,87.44525169,251.76156079,4369.07512906
jaramataia,4474.02122226,1754.06304882,64.10929862,38.39945754,160.47812439,2456.97129289
jequia da praia,9609.92162293,2073.96809042,60.43442817,69.76522478,337.02336573,7068.73051383
joaquim gomes,17482.02936858,2991.40567335,52.4869931,157.87757585,631.61734981,13648.64177647
jundia,3430.61444958,665.64283276,21.10239831,22.57074054,169.41472428,2551.88375369
junqueiro,19522.59899442,6311.63096068,238.09848295,338.44946288,1006.06461635,11628.35547156
lagoa da canoa,14909.68838838,5902.80213137,106.06638254,209.16836454,615.50441853,8076.1470914
limoeiro de anadia,22109.52080803,8253.76203308,199.92508465,362.50207676,1065.74072265,12227.59089089
maceio,784570.18307828,248885.47565098,10968.24911218,29600.97886415,37053.31115629,458062.16829468
major isidoro,15416.98059896,5859.5883488,209.03617197,341.90436183,921.86273175,8084.58898461
mar vermelho,3009.23322531,888.74056687,30.86205149,29.4142415,143.31332228,1916.90304317
maragogi,22778.22234675,4449.43221276,73.96627828,337.76271209,722.28602524,17194.77511838
maravilha,8252.29292718,2029.82063199,62.86889547,65.25257912,264.92799995,5829.42282065
marechal deodoro,37356.15610774,8994.42849877,292.95050806,877.52801966,1174.14227405,26017.1068072
maribondo,11277.1781096,4052.35925552,226.5324209,196.74826735,773.97565634,6027.56250949
mata grande,19406.08171226,6977.12062152,222.43804053,103.73398051,984.61780638,11118.17126332
matriz de camaragibe,18986.71349739,4730.77222805,109.76944409,179.2225664,827.21553717,13139.73372168
messias,12423.12563864,3005.20242935,61.08972204,175.6475335,500.25418699,8680.93176676
minador do negrao,4414.37021179,1901.93901418,51.3904266,47.38043909,248.1717471,2165.48858482
monteiropolis,5486.67230208,1476.23964904,40.84834547,23.22654075,216.07427696,3730.28348986
murici,21088.31775946,4657.25066245,119.29311286,294.9777141,947.53890552,15069.25736453
novo lino,9596.41615534,1664.21865527,24.35957493,91.56941063,332.97095664,7483.29755787
olho d'agua das flores,16468.15465748,4326.08622824,111.40711165,239.09402288,674.16327424,11117.40402047
olho d'agua do casado,6677.55777003,1678.48932506,57.38285249,61.59426625,306.75784457,4573.33348166
olho d'agua grande,3891.01886427,1325.88270875,23.02803655,52.15066023,199.91415248,2290.04330626
olivenca,8990.2765065,3062.04942554,57.67674013,52.52432867,423.16431623,5394.86169593
ouro branco,8742.41088338,2664.57881439,31.15153342,96.63394659,328.26667151,5621.77991747
palestina,4058.81362426,732.04844673,15.33834175,10.81926799,174.45129538,3126.15627241
palmeira dos indios,58410.98457461,22454.8468202,1099.73043999,1417.93662688,3704.76043335,29733.71025419
pao de acucar,19472.34536183,5417.27286193,159.6559582,267.94261994,1015.8223378,12611.65158396
pariconha,8167.20532901,2890.37849606,110.89150365,41.77530486,354.15874646,4770.00127798
paripueira,9178.85948899,2119.71813061,54.64502042,174.26985587,405.67303604,6424.55344605
passo de camaragibe,11384.08724731,2122.61472744,47.74013034,97.23451186,464.34159757,8652.1562801
paulo jacinto,6062.13563388,1804.50019749,32.89976349,47.54153164,392.78855615,3784.40558511
penedo,49878.669907,15747.19141457,557.80565886,1168.9669248,2553.91916654,29850.78674223
piacabucu,14034.41131104,3476.41184316,160.5408269,191.57548955,713.9913962,9491.89175523
pilar,26844.81888887,6701.93477639,251.13894822,559.94042587,1373.0467019,17958.75803649
pindoba,2342.02208967,698.6403084,6.78517859,9.08119527,91.00105726,1536.51435015
piranhas,17971.95448416,4507.03982308,298.59702901,294.39934004,583.0361738,12288.88211823
poco das trincheiras,10866.62032809,3997.56997376,47.18220538,48.06451373,369.96303213,6403.84060309
porto calvo,20343.84598201,4625.486932,234.42759146,349.40056185,922.43135445,14212.09954225
porto de pedras,6701.2435548,1359.16418796,55.66879401,67.72294752,256.24894909,4962.43867622
porto real do colegio,15696.01120175,5315.08020463,81.52082154,218.75336749,770.80132529,9309.8554828
quebrangulo,9464.05453386,3241.78046139,60.01307303,140.33536735,458.65756732,5563.26806477
rio largo,56359.38675766,17743.80458862,774.93115547,1339.44190622,2952.27552888,33548.93357847
roteiro,5012.30328658,1119.25070111,25.40684194,56.39515573,152.75271241,3658.49787539
santa luzia do norte,5579.79751378,1305.33315811,48.81447664,62.93844243,308.43390221,3854.27753439
santana do ipanema,35859.30631619,12469.46004021,405.46335053,602.4986969,1548.57316058,20833.31106797
santana do mundau,8917.81300688,2423.90397251,148.84578315,36.17714277,510.99253248,5797.89357597
sao bras,5446.99507895,1636.56788365,56.86932024,64.29099656,313.27754019,3375.98933831
sao jose da laje,18201.14787999,5534.32323851,123.35198781,409.21122177,1044.74026033,11089.52117157
sao jose da tapera,23325.37086543,5756.36487814,316.65208416,238.7004193,960.55528878,16053.09819505
sao luis do quitunde,25212.54924092,5263.46823996,63.54996175,385.69393085,857.58130315,18642.25580521
sao miguel dos campos,43927.35506719,12315.15831155,467.78533033,848.48890087,1638.95515123,28656.96737321
sao miguel dos milagres,5769.67944334,1271.92029859,37.70960934,97.31261332,230.07990929,4132.6570128
sao sebastiao,25584.52251976,8160.28750016,262.68192572,428.98998224,1006.10526656,15726.45784508
satuba,12233.59846327,3382.51574579,72.45479799,251.46955169,509.41062377,8017.74774403
senador rui palmeira,10082.92584431,2448.36711099,125.03960938,75.35640587,336.03372234,7098.12899573
tanque d'arca,5094.21882967,1559.36220691,19.20437512,89.36785774,318.47092447,3107.81346543
taquarana,15521.77458101,5991.10067486,186.83915456,237.26174506,798.00262277,8308.57038376
teotonio vilela,32228.59136779,8552.51705663,262.04265018,546.55559201,1527.08357456,21340.39249441
traipu,20321.61614168,6205.37163005,141.31488374,243.80874391,638.06245298,13093.058431
uniao dos palmares,50126.12067171,13910.02556356,603.19815244,722.71089949,2818.14910226,32072.03695396
vicosa,20666.20028326,5765.50196899,224.35842148,366.59296183,1163.0888249,13146.65810606
