city,total
agua branca,7541.20840415
anadia,7183.19944833
arapiraca,85902.96894027
atalaia,16578.3044473
barra de santo antonio,5448.64466856
barra de sao miguel,3137.86698166
batalha,6539.08763138
belem,1913.90678415
belo monte,2986.60798233
boca da mata,10284.36301392
branquinha,4227.16316397
cacimbinhas,4197.93934049
cajueiro,7502.92770645
campestre,2271.20634137
campo alegre,17883.17878999
campo grande,3770.99093739
canapi,6656.03394909
capela,6206.87798022
carneiros,2955.49230897
cha preta,2733.58556896
coite do noia,4581.29594639
colonia leopoldina,7595.02381351
coqueiro seco,2200.01013972
coruripe,21017.82183088
craibas,9780.05043188
delmiro gouveia,19105.08409381
dois riachos,4345.20253394
estrela de alagoas,7294.46903246
feira grande,8742.25887518
feliz deserto,1926.14160788
flexeiras,4375.5067257
girau do ponciano,14694.82721611
ibateguara,5816.34082378
igaci,10779.93582144
igreja nova,9479.43722266
inhapi,6615.19136318
jacare dos homens,2169.93417195
jacuipe,2674.81330711
japaratinga,3007.55308625
jaramataia,2197.66467598
jequia da praia,4967.09301386
joaquim gomes,8286.11318057
jundia,1622.34331802
junqueiro,9803.86995256
lagoa da canoa,7656.56809271
limoeiro de anadia,11036.89854742
maceio,373798.08971736
major isidoro,7418.51782285
mar vermelho,1557.22248168
maragogi,10302.22401689
maravilha,4340.84242496
marechal deodoro,18993.13513239
maribondo,5402.35869172
mata grande,9669.8438132
matriz de camaragibe,8415.57448299
messias,6005.3439761
minador do negrao,2309.6022962
monteiropolis,2629.65458242
murici,9573.8803272
novo lino,4720.24197781
olho d'agua das flores,7797.03310402
olho d'agua do casado,3380.95943837
olho d'agua grande,2047.59536531
olivenca,4574.56024508
ouro branco,4533.52988939
palestina,1955.71170299
palmeira dos indios,28365.32299573
pao de acucar,9321.46710566
pariconha,3863.98100282
paripueira,4223.14620481
passo de camaragibe,5752.79955512
paulo jacinto,3028.57444959
penedo,22873.23347755
piacabucu,6657.76602343
pilar,12961.76396038
pindoba,1149.8162861
piranhas,8578.34152592
poco das trincheiras,5603.59547261
porto calvo,9472.99617364
porto de pedras,3299.85737452
porto real do colegio,7757.85310093
quebrangulo,4620.22725858
rio largo,27993.18414343
roteiro,2534.72484863
santa luzia do norte,2641.47375147
santana do ipanema,17492.02090689
santana do mundau,4346.12083486
sao bras,2669.0194864
sao jose da laje,8473.43723362
sao jose da tapera,10977.56861689
sao luis do quitunde,12445.05272492
sao miguel dos campos,21343.31775974
sao miguel dos milagres,2854.25573399
sao sebastiao,13394.5263632
satuba,5833.62613696
senador rui palmeira,4635.05837711
tanque d'arca,2463.79509524
taquarana,8103.61739684
teotonio vilela,15781.24974734
traipu,9980.67841743
uniao dos palmares,23943.93590876
vicosa,9913.85041797
