city,total,married,separated,divorced,widow,single
alvaraes,9683.71690201,1482.82942103,30.92292969,42.81997767,143.2923453,7983.85222832
amatura,7064.03116787,1812.4375221,52.40344213,43.11637512,139.01758502,5017.0562435
anama,7687.45538632,1312.01183947,26.55028156,42.3340948,155.57122523,6150.98794526
anori,12312.82324781,2127.51869754,17.09268394,24.22545782,240.66666456,9903.31974395
apui,14528.32253022,3329.64245512,65.39278723,182.72576671,321.01234658,10629.54917458
atalaia do norte,11077.9345838,932.27264636,21.08766209,10.59901222,142.15482074,9971.82044239
autazes,23717.98552056,5440.14354518,198.10039344,230.95178713,658.75415215,17190.03564266
barcelos,20240.21561214,2395.69165832,51.14056853,67.02982706,261.41811515,17464.93544308
barreirinha,19282.08247027,4720.91628895,153.93448629,84.96064059,523.77915455,13798.49189989
benjamin constant,23985.33495441,3746.07694613,38.70926055,38.7754255,540.83466199,19620.93866024
beruri,10744.20089742,2055.35032391,23.31733592,38.42820816,222.67001376,8404.43501567
boa vista do ramos,10901.05145258,2706.85903917,7.47802876,36.01077219,154.97381007,7995.72980239
boca do acre,23431.54291336,4535.32017268,175.13478509,168.50400169,491.54430238,18061.03965152
borba,25571.04579049,4458.88480761,110.36869145,134.41151003,479.1533367,20388.2274447
caapiranga,8219.27627368,1668.09012821,21.80411091,25.54238837,111.53917625,6392.30046994
canutama,10051.15849741,1414.53444887,24.72967653,27.87471897,196.59016955,8387.42948349
carauari,18914.46182844,3084.95736969,146.49124696,80.7317803,471.58875016,15130.69268133
careiro,25066.32977384,7354.59813732,187.95910188,168.43405747,536.23846136,16819.10001581
careiro da varzea,18865.2251228,7184.51756079,97.12244943,177.71526856,478.79658637,10927.07325765
coari,57723.85486495,9559.11706885,471.66233273,327.84858864,1448.03057441,45917.19630032
codajas,17564.54514363,2648.95850531,67.68885341,64.99220064,310.15901785,14472.74656642
eirunepe,22170.75899057,2470.2151948,107.49994758,96.86128613,250.24146251,19245.94109955
envira,11932.489721,1773.90782209,28.26020199,24.44090976,265.01978492,9840.86100224
fonte boa,16488.27180039,2159.61668294,36.12491004,47.25546403,383.15324303,13862.12150035
guajara,10136.66199838,1123.28060159,6.07610864,34.36406972,172.47356901,8800.46764942
humaita,34401.01084611,6975.87384169,142.35718976,383.05653059,890.48403343,26009.23925064
ipixuna,15176.34770274,1142.2899488,54.52613646,6.81711534,176.2601551,13796.45434704
iranduba,30923.05167705,5964.25048538,207.72286543,353.48428681,864.01610764,23533.57793179
itacoatiara,66687.97584373,17207.04432481,489.95752438,772.04716688,2115.50331214,46103.42351552
itamarati,5767.05523506,880.66353348,11.87549196,10.97800163,62.19225978,4801.34594821
itapiranga,6247.92630946,1618.56809658,41.44170255,51.14370065,152.43847872,4384.33433096
japura,5353.15681162,469.38647674,2.99730981,11.55867058,24.61845192,4844.59590257
jurua,7742.68448093,1074.44324462,16.98031057,20.41913324,132.72178184,6498.12001066
jutai,12166.41387973,1117.47070926,20.07218334,8.74971231,148.15295638,10871.96831844
labrea,28128.60831173,3923.82078813,165.23326171,155.36731614,494.58644444,23389.60050131
manacapuru,65168.65323584,13645.36144651,525.9419943,609.44167638,1938.38013874,48449.52797991
manaquiri,16934.40207695,5207.98159379,113.81177114,112.97017404,362.22205433,11137.41648365
manaus,1474403.91638953,398865.13977833,15894.30527522,33177.33614072,45249.48269087,981217.65250439
manicore,35688.17931975,5235.89545948,124.55521361,129.80784247,761.93829443,29435.98250976
maraa,12411.45100708,1916.09090998,4.57997053,58.04602509,119.94857517,10312.78552631
maues,37995.51415782,9568.40041674,392.47759218,251.96206839,1083.24392065,26699.43015986
nhamunda,13850.72035692,3318.25185019,53.41415985,20.95698085,321.24277974,10136.85458629
nova olinda do norte,23231.93246668,3787.05412994,258.17162558,60.16107509,569.99659983,18556.54903624
novo airao,11149.91984239,1657.91917281,14.05017919,40.16526583,294.85391074,9142.93131382
novo aripuana,16383.70028915,2102.65550192,47.92215346,90.99627286,313.89314484,13828.23321607
parintins,77503.66185126,18396.46699586,1010.75353239,918.19496712,2731.06981322,54447.17654267
pauini,13031.71980649,1621.26113645,39.8809449,22.47406246,153.5508203,11194.55284238
presidente figueiredo,21124.90151328,5579.14834381,336.4015,291.93196624,413.38521526,14504.03448797
rio preto da eva,20151.10295317,4447.31898121,183.48180298,191.420918,504.08901566,14824.79223532
santa isabel do rio negro,12519.01397769,1023.80085408,29.57535858,11.51438395,224.88769419,11229.23568689
santo antonio do ica,17491.33475548,2842.81527282,44.50997313,75.84857739,271.40720596,14256.75372618
sao gabriel da cachoeira,28176.6867561,5918.87567349,118.00310684,141.90503319,816.26060275,21181.64233983
sao paulo de olivenca,22866.41829623,3199.63578583,43.92940547,56.21489014,530.26057456,19036.37764023
sao sebastiao do uatuma,7889.41401382,1506.29707711,19.84338476,9.17172694,132.53081867,6221.57100634
silves,6188.89841601,1605.81433801,29.38854267,49.04429055,120.69081833,4383.96042645
tabatinga,38335.21822969,6618.38880667,237.94807489,244.66754226,902.11216284,30332.10164303
tapaua,14010.72956929,2299.30130106,50.04038734,69.65639918,310.57198238,11281.15949933
tefe,45300.64638479,10603.41015722,227.23720998,601.93835574,1185.31886094,32682.74180091
tonantins,12265.93363885,803.97913927,21.22817146,9.05585816,247.12584901,11184.54462095
uarini,8313.5756789,1406.15902972,13.16870865,18.55285066,120.97440715,6754.72068272
urucara,12567.62041216,3210.51875421,54.17920067,45.33504318,329.05204269,8928.53537141
urucurituba,13426.10486477,2782.27514032,83.48049646,76.01609413,353.82642839,10130.50670547
