city,total,married,separated,divorced,widow,single
afonso claudio,26641.50844241,12955.26345232,375.16689994,715.22247583,1555.98641352,11039.8692008
agua doce do norte,10034.28400453,4178.91697702,120.00140462,350.59061028,686.68254636,4698.09246625
aguia branca,8086.18934393,3714.49179915,86.81186907,204.16573537,368.01080322,3712.70913712
alegre,26723.79392032,10747.80612477,450.22706053,1052.77618487,1850.00518875,12622.9793614
alfredo chaves,12185.54213276,6233.08378148,188.21526607,367.85358621,560.72306129,4835.66643771
alto rio novo,6181.18133462,2892.1398516,107.4258194,202.97108097,316.93286925,2661.7117134
anchieta,20456.94838024,8590.01734954,180.30208956,682.13585644,970.33505057,10034.15803413
apiaca,6524.18262142,2703.10720382,152.33941311,326.43668348,444.51996547,2897.77935554
aracruz,68818.53897108,26275.65509417,1263.86212207,2066.27819891,2930.50073985,36282.24281608
atilio vivacqua,8413.85890621,3525.51494614,118.61232764,328.05269567,490.79369141,3950.88524535
baixo guandu,25075.00761911,10744.94069672,418.40535804,826.54729915,1585.92267172,11499.19159348
barra de sao francisco,34796.20262386,15149.16953736,640.09603532,1125.21018755,1726.49219608,16155.23466755
boa esperanca,11939.71466868,4662.69696748,185.54902845,394.12505247,517.31886607,6180.02475421
bom jesus do norte,8169.61725777,3003.67561547,206.44285928,341.22120009,595.61588822,4022.66169471
brejetuba,9780.03560339,4514.40866101,137.87864932,219.97679349,375.5265762,4532.24492337
cachoeiro de itapemirim,163807.13731381,71110.10134269,3396.51721324,6249.22578103,9013.90592024,74037.38705661
cariacica,294798.37112163,109869.99775042,5050.27518852,10374.93297043,15277.00819394,154226.15701832
castelo,30466.47808897,14398.12776295,522.123564,1018.7443719,1580.36442103,12947.11796909
colatina,97909.13917974,37816.48271481,2196.01106556,4329.63004323,5690.76405134,47876.2513048
conceicao da barra,23450.73141896,6869.49893357,376.31701365,510.32729916,940.9034283,14753.68474428
conceicao do castelo,9961.67219149,4475.47897269,227.29631651,350.52560133,501.70206755,4406.66923341
divino de sao lourenco,3793.60604624,1750.76095551,79.1057205,101.13635549,218.95151392,1643.65150082
domingos martins,27522.49732116,13945.36070897,212.949393,648.0235436,1366.73916115,11349.42451444
dores do rio preto,5386.4517524,2536.45406957,106.66012203,164.5366655,284.59238127,2294.20851403
ecoporanga,19730.30276895,8067.10984511,437.32059062,609.75100588,1163.79765842,9452.32366892
fundao,14511.67840764,5504.90013688,290.45142488,414.73218838,862.44416768,7439.15048982
governador lindenberg,9304.58377708,4528.59427499,82.33970664,138.03743406,416.53898169,4139.0733797
guacui,23733.99583117,9571.52771429,384.65876726,804.97255795,1809.85610009,11162.98069158
guarapari,89801.30332248,33276.743026,2025.69223779,3585.09923348,4517.07521473,46396.69361048
ibatiba,18860.94535662,8263.89935658,299.1052553,660.97583727,920.31982064,8716.64508683
ibiracu,9602.72932344,3590.07585631,298.25530908,301.56551286,560.72917097,4852.10347422
ibitirama,7339.52747323,3165.06096091,126.38287429,242.10659048,385.36874047,3420.60830708
iconha,11115.9688912,5649.91357688,258.70762203,237.85292237,565.72310649,4403.77166343
irupi,9787.5954404,4651.33422667,144.53818122,254.03920484,477.91198655,4259.77184112
itaguacu,12410.7729963,5449.337887,197.66439874,264.70919032,812.07041198,5686.99110826
itapemirim,26005.79225642,11449.2768586,469.94170074,792.95205257,1064.36014237,12229.26150214
itarana,9557.83015332,4382.35133789,124.43415508,267.19563459,571.92763786,4211.9213879
iuna,22988.55236574,10229.1214744,385.07498414,786.25332014,1137.49404606,10450.608541
jaguare,20440.68166713,7750.93847315,332.43460714,483.06391467,939.2300074,10935.01466477
jeronimo monteiro,9397.20679181,3859.56155109,294.29202223,386.70887964,698.969114,4157.67522485
joao neiva,13858.65123409,5650.8114686,337.36047546,453.17609962,834.71143677,6582.59175364
laranja da terra,9587.83389387,5121.4663791,102.76204344,185.63048938,628.30502715,3549.6699548
linhares,118007.6263749,44770.94131744,2227.21768968,3744.41392603,5206.81560494,62058.23783681
mantenopolis,11592.07064745,5027.8485886,124.3624565,489.91116539,650.29268347,5299.65575349
marataizes,29076.09344331,13039.41839446,618.98698099,1065.07298343,1486.09125437,12866.52383006
marechal floriano,12213.93843665,5291.49268123,249.72254838,354.28637476,651.90439114,5666.53244114
marilandia,9799.0884347,4730.1953714,203.36619813,215.32696494,424.76478175,4225.43511848
mimoso do sul,22481.77809354,9814.23126687,412.44499777,841.99693411,1510.19961546,9902.90527933
montanha,15226.8356043,5313.92821142,333.64612149,464.50092403,957.23727756,8157.5230698
mucurici,4849.66995917,1551.43047562,176.69062762,133.76813455,277.41966995,2710.36105143
muniz freire,15630.16048431,6909.60446741,256.890966,444.64763753,845.66355141,7173.35386196
muqui,12443.56536233,5099.28537177,252.68304856,383.31597976,780.23464951,5928.04631273
nova venecia,39542.75182031,16408.55016909,845.56625038,1262.11037255,2073.86119913,18952.66382916
pancas,18168.07956061,7985.84010504,212.92985311,452.9635998,1022.96593995,8493.38006271
pedro canario,19565.75171066,6694.35020769,163.86913875,412.94923614,793.3925898,11501.19053828
pinheiros,19868.60726819,7466.76685625,470.42916861,529.31595593,1043.59442523,10358.50086217
piuma,15494.96134486,5891.44822119,337.72385054,646.89111403,819.40978716,7799.48837194
ponto belo,5939.59846855,2153.91719538,73.90349415,180.84519736,304.7419512,3226.19063046
presidente kennedy,8846.18722664,3267.91653026,159.86949529,207.57627875,457.86425914,4752.9606632
rio bananal,15104.61462854,7473.48445118,131.24484749,267.4715192,664.49167957,6567.9221311
rio novo do sul,9834.69466874,4793.19589621,83.81797279,304.45745489,481.96117814,4171.26216671
santa leopoldina,10539.66142146,4926.55242181,114.19580601,238.81999784,544.40337866,4715.68981714
santa maria de jetiba,29149.94832678,14597.82448388,330.94273203,738.05762655,1371.71324087,12111.41024345
santa teresa,19132.1299689,8531.02907155,349.67001078,663.92051681,1132.81634682,8454.69402294
sao domingos do norte,6850.15541201,3115.57526767,103.02583708,180.58746631,422.39372736,3028.57311359
sao gabriel da palha,27528.23520232,11650.23099489,501.76715177,955.94870599,1373.13337014,13047.15497953
sao jose do calcado,9077.06782065,3719.92116293,259.51636374,420.07942894,596.23746495,4081.31340009
sao mateus,91474.77599375,34203.91745145,1715.87601661,2662.71854065,3833.96489759,49058.29908745
