city,total
afonso claudio,15133.373843
agua doce do norte,5450.66493808
aguia branca,4660.87959393
alegre,13805.82511665
alfredo chaves,7050.70549369
alto rio novo,3546.49214723
anchieta,10956.81933168
apiaca,3435.21441601
aracruz,36702.5394504
atilio vivacqua,4575.58086047
baixo guandu,13614.50059091
barra de sao francisco,18908.08092107
boa esperanca,6362.10409928
bom jesus do norte,3952.43498558
brejetuba,5947.31434126
cachoeiro de itapemirim,85897.40143209
cariacica,149720.31449111
castelo,17139.45751325
colatina,50447.49215081
conceicao da barra,12571.57774282
conceicao do castelo,5500.29696043
divino de sao lourenco,2203.01029481
domingos martins,16021.17869277
dores do rio preto,3134.76748655
ecoporanga,10689.56146311
fundao,7738.71018006
governador lindenberg,5285.87182547
guacui,12127.16786941
guarapari,46744.65993719
ibatiba,10694.78111723
ibiracu,5109.05649162
ibitirama,4127.13420265
iconha,6356.6937924
irupi,5780.47762577
itaguacu,7118.42355553
itapemirim,14933.74207595
itarana,5376.52534888
iuna,13136.80613383
jaguare,11342.8056908
jeronimo monteiro,4883.37894809
joao neiva,7187.52927647
laranja da terra,5777.10856337
linhares,62176.44113925
mantenopolis,6307.98548318
marataizes,16097.79640461
marechal floriano,6923.17806703
marilandia,5647.66258114
mimoso do sul,12294.70163373
montanha,7844.85573721
mucurici,2395.63788551
muniz freire,8686.25543935
muqui,6520.58650007
nova venecia,20863.74972949
pancas,10020.23339486
pedro canario,10281.49325267
pinheiros,10056.28358063
piuma,8393.78262457
ponto belo,2976.58821794
presidente kennedy,4619.24832296
rio bananal,9103.26266323
rio novo do sul,5650.5770925
santa leopoldina,5948.59051704
santa maria de jetiba,17511.58978993
santa teresa,10471.26153171
sao domingos do norte,3787.58567651
sao gabriel da palha,15023.97889186
sao jose do calcado,4715.22399506
sao mateus,47545.74327111
sao roque do canaa,5715.34510103
serra,178665.12435881
sooretama,10741.81262424
vargem alta,9160.1892362
venda nova do imigrante,10004.48965999
viana,27285.21295965
vila pavao,4469.43739015
vila valerio,6818.03106255
vila velha,180336.49814741
vitoria,135753.80377307
