city,total,has_children,children_born,children_borned_live,children_borned_dead
abadia de goias,2951.69266868,1965.58640862,6041.37502812,5768.85992917,272.51509894
abadiania,6542.67211347,3583.48680396,10822.63585338,10406.86718059,415.76867274
acreuna,8391.28439375,5850.01423939,18237.99489444,17304.03304646,933.96184789
adelandia,1055.5387232,737.95959546,2306.33791225,2202.92793937,103.4099729
agua fria de goias,1938.70365677,1318.56536488,4753.18706104,4532.78633668,220.40072433
agua limpa,861.40526643,630.59823745,1780.06076796,1745.11884834,34.94191963
aguas lindas de goias,63628.1941045,37877.57075183,111538.77138452,106890.45359057,4648.31779388
alexania,9851.75188373,6548.81829356,21107.11813041,20137.64050456,969.4776259
aloandia,888.88508298,656.7373334,1990.41463487,1921.96212654,68.45250831
alto horizonte,1808.92185421,1192.69670948,3435.9688579,3359.2565962,76.71226176
alto paraiso de goias,2838.90671686,1793.07836661,6332.24590375,5982.60067541,349.64522836
alvorada do norte,3273.31442445,2234.46733689,7742.84781573,7379.71509115,363.13272459
amaralina,1358.93652034,943.29133622,3060.06115089,2859.51300041,200.54815047
americano do brasil,2309.33345198,1616.1399969,5194.08938425,4991.00068035,203.08870394
amorinopolis,1580.9119147,1123.56974983,3548.75704381,3446.03593976,102.72110406
anapolis,147516.58533011,92745.07762008,268140.3724271,257045.5074313,11094.86499566
anhanguera,433.9133211,307.43384815,939.53971926,860.20741956,79.33229969
anicuns,8554.23727234,5898.18073077,17696.69467104,16926.56147307,770.13319802
aparecida de goiania,193437.29337452,118862.72697536,331617.89691889,315328.32059981,16289.57631897
aparecida do rio doce,1005.71940513,713.69199703,2026.14989927,1934.01691044,92.13298881
apore,1499.74213064,1086.02253639,3266.27940846,3086.44010097,179.83930755
aracu,1692.00000006,1184.27749784,3862.67154753,3711.51778268,151.1537649
aragarcas,7804.05115642,5258.83590239,15615.58497996,15138.77152779,476.81345215
aragoiania,3470.9636718,2430.97616057,7452.36841146,7043.1964165,409.17199502
araguapaz,3134.67588803,2252.49336492,7458.78396735,7046.75986521,412.02410212
arenopolis,1391.02708642,1015.80611778,3268.90433906,3065.2191194,203.6852196
aruana,2963.82923398,1858.38697175,5821.2384492,5518.94191763,302.29653155
aurilandia,1631.61905118,1121.87537535,3456.90752413,3254.8162116,202.09131253
avelinopolis,1053.31292935,719.23530294,2150.94907986,2077.78478862,73.16429122
baliza,1452.24898011,997.12247731,3200.55398105,3015.36369813,185.19028292
barro alto,3514.63142162,2346.51033252,7093.02332108,6898.27304555,194.75027551
bela vista de goias,10252.00637392,7012.71659147,20525.13178833,19490.1077018,1035.0240865
bom jardim de goias,3526.74199465,2511.88961181,7973.13155421,7516.83345925,456.29809493
bom jesus de goias,8300.18468544,5387.7232218,15549.79387461,14730.9347793,818.8590953
bonfinopolis,3158.53215643,2166.6397312,7106.76551613,6838.58877204,268.17674408
bonopolis,1372.6278146,957.86720366,3248.86151279,3135.86463631,112.99687646
brazabrantes,1400.38063897,976.01587558,3168.76016636,2984.64521917,184.11494722
britania,2313.84195457,1640.04331884,5638.43443345,5372.74206421,265.69236923
buriti alegre,3925.37866598,2775.16306269,7788.89514671,7566.88922621,222.00592052
buriti de goias,1101.82968942,806.83775695,2592.25334666,2533.68256872,58.57077793
buritinopolis,1331.89797269,886.52401566,3705.68565442,3506.64514458,199.04050988
cabeceiras,2960.77963505,1980.64969574,7027.78032,6647.4559343,380.32438574
cachoeira alta,4113.64316307,2944.34010808,8350.56740716,7916.86263138,433.70477578
cachoeira de goias,600.09514101,429.03665145,1272.05264979,1202.99912865,69.05352113
cachoeira dourada,3530.39198675,2452.92122232,7637.95125571,7397.60906112,240.34219456
cacu,5446.18775666,3707.10590534,10528.71193546,10165.00670189,363.70523363
caiaponia,7180.63005612,5082.22964649,14867.92628276,14173.95614875,693.970134
caldas novas,30211.55134509,19927.49137014,55329.00549865,52746.57528437,2582.43021427
caldazinha,1408.28816843,941.74192197,2798.33702356,2650.74696868,147.59005487
campestre de goias,1402.75336021,945.02455096,2895.49922499,2827.0709134,68.42831158
campinacu,1463.10799054,1052.68331552,3438.82259686,3338.99029905,99.83229779
campinorte,4597.45690716,3061.95161752,10173.58653963,9753.62542541,419.96111415
campo alegre de goias,2424.15888699,1689.4635357,4899.58938842,4719.46581548,180.12357294
campo limpo de goias,2510.81489093,1790.84747342,5791.11859619,5493.85082722,297.26776894
campos belos,7695.27713766,4917.11109075,17463.33866884,16332.72995012,1130.60871863
campos verdes,2100.1768669,1305.92811379,4758.57012459,4516.36239438,242.20773029
carmo do rio verde,3753.70231979,2607.59593744,7830.97446771,7421.30417439,409.67029329
castelandia,1456.61915931,1038.44233709,3381.17914893,3154.76636747,226.41278141
catalao,37096.51483043,24265.34932879,68228.85950797,65915.18310832,2313.67639963
caturai,1926.21870912,1372.30404596,4025.20802939,3832.205923,193.00210642
cavalcante,3520.79936995,2197.07188857,9626.69870062,9085.66777747,541.03092316
ceres,9366.42761905,6179.01819508,18036.322895,17465.86888516,570.45400988
cezarina,3224.77761621,2221.37093054,6635.36528919,6341.38290774,293.98238145
chapadao do ceu,2669.6583211,1684.12058365,3990.61356426,3913.5422748,77.07128942
cidade ocidental,23294.73775207,14627.53840923,42092.5349383,40599.37314176,1493.16179655
cocalzinho de goias,7003.19696208,4293.88629477,14315.344858,13650.23196316,665.11289481
colinas do sul,1373.88163916,935.08399568,3626.23680066,3510.87770432,115.35909631
corrego do ouro,1118.40245093,814.53200446,2558.70674345,2448.97914594,109.72759749
corumba de goias,4118.84829459,2738.09129181,9224.76370264,8746.38923108,478.37447158
corumbaiba,3348.15302589,2166.44921304,5703.35045042,5602.49888953,100.85156089
cristalina,18390.46801122,12086.19997719,37072.65035937,35315.33493072,1757.31542864
cristianopolis,1254.67602753,914.08036975,2639.19091197,2493.54292035,145.64799164
crixas,6430.92826105,4381.31371202,14172.25248843,13602.85874761,569.39374088
crominia,1529.27762504,1093.32231132,3477.68124587,3414.01171386,63.66953201
cumari,1274.11549541,881.0164688,2617.44319933,2520.62298237,96.82021699
damianopolis,1347.71723947,883.55049931,3768.34342496,3590.25471958,178.08870536
damolandia,1198.34228802,834.44349777,2545.29029744,2443.3704282,101.91986926
davinopolis,829.08144733,619.94935709,1990.65342368,1913.04989805,77.6035256
diorama,1059.42565088,786.72203579,2548.8365514,2426.50554926,122.33100213
divinopolis de goias,1958.34208315,1375.43075736,5582.35061705,5311.22631323,271.12430384
doverlandia,3207.93977323,2367.20496097,7642.95784827,7160.00099655,482.95685176
edealina,1554.75803008,1116.01389672,3528.98946405,3346.3795347,182.60992937
edeia,4700.52282046,3224.21210635,9415.51008421,8948.79062708,466.71945709
estrela do norte,1417.03139145,993.04511532,3352.21311842,3152.81705174,199.39606671
faina,2862.35519237,2050.08871939,6832.80109127,6394.19511445,438.60597679
fazenda nova,2718.92393961,1938.75429038,6300.23289576,5977.77071728,322.4621785
firminopolis,5250.79789407,3579.90825628,10593.4862954,10117.41446238,476.07183303
