city,total,married,separated,divorced,widow,single
acailandia,83056.25093288,25965.88759361,1185.17221747,1387.87681217,2949.8501111,51567.46419853
afonso cunha,4430.4860741,1547.2960529,-,12.74531815,138.95463496,2731.49006809
agua doce do maranhao,9159.71580436,2581.19396909,41.84904831,24.65702049,365.73638891,6146.27937756
alcantara,17551.67920087,2814.30851871,64.7072401,84.88873032,366.09513389,14221.67957785
aldeias altas,18194.0606155,4788.29749865,165.93290311,142.38121823,682.86813149,12414.58086402
altamira do maranhao,8813.09142652,2931.59268634,17.29026065,81.04365408,424.38368535,5358.7811401
alto alegre do maranhao,19261.78097348,3919.48016376,103.53784264,76.80117256,667.53106107,14494.43073345
alto alegre do pindare,23814.86252041,7816.7784886,252.56771169,185.51095009,867.7240734,14692.28129663
alto parnaiba,8462.06772376,2645.69706324,33.14211019,168.58114912,353.62504868,5261.02235253
amapa do maranhao,4849.87687053,1092.89314202,4.49514426,7.70710408,87.09151239,3657.68996778
amarante do maranhao,28355.23285288,8178.97544823,171.82186541,302.85232152,1168.8982264,18532.68499132
anajatuba,20533.82885807,4364.72762344,91.76505744,200.18235231,694.99808051,15182.15574437
anapurus,10783.43891066,2940.04958702,44.12644008,48.01330577,370.94680993,7380.30276786
apicum-acu,11848.66533849,1711.54195047,35.61446017,42.74817891,290.9072084,9767.85354054
araguana,10798.62737339,3541.93422236,16.46140826,70.82298954,340.07286972,6829.33588351
araioses,33762.46263578,8332.96605579,373.25403861,162.86091177,1326.84125762,23566.54037199
arame,23688.96740786,6984.05259303,68.68986712,106.25339773,666.65517203,15863.31637795
arari,23083.21779276,6755.7865913,126.6404547,255.48126273,1016.94565793,14928.3638261
axixa,9033.71601458,1492.74567033,18.58582302,61.63458728,340.71239927,7120.03753468
bacabal,80722.22226489,22664.08177886,742.30567089,1318.120988,4150.90102156,51846.81280558
bacabeira,11799.10408258,2188.9570386,173.81256552,38.18665454,371.81650864,9026.33131528
bacuri,13379.9857494,2076.3170296,62.76965876,94.29037263,488.83441178,10657.77427663
bacurituba,4261.93733172,620.10246916,9.96806376,16.93557371,98.66516252,3516.26606257
balsas,66365.91439106,19975.47832201,785.88753974,1053.41629073,2269.18159231,42281.95064627
barao de grajau,14885.13841172,4811.81276002,131.86623923,166.01915132,671.94738205,9103.4928791
barra do corda,66036.6292541,23313.07261849,655.61546203,774.99925664,3155.09988515,38137.84203179
barreirinhas,41092.18800404,10823.3805242,279.67666163,265.19181207,1377.21045435,28346.72855179
bela vista do maranhao,9435.68152105,2624.02297774,29.11285239,49.07752349,411.94518839,6321.52297904
belagua,4676.77694179,1277.54639483,14.94544651,7.6625223,95.49659768,3281.12598047
benedito leite,4528.25239008,1813.826026,81.88253385,16.91434337,198.13062291,2417.49886395
bequimao,16642.1671326,3036.30244086,30.62949854,79.30136035,528.96127842,12966.97255443
bernardo do mearim,4889.46119116,1786.36997346,20.0710027,79.12290383,200.70719197,2803.1901192
boa vista do gurupi,5920.81955276,1167.18927313,23.91474791,38.25027127,268.04561722,4423.41964323
bom jardim,30067.99511258,9648.67735982,205.11337775,230.51018,1340.55945408,18643.13474093
bom jesus das selvas,21748.2251683,5148.59031181,101.00749183,140.27533023,469.05745039,15889.29458404
bom lugar,11677.75294314,3335.62658692,22.07082175,33.65580809,462.43827952,7823.96144686
brejo,25759.4919816,7725.04521931,262.97825441,226.49221787,931.12318152,16613.85310849
brejo de areia,4298.95317004,1463.27542765,31.36260989,32.79686165,161.52792777,2609.99034308
buriti,20413.13869765,3946.91332977,78.98498096,59.32485512,517.71573682,15810.19979498
buriti bravo,18056.00582423,7274.48890464,186.78373403,138.66623078,828.41256932,9627.65438546
buriticupu,49128.62082561,14181.45358338,136.79681068,424.05839732,1314.01075702,33072.30127721
buritirana,11546.41226692,4089.97574212,41.89755214,142.73718284,600.78894667,6671.01284315
cachoeira grande,6328.97537404,1372.44138428,9.68836167,14.32671804,170.57931982,4761.93959023
cajapio,8316.55917191,1753.00146773,13.39852749,38.0504483,294.27058741,6217.83814098
cajari,14078.73739431,2823.43142113,105.52248024,73.04516692,437.42193127,10639.31639475
campestre do maranhao,10571.95142995,3713.1649883,137.77040067,132.92569075,440.42251697,6147.66783326
candido mendes,14484.94143433,2491.7787021,31.15831981,111.97904768,409.67264346,11440.35272128
cantanhede,16086.28466406,3404.59532362,84.72751825,85.90091225,544.38923629,11966.67167365
capinzal do norte,8641.77506799,3098.54217594,48.15069384,41.13744837,460.39372298,4993.55102686
carolina,19297.78609989,6130.63461713,163.61478712,197.90863247,673.01922207,12132.6088411
carutapera,17156.70919635,3054.10133629,17.20089522,84.88319804,608.28643461,13392.23733219
caxias,124924.18367593,34638.96844078,1677.20404717,1694.93800181,5790.96663768,81122.10654849
cedral,8338.59698837,1471.41044945,26.21974528,70.80537684,334.40682365,6435.75459315
central do maranhao,6060.59165802,819.41483593,8.55171921,33.21803464,179.27826963,5020.12879861
centro do guilherme,9666.66292676,2227.71096932,11.23528498,14.04335452,301.90458765,7111.76873029
centro novo do maranhao,13127.90335063,3049.12254424,6.984539,47.73172467,241.64593803,9782.41860469
chapadinha,57342.85776681,15684.59381562,378.85291797,453.69291063,2111.07230665,38714.64581594
cidelandia,10723.41076029,3343.4563145,126.05268011,105.87617494,470.35068228,6677.67490846
codo,93352.36740295,24524.34254284,1248.01348301,918.49927997,4724.1715361,61937.34056103
coelho neto,36572.36289664,10563.2745249,196.99410656,311.42538958,1549.74592464,23950.92295096
colinas,31069.14685004,8436.7340831,237.99860696,179.62103507,1660.9147544,20553.87837051
conceicao do lago-acu,10686.91350567,2117.09714793,64.49051321,28.72304786,295.41894161,8181.18385506
coroata,48840.924885,13899.91356898,438.23350791,661.53048661,2318.90816119,31522.33916031
cururupu,26369.84954813,4239.93871712,128.11592473,190.26602369,1227.75291163,20583.77597096
davinopolis,9946.8468342,2684.37906844,88.51151179,175.69982396,555.43336413,6442.82306588
dom pedro,18331.30801704,6931.33198131,103.8509492,122.98661251,1046.77457332,10126.3639007
duque bacelar,8088.41802488,2478.96182277,21.66733545,18.31290519,282.8254089,5286.65055257
esperantinopolis,14800.65339056,5260.36733015,54.88873174,123.56642632,869.75754949,8492.07335286
estreito,28887.82310088,8410.21332728,357.77694243,552.8958174,965.80030268,18601.13671109
feira nova do maranhao,6399.08137031,1973.75673596,20.05475364,37.43113328,209.19443341,4158.64431402
fernando falcao,6931.42865492,1457.34071602,39.89082307,21.56395707,162.31301673,5250.32014203
formosa da serra negra,14071.9819083,5381.41494406,55.12296001,53.44593649,334.91017551,8247.08789223
fortaleza dos nogueiras,9327.18423909,3449.29667228,103.69763586,75.87973841,314.64045426,5383.66973828
fortuna,11832.08000338,5252.0212259,26.97689173,65.81726823,539.03788138,5948.22673614
godofredo viana,8517.17623568,1373.80336655,16.85734386,38.06781043,151.48437253,6936.96334231
goncalves dias,13948.69313122,5457.23032025,105.27878617,81.003748,783.41165593,7521.76862087
governador archer,8159.44553155,2435.84054637,95.79597367,45.89784617,317.28921205,5264.62195329
governador edison lobao,12551.16900186,3588.63220981,74.40343925,179.38940333,576.94506619,8131.79888328
governador eugenio barros,12561.74405395,4719.84475469,49.75512136,73.28115449,571.14710043,7147.71592298
governador luiz rocha,5853.98119474,2043.87302607,31.84732272,25.42568081,229.99530256,3522.83986258
governador newton bello,9113.49886412,3312.95418726,87.72224846,71.09720777,419.02604367,5222.69917696
governador nunes freire,19262.29376641,3974.46734394,208.54850057,146.29169732,568.79479897,14364.19142561
graca aranha,5051.10734819,1804.29273335,35.50818443,25.19524656,251.92531114,2934.18587271
grajau,47820.40880854,16087.81770576,559.55668712,481.64597799,1722.60695353,28968.78148414
guimaraes,9889.53634355,1497.62173231,32.86261442,38.0186822,351.88711577,7969.14619885
humberto de campos,19168.48766793,3252.64531985,15.92945444,39.4314361,518.50575939,15341.97569815
icatu,19502.5011407,3498.6538126,85.62468363,78.01540664,720.39429734,15119.81294049
