city,total
acailandia,42540.45016527
afonso cunha,2168.44391673
agua doce do maranhao,4651.28470784
alcantara,8455.0715295
aldeias altas,9134.49360214
altamira do maranhao,4358.22421809
alto alegre do maranhao,8906.03529429
alto alegre do pindare,11927.85391943
alto parnaiba,3663.19219146
amapa do maranhao,2445.18923706
amarante do maranhao,15139.64289656
anajatuba,10175.5246454
anapurus,5624.82530913
apicum-acu,5294.00000905
araguana,5593.67757189
araioses,17137.26852126
arame,12108.51824404
arari,11786.94338688
axixa,4142.85368162
bacabal,37236.62855527
bacabeira,5885.75575896
bacuri,5742.75950509
bacurituba,1871.94826373
balsas,31686.86408576
barao de grajau,6813.7360054
barra do corda,33236.99801309
barreirinhas,20097.94715151
bela vista do maranhao,4502.88815482
belagua,2411.70857305
benedito leite,2289.74110593
bequimao,7619.63390225
bernardo do mearim,2477.86700875
boa vista do gurupi,2774.34467191
bom jardim,15063.86339354
bom jesus das selvas,10272.1966195
bom lugar,5985.09815363
brejo,12784.6769651
brejo de areia,2195.75932385
buriti,9793.77760059
buriti bravo,8936.72322731
buriticupu,24801.47027717
buritirana,5812.54820915
cachoeira grande,3013.07424986
cajapio,3945.81141193
cajari,6775.58661174
campestre do maranhao,5582.95499059
candido mendes,6872.57107378
cantanhede,7094.7126471
capinzal do norte,4539.23689904
carolina,9029.81600018
carutapera,8432.24352998
caxias,56007.18200582
cedral,3806.20694741
central do maranhao,2533.16045465
centro do guilherme,4534.57043623
centro novo do maranhao,6712.46572574
chapadinha,27248.29211933
cidelandia,5509.5718994
codo,42391.74990594
coelho neto,17044.07265885
colinas,14680.72369916
conceicao do lago-acu,5383.57660019
coroata,23474.66841423
cururupu,11800.72110051
davinopolis,4860.25809254
dom pedro,9345.48902526
duque bacelar,3840.87405842
esperantinopolis,7287.1243383
estreito,14352.85169538
feira nova do maranhao,3197.11146872
fernando falcao,3825.34759471
formosa da serra negra,6505.57239526
fortaleza dos nogueiras,4494.01950701
fortuna,6381.62408695
godofredo viana,4142.23971833
goncalves dias,7121.61322052
governador archer,3920.77700384
governador edison lobao,6426.46035529
governador eugenio barros,6390.17421515
governador luiz rocha,2936.8286833
governador newton bello,4803.78844213
governador nunes freire,9073.44018656
graca aranha,2567.38874122
grajau,23927.24493413
guimaraes,4398.63956642
humberto de campos,9334.96022321
icatu,9094.52813879
igarape do meio,4734.58183436
igarape grande,4692.31177847
imperatriz,97038.87982411
itaipava do grajau,5549.37698932
itapecuru mirim,23161.01043607
itinga do maranhao,10212.69633142
jatoba,3618.86865502
jenipapo dos vieiras,6096.02913977
joao lisboa,7922.63875127
joselandia,6539.60244948
junco do maranhao,1550.44231723
lago da pedra,17686.12945334
lago do junco,4123.09732168
lago dos rodrigues,3271.29177314
lago verde,5873.54995615
lagoa do mato,4633.31834601
lagoa grande do maranhao,4009.50407384
lajeado novo,2931.74193853
lima campos,4706.29846961
loreto,4097.91921361
luis domingues,2596.55194553
magalhaes de almeida,7027.86870627
maracacume,7178.45122304
maraja do sena,3155.99860314
maranhaozinho,5618.06191073
mata roma,5866.88483386
matinha,8734.24735556
matoes,11910.60740778
matoes do norte,4760.85884427
milagres do maranhao,3228.3343291
mirador,7745.09530614
