city,total,married,separated,divorced,widow,single
acorizal,4681.53842932,1751.13419994,11.28546235,22.93029298,211.8167932,2684.37168085
agua boa,17417.24628726,6704.56221047,306.64534988,668.107104,648.2218478,9089.70977511
alta floresta,41387.27531364,15073.81717719,594.90186869,1011.80354399,1565.48364693,23141.26907684
alto araguaia,13175.40753992,4045.69892674,356.85594659,406.76190196,524.04614121,7842.04462342
alto boa vista,4151.99264086,1064.41253964,22.90460117,42.04275275,97.08230684,2925.55044046
alto garcas,8741.06953539,2827.08472643,237.45973707,267.28599343,388.76370027,5020.47537819
alto paraguai,8415.35290289,2407.73567788,63.96255183,129.81792992,406.43959825,5407.39714501
alto taquari,6650.27455525,1843.92148494,153.40267726,154.71133873,205.54570135,4292.69335297
apiacas,7000.36208523,2162.30312338,52.2230868,159.82416766,163.94134024,4462.07036715
araguaiana,2728.36616142,986.56761064,13.97166977,80.94775647,132.26891308,1514.61021146
araguainha,946.45313265,340.71730069,17.9002487,22.37908734,26.45667823,538.99981769
araputanga,12905.88400935,4828.15834604,184.35780934,466.11556581,648.36560263,6778.88668553
arenapolis,8723.87566568,2854.53957408,183.51762799,201.00426241,482.65569586,5002.15850534
aripuana,15132.15166925,4567.49227091,165.82246393,434.30779942,389.32664495,9575.20249004
barao de melgaco,6371.0125907,1875.6702425,49.06555098,43.25457316,267.35915056,4135.6630735
barra do bugres,26203.77645552,7747.16716737,281.87584785,684.99926003,931.13664645,16558.59753382
barra do garcas,48164.05460433,13739.86892723,891.99431561,1973.16577019,2199.86036437,29359.16522693
bom jesus do araguaia,4347.44927442,1153.69382828,49.84056778,183.71445805,99.17716103,2861.02325928
brasnorte,12459.70040343,4166.1936864,182.81984629,289.31017474,354.05110339,7467.32559261
caceres,72902.10239085,21831.93598485,1370.45741606,1919.37525058,3164.06890684,44616.26483252
campinapolis,10108.36364646,4819.12715517,26.59344903,170.05149136,422.46372953,4670.12782137
campo novo do parecis,22653.44872918,7259.08604235,140.20497793,659.69313506,668.51633276,13925.94824108
campo verde,26088.94881714,9411.53757865,307.83463161,826.52706129,846.84020068,14696.20934491
campos de julio,4149.4034885,1436.80427741,60.29753184,111.28454049,85.07083559,2455.94630317
canabrava do norte,3836.2525242,1092.6330663,55.5304229,44.75765837,124.03139133,2519.2999853
canarana,15335.22076052,4958.68834167,191.30503191,269.47406644,394.19565305,9521.55766745
carlinda,9315.87704792,3992.55473132,87.369706,144.14176014,418.37292085,4673.43792961
castanheira,6854.55382433,2691.73950319,97.00726535,161.19672364,223.73077796,3680.87955419
chapada dos guimaraes,14933.25628594,5078.05891892,237.06677201,410.3380666,679.59861101,8528.1939174
claudia,9123.19211844,3192.85050518,90.12475293,164.24141521,255.33209289,5420.64335223
cocalinho,4566.24500738,1291.87640113,89.66527062,124.07983973,174.69035818,2885.93313772
colider,26268.29841863,10762.35500856,306.35555889,853.11646069,1285.92917403,13060.54221646
colniza,21077.05842446,7884.82273233,209.23213068,441.25715246,440.13761796,12101.60879103
comodoro,14662.94941539,4558.23783724,227.33881176,379.18585826,497.59813889,9000.58876924
confresa,20411.32854937,6612.26942037,201.44151103,364.76913841,512.49669047,12720.35178909
conquista d'oeste,2797.37779676,1084.7971816,47.20971529,79.07691416,46.5059851,1539.78800061
cotriguacu,11907.63859905,4755.83421716,90.252801,273.66584561,288.64274286,6499.24299242
cuiaba,470055.8530653,153187.03399222,7761.02784063,17452.46555741,20003.26257349,271652.06310155
curvelandia,4104.83121831,1625.25329831,52.14691651,70.90212564,188.66233044,2167.86654741
denise,6948.24414689,2288.67374744,72.2065023,98.58436308,289.42749998,4199.35203409
diamantino,16959.89805185,5237.15342529,321.93687924,417.71460194,565.23592515,10417.85722023
dom aquino,6974.43944486,2168.13248001,148.20174099,160.27953417,440.77317125,4057.05251844
feliz natal,8504.32853512,2428.30637271,139.99427911,186.85128526,211.29361759,5537.88298045
figueiropolis d'oeste,3256.86492969,1502.03486561,48.96108417,41.11525653,213.35811523,1451.39560815
gaucha do norte,5001.51237839,1281.7249653,15.45585201,83.01357342,83.6839951,3537.63399256
general carneiro,3951.64833453,748.33756742,44.7538874,89.68689983,128.39685821,2940.47312167
gloria d'oeste,2690.37027316,1085.48292359,57.1038493,44.52455444,149.42516402,1353.83378181
guaranta do norte,27204.21244345,9988.27586983,160.56113878,816.51293681,989.38521412,15249.47728391
guiratinga,12065.88233327,3987.42145037,234.97249035,371.85917604,667.41937508,6804.20984143
indiavai,1965.3080861,816.49792705,36.94698274,27.3071717,105.68640955,978.86959506
ipiranga do norte,4211.798295,1766.90803142,84.99857178,79.94849096,84.65122234,2195.2919785
itanhanga,4312.1531727,1870.69963457,58.26292426,130.59952887,122.12169207,2130.46939293
itauba,3792.39825377,1315.43930143,94.82946656,111.95823563,161.32230716,2108.84894299
itiquira,9579.01364514,2914.51729564,143.43275116,208.46488247,208.10101551,6104.49770036
jaciara,21660.09750241,8036.68520398,271.61903923,693.03232867,954.81251302,11703.94841751
jangada,6388.61473815,2241.99216635,38.88664675,98.67779468,217.33449915,3791.72363122
jauru,8670.88416272,3624.93347648,101.14408068,162.61111712,362.33476127,4419.86072717
juara,27250.62980722,9683.08526137,611.49091635,630.22002098,916.53883693,15409.29477159
juina,32866.51660801,12001.17673531,481.64546074,844.29279228,1038.84676056,18500.55485912
juruena,9048.22188987,3279.9852792,102.03984102,222.70989589,231.56667686,5211.9201969
juscimeira,9784.64046551,3654.19772539,224.41338816,432.78443286,535.49716027,4937.74775883
lambari d'oeste,4479.03866757,1537.19585044,104.97322993,43.85055187,174.87531957,2618.14371576
lucas do rio verde,37911.72045393,13659.56001993,447.35608255,944.31733546,722.33301641,22138.15399958
luciara,1824.35756609,468.32868526,6.06831928,36.70875734,100.2088225,1213.04298171
marcelandia,9878.60975416,3465.61915589,99.09725818,194.44093647,285.80717062,5833.645233
matupa,11872.90392616,4010.15606722,209.94572601,274.5142298,389.33245154,6988.95545159
mirassol d'oeste,21322.94799167,7219.45190117,444.47925409,554.15290065,935.80904761,12169.05488815
nobres,12287.9120456,3866.61972513,211.45442119,333.35676891,572.74815721,7303.73297316
nortelandia,5437.94355563,1612.72830016,56.60677317,169.04903262,289.77045852,3309.78899116
nossa senhora do livramento,9864.51971524,3277.28007692,115.6362088,106.03883244,479.3138227,5886.25077438
nova bandeirantes,9828.58459911,3810.33216752,77.25746219,170.64412506,271.49558874,5498.8552556
nova brasilandia,3873.2347937,1275.49498968,31.22441005,67.9645016,193.38565687,2305.1652355
nova canaa do norte,10225.11428112,4493.83463282,133.06258691,189.51603442,396.66708779,5012.03393918
nova guarita,4201.14605437,1723.82094045,41.09055703,109.03599546,172.12785624,2155.07070519
nova lacerda,4375.50810269,1501.01201289,25.38702496,82.76974246,132.8054746,2633.53384778
nova marilandia,2430.75258669,619.76122619,22.27849154,49.96022691,95.28223897,1643.47040308
nova maringa,5260.93451068,1890.13950773,56.6162517,54.54701267,139.28027118,3120.3514674
nova monte verde,6750.2342,2635.8313104,110.34479759,146.79359507,195.249295,3662.01520194
nova mutum,26353.02205135,8225.11689161,484.82066794,527.68881545,457.35132097,16658.04435538
nova nazare,2233.75139635,471.5130773,7.97890189,67.2709572,42.39791758,1644.59054238
nova olimpia,14248.13582836,4134.11353868,238.21461399,310.95459593,413.32265196,9151.5304278
nova santa helena,2912.42634268,1145.3724282,32.55103582,88.02892625,124.5128748,1521.96107761
nova ubirata,7508.83585938,2404.8924421,107.54891755,156.68447278,144.71059581,4694.99943114
nova xavantina,16735.73332611,5315.30148383,208.54567115,606.1863729,780.14714877,9825.55264946
novo horizonte do norte,3241.8105843,1423.6607082,59.89280448,99.9106877,143.85055779,1514.49582613
novo mundo,6079.31505935,2217.20553388,18.33834691,126.67791023,118.94569763,3598.1475707
novo santo antonio,1626.62902342,464.75752359,15.69688531,39.53994262,44.46762192,1062.16704998
novo sao joaquim,5096.71458668,1671.76379526,35.69968796,116.23030344,216.22113154,3056.79966848
paranaita,9062.96211721,3525.72416285,114.17564646,214.42775491,276.54375898,4932.09079401
paranatinga,15916.50087013,4899.74514535,294.73733495,298.06935639,603.82950824,9820.1195252
pedra preta,13292.82648302,5177.95048716,195.66827163,504.64105759,707.88684566,6706.67982098
peixoto de azevedo,25127.43742782,6506.26937983,374.35430541,632.77361812,797.97158957,16816.06853489
planalto da serra,2229.88092524,778.17996967,31.57347839,43.47772555,76.63978626,1300.00996537
pocone,26408.61807683,8306.16758871,220.79124076,465.01623954,1010.86798587,16405.77502195
pontal do araguaia,4584.87051597,1512.7414416,151.84409616,154.68317145,185.80438539,2579.79742137
ponte branca,1533.51724076,367.37009433,33.80917091,63.87539689,91.07814848,977.38443015
pontes e lacerda,34281.49043571,11938.59726731,370.70605864,1148.76067563,1430.4183683,19393.00806583
porto alegre do norte,8732.91747381,2490.29218859,85.59444494,163.42181025,247.22942402,5746.37960601
porto dos gauchos,4495.29270818,1803.51741697,59.32384858,134.96066308,193.88896123,2303.60181832
porto esperidiao,9099.96615966,3156.44656412,67.00082127,101.43313275,237.11044078,5537.97520074
porto estrela,3064.77840098,1174.35518359,27.76281777,20.22221423,121.64093877,1720.79724662
poxoreo,14801.39380993,4819.41546642,212.71455486,366.22347963,802.91775005,8600.12255897
primavera do leste,43669.38163265,15092.166918,710.02151679,1509.25071036,1106.64664417,25251.29584333
querencia,10540.46009546,3287.32417695,99.78784111,195.21919934,197.47455131,6760.65432675
reserva do cabacal,2164.96452089,980.12176992,47.83613348,55.7650711,105.40253418,975.83901221
ribeirao cascalheira,7293.02272386,2011.92235156,47.74325733,210.24074741,279.83402297,4743.28234459
ribeiraozinho,1866.91998364,483.46399397,41.47035818,57.72891084,92.48253153,1191.77418912
rio branco,4356.91958199,1620.02976611,73.78690919,99.10287504,251.64673711,2312.35329454
rondolandia,2794.98865654,1175.28064045,31.82650467,47.98522413,33.86744224,1506.02884505
rondonopolis,165602.52468212,56610.41659218,3253.93692149,6217.81707908,6739.50416825,92780.84992112
rosario oeste,14927.95040879,4607.48289307,189.27509087,349.47561765,594.24426688,9187.47254032
salto do ceu,3330.61187051,1481.03982164,49.9878367,67.66372865,183.03566407,1548.88481945
santa carmem,3354.05208565,1294.71224775,82.98248753,45.18978268,103.98307299,1827.1844947
santa cruz do xingu,1531.57787928,512.99783876,20.95233036,42.5615945,18.68067779,936.38543787
santa rita do trivelato,2033.30710225,669.61882825,16.147486,23.70792779,48.22356748,1275.60929273
santa terezinha,5879.53199109,1404.89385277,27.98216348,76.72625459,167.73658045,4202.1931398
santo afonso,2522.09334385,870.83988736,27.71553506,57.40983431,101.19563703,1464.93245009
santo antonio do leste,3083.03825912,834.00646367,23.40214575,56.51476251,51.18863622,2117.92625097
santo antonio do leverger,15447.72727416,5454.86427014,88.91653457,272.4390243,640.45626736,8991.05117779
sao felix do araguaia,8807.31749114,2660.34475282,127.93217401,221.58450247,315.27489591,5482.18116593
sao jose do povo,3166.08449061,1276.12928825,45.37637407,71.14809752,160.80227858,1612.62845219
sao jose do rio claro,14211.3262066,4469.5456691,216.83351845,425.0161176,491.4660224,8608.46487905
sao jose do xingu,4187.67527292,952.83703019,35.47516655,53.70244744,85.83334765,3059.82728109
sao jose dos quatro marcos,16362.53126853,6674.36160732,340.13730186,432.41110275,874.12701787,8041.49423873
sao pedro da cipa,3433.16096413,1277.60226932,25.30085767,104.70837258,163.08706219,1862.46240237
sapezal,14679.03575188,4916.84113124,124.15109601,297.77732224,185.64204712,9154.62415527
serra nova dourada,1149.23385008,416.04003757,-,24.73200206,28.52403445,679.937776
sinop,94494.48792358,32024.25520884,1777.0203933,2962.69995653,3131.31123549,54599.20112942
