city,total
acorizal,2485.94345322
agua boa,9594.07245001
alta floresta,23075.67930374
alto araguaia,6955.32868042
alto boa vista,2310.58880338
alto garcas,4733.3116914
alto paraguai,3846.55722226
alto taquari,3759.83995467
apiacas,3955.39126466
araguaiana,1556.215787
araguainha,512.52772939
araputanga,6894.48736616
arenapolis,4561.47970122
aripuana,8140.63728941
barao de melgaco,3393.84522861
barra do bugres,13642.05343879
barra do garcas,23527.23122244
bom jesus do araguaia,2567.12953972
brasnorte,6989.32173148
caceres,36681.798031
campinapolis,5824.17849989
campo novo do parecis,12956.92222489
campo verde,14879.69931731
campos de julio,2542.69946247
canabrava do norte,2158.66466612
canarana,8662.00536084
carlinda,5395.04945829
castanheira,3954.33386962
chapada dos guimaraes,7477.83210688
claudia,5152.24799388
cocalinho,2556.27679539
colider,14118.47599616
colniza,12628.30516857
comodoro,8346.76515662
confresa,11474.65858982
conquista d'oeste,1593.76639338
cotriguacu,7052.81833298
cuiaba,223487.80814676
curvelandia,2390.16606189
denise,3926.58536377
diamantino,8806.33845309
dom aquino,3680.28595865
feliz natal,4807.13713887
figueiropolis d'oeste,1942.76211601
gaucha do norte,2837.2580912
general carneiro,2062.68029297
gloria d'oeste,1541.68331151
guaranta do norte,15330.7447262
guiratinga,5990.91943931
indiavai,1105.40906169
ipiranga do norte,2608.12026338
itanhanga,2644.12639414
itauba,2066.91428132
itiquira,5500.04236713
jaciara,12099.69531015
jangada,3330.48779307
jauru,4514.96917348
juara,15705.04219562
juina,18574.41440782
juruena,5129.206807
juscimeira,5187.27880987
lambari d'oeste,2646.56977157
lucas do rio verde,21184.48770262
luciara,852.91577783
marcelandia,5497.72880648
matupa,6515.23141797
mirassol d'oeste,11488.20179052
nobres,6441.03425716
nortelandia,2651.78612958
nossa senhora do livramento,5083.85677658
nova bandeirantes,5452.72931895
nova brasilandia,1959.31749946
nova canaa do norte,6062.12119916
nova guarita,2461.07359994
nova lacerda,2588.79713091
nova marilandia,1321.112828
nova maringa,3098.2004315
nova monte verde,3983.38141242
nova mutum,14868.06942751
nova nazare,1334.41483885
nova olimpia,7534.07730107
nova santa helena,1683.06012499
nova ubirata,4305.36007282
nova xavantina,9068.98963341
novo horizonte do norte,1889.57499901
novo mundo,3580.98385916
novo santo antonio,900.8743954
novo sao joaquim,2881.86591007
paranaita,5219.73173191
paranatinga,8757.7903643
pedra preta,7243.77918644
peixoto de azevedo,12764.20302837
planalto da serra,1250.19880824
pocone,13590.05881886
pontal do araguaia,2444.51561731
ponte branca,790.59199469
pontes e lacerda,19042.67453671
porto alegre do norte,4546.01866955
porto dos gauchos,2682.46267045
porto esperidiao,5072.07592954
porto estrela,1593.03234315
poxoreo,7676.65676211
primavera do leste,25272.48063356
querencia,6157.70018433
reserva do cabacal,1158.82113519
ribeirao cascalheira,3966.49783151
ribeiraozinho,977.52286574
rio branco,2354.57603593
rondolandia,1728.88222171
rondonopolis,86677.91459506
rosario oeste,7559.8549746
salto do ceu,1821.88735378
santa carmem,1917.10976525
santa cruz do xingu,886.18281388
santa rita do trivelato,1205.22320284
santa terezinha,3075.46079196
santo afonso,1324.75472293
santo antonio do leste,1609.28397755
santo antonio do leverger,8306.69231118
sao felix do araguaia,4699.80043135
sao jose do povo,1649.69770954
sao jose do rio claro,7641.16650654
sao jose do xingu,2206.80859351
sao jose dos quatro marcos,9192.11563277
sao pedro da cipa,1893.31464471
sapezal,8375.15504677
serra nova dourada,673.94219706
sinop,52283.2473844
sorriso,31145.78465281
tabapora,4799.71510494
tangara da serra,36797.38623819
tapurah,4220.31683824
terra nova do norte,5486.31782667
tesouro,1351.81205188
torixoreu,1982.60367435
uniao do sul,1760.02898221
vale de sao domingos,1601.43636935
varzea grande,107351.51137873
vera,4755.37473979
vila bela da santissima trindade,6514.52057355
vila rica,9727.02264578
