city,total
agua clara,6796.83063214
alcinopolis,2093.1867935
amambai,15153.33789042
anastacio,10106.06016672
anaurilandia,3879.59987784
angelica,4625.66201329
antonio joao,3359.21213348
aparecida do taboado,10366.21884946
aquidauana,19427.77280777
aral moreira,4128.42928651
bandeirantes,3014.91841476
bataguassu,9308.28863601
bataypora,5054.69032647
bela vista,9403.95157887
bodoquena,3578.21386679
bonito,8891.70941532
brasilandia,5539.15491791
caarapo,11478.1695478
camapua,6443.04635746
campo grande,335175.15392923
caracol,2511.03025517
cassilandia,9655.30628199
chapadao do sul,9469.52920026
corguinho,2277.2110587
coronel sapucaia,5427.185811
corumba,40850.40840696
costa rica,9280.13766033
coxim,14432.00505834
deodapolis,5823.97694741
dois irmaos do buriti,4511.95478111
douradina,2530.74381515
dourados,87404.24121652
eldorado,5415.35391904
fatima do sul,8683.84636177
figueirao,1430.1905322
gloria de dourados,4884.7543584
guia lopes da laguna,4671.90311558
iguatemi,6635.73239477
inocencia,3900.67106147
itapora,9273.25334302
itaquirai,8516.62341129
ivinhema,10922.70864376
japora,2979.1952209
jaraguari,3232.22534051
jardim,10792.235798
jatei,2055.448921
juti,2604.43252189
ladario,7890.09121973
laguna carapa,3076.22682017
maracaju,16379.0274932
miranda,11245.74974708
mundo novo,7696.2174573
navirai,21264.52414541
nioaque,6724.11608244
nova alvorada do sul,7856.26936719
nova andradina,21108.72078396
novo horizonte do sul,2410.30747358
paranaiba,18156.95953047
paranhos,4588.86084221
pedro gomes,3544.33524508
ponta pora,32194.42002674
porto murtinho,6033.09694932
ribas do rio pardo,9645.02316872
rio brilhante,13951.63832684
rio negro,2292.89521348
rio verde de mato grosso,8566.14955008
rochedo,2443.65542932
santa rita do pardo,3501.07558039
sao gabriel do oeste,10607.52698852
selviria,2945.1717292
sete quedas,4695.92808291
sidrolandia,19283.19331471
sonora,6693.48299568
tacuru,4083.60752802
taquarussu,1636.98583691
terenos,7828.71019102
tres lagoas,46304.64085713
vicentina,2915.71786179
