city,total,married,separated,divorced,widow,single
abadia dos dourados,5885.66740624,2512.0779928,138.65762919,158.07127024,323.14164681,2753.7188672
abaete,19831.12631393,7805.08597228,600.57626823,663.77615744,1081.81612302,9679.87179296
abre campo,11391.47190703,5538.14945324,147.04073069,160.68310502,716.07226729,4829.52635079
acaiaca,3387.50988928,1334.57364541,47.31639595,35.43599039,236.28603058,1733.89782695
acucena,8786.75615131,3567.60948001,79.95301758,189.77418876,627.94234642,4321.47711854
agua boa,12512.66535534,4007.07319425,93.06899584,190.13233288,719.04595325,7503.34487912
agua comprida,1794.65718559,581.30628792,34.98627088,62.68340247,112.88616016,1002.79506416
aguanil,3538.46089267,1743.66072645,57.24222772,48.40603785,215.03557706,1474.11632359
aguas formosas,15409.9420889,4409.47151922,211.96072037,244.14962278,955.6624518,9588.69777473
aguas vermelhas,10579.68681331,3761.18354109,63.26758127,50.13020297,492.1322736,6212.97321438
aimores,21556.39251694,9038.00629049,421.20736022,912.0357743,1529.84474599,9655.29834594
aiuruoca,5431.54728549,2071.13321452,129.52685649,178.47828815,363.28285464,2689.12607169
alagoa,2390.67302699,1109.0950953,55.34462289,37.76116967,140.0737501,1048.39838903
albertina,2559.68530717,1162.69025356,74.36068525,62.38134233,137.29053157,1122.96249446
alem paraiba,29875.46392746,10685.79640679,771.06364031,1497.61953564,2010.49519808,14910.48914664
alfenas,64152.99157607,25398.69536921,1225.92312194,2470.47874734,3771.85181556,31286.04252202
alfredo vasconcelos,5200.85609344,2531.98179395,68.79691945,81.64011656,272.85522582,2245.58203766
almenara,32844.69103855,9361.88467199,537.70434132,778.3225828,1906.2397521,20260.53969034
alpercata,6098.06920373,2371.5484322,154.2077557,153.78402735,417.79564932,3000.73333916
alpinopolis,16013.05492575,7554.01110538,375.92235997,330.11323126,817.55353267,6935.45469647
alterosa,11893.20151929,5426.16807941,292.74708563,261.42840401,736.79038788,5176.06756236
alto caparao,4516.96386121,2280.07127011,71.82089172,148.84925342,188.88624464,1827.33620132
alto jequitiba,7147.70570628,3691.38788085,73.92696637,193.38517797,347.64214301,2841.36353808
alto rio doce,10656.11699145,4420.31631346,144.68138744,189.29309507,778.7863232,5123.03987228
alvarenga,3835.77797726,1840.65055871,39.91040502,56.44172618,300.93106829,1597.84421906
alvinopolis,13287.7825325,5108.11948756,300.13714366,230.48585594,940.69812787,6708.34191747
alvorada de minas,2805.88932275,1161.93280097,16.62202009,16.75827556,188.954474,1421.62175213
amparo do serra,4371.1331423,1828.91060466,37.28153034,65.15787557,321.27701304,2118.50611869
andradas,32671.78580368,14826.46193937,853.53610817,1222.86668744,2007.4632545,13761.4578142
andrelandia,10664.34305173,4017.05606038,181.24472662,326.8357186,692.68293989,5446.52360624
angelandia,6431.00896007,2360.38189917,76.33308129,57.13034374,286.3398954,3650.82374047
antonio carlos,9685.33846443,3589.43022306,160.27950486,307.63821013,524.33864149,5103.65188489
antonio dias,8108.65092913,3290.07345545,67.60363401,146.24419319,485.73162817,4118.99801831
