city,total,married,separated,divorced,widow,single
abaetetuba,113915.77028655,28586.69513732,347.12281308,716.18244097,3042.56127897,81223.20861621
abel figueiredo,5409.70609485,1681.36645136,101.0134434,90.43144053,217.57404004,3319.32071952
acara,40926.0560178,8666.91166649,176.05178922,130.16835539,838.38785709,31114.53634961
afua,25480.22861776,4102.49966216,83.64363599,84.1865954,356.60688913,20853.29183508
agua azul do norte,20650.50646972,6096.84667205,63.45011575,273.79824211,258.51525352,13957.89618629
alenquer,39784.40384365,8116.57170744,176.47740295,402.11227868,1129.76050845,29959.48194613
almeirim,25825.10830254,4951.24900357,178.66504923,236.64169295,406.31953663,20052.23302016
altamira,79787.4194341,20829.15493547,797.39193274,1178.9275285,2560.59736754,54421.34766985
anajas,17519.46607084,3166.87863338,66.46297352,57.68943021,280.04153455,13948.39349918
ananindeua,394223.99355206,92244.74422906,3807.55022746,7775.41256299,13228.41683229,277167.86970026
anapu,15675.76365887,3961.60452721,144.50539997,232.75381903,354.48425684,10982.41565582
augusto correa,30481.78832845,7253.03226197,247.36709068,196.83023012,954.4061124,21830.15263328
aurora do para,20831.45681136,4172.14847778,77.58875259,155.06956575,546.01522167,15880.63479357
aveiro,11846.37983752,3151.06627875,83.76777228,41.20129673,324.16740128,8246.17708848
bagre,17103.96831727,2802.09071621,30.86449158,100.58407221,322.25428721,13848.17475006
baiao,28542.9319712,5439.7502621,34.17650564,124.89294854,650.4119941,22293.70026082
bannach,2720.48886562,930.85613736,10.07834594,85.48328728,45.6008284,1648.47026664
barcarena,79282.99433735,17060.99093314,497.00494892,1082.89160534,1593.01100053,59049.09584942
belem,1188026.04500368,294674.12278834,12158.68847584,30484.55672581,47333.36427537,803375.31273832
belterra,12608.54974807,3470.19817658,84.42731891,149.99797926,523.41537101,8380.51090231
benevides,41881.6313254,10489.01420419,553.31672703,776.11523039,1335.1062665,28728.07889729
bom jesus do tocantins,12301.14607234,2921.9397794,90.50384861,100.9422916,396.91827622,8790.84187651
bonito,10685.32659162,2859.63989623,43.5210199,87.30976381,361.45307189,7333.40283979
braganca,89336.591687,19842.0722986,730.8391265,809.83444312,3113.26883085,64840.57698793
brasil novo,12668.92236815,4259.59937982,127.46267172,145.25001476,372.09982462,7764.51047723
brejo grande do araguaia,5765.85861152,1602.28293516,94.2849114,49.52438809,208.97038193,3810.79599494
breu branco,40097.58699456,9257.57517606,78.20485123,286.22831812,853.00636959,29622.57227956
breves,68243.52166096,11880.82636911,371.6900587,402.98488333,1302.70413894,54285.31621088
bujaru,19495.52297822,4249.66085762,103.23702146,83.33064879,435.31754378,14623.97690657
cachoeira do arari,16063.77856419,2507.3284912,101.26988966,129.04479892,430.69756684,12895.43781757
cachoeira do piria,19197.15114819,2837.92429518,43.22953372,41.7963064,345.86509735,15928.33591554
cameta,93278.06077508,18987.60552874,304.69172098,536.68534783,2356.6782199,71092.39995763
canaa dos carajas,21004.92076122,6560.2719634,318.73581093,419.59232488,539.76290519,13166.55775682
capanema,52395.68543806,14201.44752949,478.63000327,850.09802262,2043.4211308,34822.08875188
capitao poco,41169.69250017,9981.75747674,203.6626912,178.06111681,1179.44216276,29626.76905266
castanhal,141833.10797578,38243.78461308,935.85202914,2807.95849549,5215.39229112,94630.12054695
chaves,15365.70028726,2892.29509397,14.92640799,56.49265301,239.30173142,12162.68440087
colares,9017.61217306,1805.05494159,35.42453367,94.66532803,329.52369274,6752.94367703
conceicao do araguaia,36993.35290525,11513.0417454,546.99557399,1053.72103417,1496.10212229,22383.4924294
concordia do para,21707.61770898,4890.84240333,82.14361835,114.37332688,658.92697562,15961.3313848
cumaru do norte,8273.32758706,1996.19920458,53.46123986,108.7848305,103.24607442,6011.6362377
curionopolis,14702.54103238,3237.8700366,95.99714482,188.18726436,517.8839198,10662.6026668
curralinho,20277.47570202,4027.49144348,42.31390416,146.04635921,265.38055443,15796.24344074
curua,9014.87792526,1734.27793712,42.26659789,121.95867309,236.21652454,6880.15819262
curuca,27219.56462675,6116.95628405,104.09037986,417.32314565,1187.12908385,19394.06573334
dom eliseu,40376.71181529,11297.80703334,220.18507739,576.03458987,985.80305249,27296.8820622
eldorado dos carajas,24691.05257436,6386.64497832,230.48227515,440.96327177,730.88261544,16902.07943368
faro,6093.92341524,1469.98242665,26.91226411,54.61440267,155.61813826,4386.79618355
floresta do araguaia,14069.14566913,4349.71905288,209.43652556,152.45806038,385.18606825,8972.34596206
garrafao do norte,19197.54100867,4108.20436931,159.45330516,53.82636439,394.44978858,14481.60718123
goianesia do para,23973.7804105,5999.66124569,127.12670466,261.39430141,730.82004467,16854.77811407
gurupa,21234.45196388,3444.88488183,68.72796334,100.16048125,471.51350783,17149.16512963
igarape-acu,29046.58780637,6479.94634061,110.9220446,236.13241744,1025.29993986,21194.28706386
igarape-miri,45034.69971252,8541.14972512,183.54628684,140.02682208,1213.29312797,34956.68375051
inhangapi,8033.18732997,1851.74523436,56.90692026,76.37091697,257.3292837,5790.83497468
ipixuna do para,39953.50630179,9255.86327105,91.91325259,353.24796454,877.97661308,29374.50520053
irituia,24427.23362912,5719.61224197,102.41928815,68.15326845,936.24804387,17600.80078668
itaituba,78395.63445644,17528.21014745,607.79008116,1105.09742391,2364.99635247,56789.54045145
itupiranga,39245.66865782,9636.87991114,268.3229035,422.42188985,1067.84016345,27850.20378988
