city,total,has_children,children_born,children_borned_live,children_borned_dead
agua branca,3967.5121746,2339.77935292,11218.8757701,10766.51699657,452.3587735
aguiar,2379.30537221,1508.89463459,7056.70084841,6828.16712708,228.53372129
alagoa grande,12170.33068584,7519.50675559,33511.40042437,31508.91232586,2002.48809853
alagoa nova,8291.47706703,5211.74192523,23465.77556309,22417.55086852,1048.22469459
alagoinha,5719.96311869,3562.89010118,16227.3771594,15328.83287183,898.54428756
alcantil,2195.69483202,1377.44244704,5896.2211817,5708.79369158,187.42749013
algodao de jandaira,937.25987628,625.33165752,2800.70032755,2747.29014048,53.41018711
alhandra,7449.24604119,4751.700728,17833.7025102,17161.7317875,671.9707227
amparo,861.45351468,565.59524053,2421.17409832,2340.09514257,81.07895573
aparecida,3237.81194529,2177.10999756,9167.85838474,8483.76008834,684.09829636
aracagi,7311.94287115,4672.62922153,21077.64770104,19795.21352159,1282.43417947
arara,5538.95684779,3679.86667917,18508.97044756,18126.00268162,382.96776591
araruna,7803.89961043,5059.01434008,22406.63580139,21372.780636,1033.85516546
areia,10127.71067942,6397.25370249,29023.72564184,28102.84628801,920.8793538
areia de baraunas,806.41708604,476.5540793,2381.52714883,2331.29940357,50.22774523
areial,2858.91970619,1828.25745622,8440.71726369,8254.68640859,186.03085513
aroeiras,8185.30347884,4924.86051391,24970.16151232,23685.06718602,1285.09432618
assuncao,1466.50439268,969.9315124,4410.15825361,4302.99525206,107.16300153
baia da traicao,3145.27573995,2062.77112422,8129.41773132,7857.86940944,271.5483219
bananeiras,9178.35759573,5571.64814087,25970.66626464,24187.72451217,1782.94175254
barauna,1757.43737464,1226.23157262,5297.67695211,5013.59526619,284.08168593
barra de santa rosa,5886.09331711,3854.07189613,16960.05855561,15892.58457925,1067.47397629
barra de santana,3459.89233083,2173.25656547,10243.86298849,9605.97862327,637.88436522
barra de sao miguel,2275.1632024,1441.63746312,6148.29906743,5909.95375256,238.34531486
bayeux,43761.87704909,28090.48783957,91330.55301804,86746.35986182,4584.19315623
belem,7462.74298162,4724.37776227,21844.47664075,21124.11133638,720.36530431
belem do brejo do cruz,2950.94041134,1955.57945712,7964.307133,7721.71946179,242.58767121
bernardino batista,1295.57342184,776.74048531,4300.95746818,4204.18049006,96.77697806
boa ventura,2415.70102197,1421.59027972,6236.17321355,5909.97848362,326.19472996
boa vista,2641.00745669,1670.367715,6191.92294694,6078.35088669,113.57206026
bom jesus,978.85809939,637.43856142,2888.65061789,2833.44590206,55.20471585
bom sucesso,2216.9637793,1494.62011435,5827.23906089,5645.53399817,181.70506271
bonito de santa fe,4442.87504766,2706.43124256,11284.60501134,10892.40056315,392.20444817
boqueirao,7154.61278938,4490.11556331,19099.08142342,18391.50390809,707.57751533
borborema,2096.19820532,1358.01526606,6675.86205532,6494.56241462,181.29964065
brejo do cruz,5576.22136821,3629.5171824,13902.0702278,13535.94681972,366.12340809
brejo dos santos,2602.2839719,1696.9328529,6452.76840834,6277.10951894,175.65888936
caapora,8279.03539141,5340.03441757,19953.91213933,18935.1462675,1018.76587176
cabaceiras,2141.80642093,1314.28463632,5628.89731276,5412.60313171,216.29418108
cabedelo,25797.43819339,16352.51973822,48580.14655869,45734.65834634,2845.48821242
cachoeira dos indios,3950.80485695,2460.3686019,11923.05175059,11459.33017621,463.72157434
cacimba de areia,1504.04978395,986.35091896,3925.93101911,3833.21304474,92.71797437
cacimba de dentro,7081.59408645,4649.96504843,23813.85883877,23006.08963504,807.76920373
cacimbas,2705.25564993,1644.23282496,9062.32341397,8740.39790216,321.92551176
caicara,3048.87243111,1944.49870931,9428.2970695,9031.89099944,396.4060701
cajazeiras,26319.10729551,15488.77508193,59125.4260087,56652.75277666,2472.67323199
cajazeirinhas,1210.97062367,764.59129114,3221.8931473,3001.706983,220.18616431
caldas brandao,2407.44915116,1590.00493968,6767.63921509,6313.72565798,453.9135571
camalau,2428.8420817,1589.428857,6737.60389791,6390.1428456,347.46105232
campina grande,174370.07093292,107849.88360374,357802.80940427,340389.27860542,17413.53079871
capim,2195.16372358,1483.49066026,6452.58393383,6166.86648745,285.71744638
caraubas,1605.13306565,1037.0393886,4226.75465339,4071.8549482,154.89970516
carrapateira,940.32801381,581.23842156,2543.24480125,2483.54239,59.70241121
casserengue,2915.82548236,1854.185541,10182.11245938,9240.57028874,941.54217069
catingueira,2010.65553662,1195.45814145,5986.16624144,5809.49931435,176.66692711
catole do rocha,12544.31426104,8064.45140834,30329.12910226,28894.09765646,1435.0314459
caturite,1857.01844456,1217.34234394,4827.64054356,4521.6195669,306.0209767
conceicao,7785.53003575,4937.00841628,19642.43230525,18894.41321496,748.01909027
condado,2849.95971525,1760.43972457,8435.7073108,8201.20744859,234.49986223
conde,8681.29458667,5514.75395353,19922.77833595,19062.19616676,860.58216917
congo,1952.86580521,1346.63353176,4925.07322363,4836.6777215,88.39550214
coremas,6542.7544175,4028.56775079,16792.45024281,16241.9356317,550.5146111
coxixola,752.83772229,487.90355828,1866.76912983,1829.12753047,37.64159935
cruz do espirito santo,6667.14562095,4469.52358691,18223.83421863,17012.37569251,1211.458526
cubati,2851.723034,1906.44933248,7485.30546551,7115.64490139,369.66056401
cuite,8755.80066158,5838.46018247,23935.91211036,22455.68190293,1480.23020736
cuite de mamanguape,2629.43124286,1591.47563462,7442.90068369,7136.37097228,306.52971145
cuitegi,2910.77691591,1915.66121603,8754.10058959,8216.44388195,537.65670761
curral de cima,2114.95220601,1333.09220893,6232.82381498,5980.21132345,252.61249148
curral velho,1019.06699236,593.17350224,2616.44089713,2496.68744468,119.75345245
damiao,1984.15256539,1270.73075805,5983.1281556,5836.12323157,147.00492405
desterro,3379.60394488,2173.10686002,10363.47089968,9931.09568523,432.37521445
diamante,2752.21166063,1650.67413583,7260.67260967,6832.42533547,428.24727412
dona ines,4313.69961128,2739.50816728,14988.0072952,14161.16975122,826.83754396
duas estradas,1554.64068429,996.26147739,4675.92497098,4394.75076783,281.1742031
emas,1353.60956027,824.05826355,3879.82626642,3753.57816788,126.2480985
esperanca,13370.79806023,8546.47761714,35473.54745602,33987.45148433,1486.09597171
fagundes,4812.28790417,3037.5164085,14772.21493237,14205.70339438,566.51153795
frei martinho,1297.39454457,877.94734506,3765.29741356,3679.77499054,85.52242304
gado bravo,3545.54961129,2126.05576549,10558.79801989,10062.79640037,496.00161953
guarabira,24481.49844962,15270.23790094,56783.5631438,53688.64095427,3094.9221895
gurinhem,5761.96191683,3772.3454748,16845.75949758,16084.95020109,760.80929647
gurjao,1376.19163767,861.31265097,3418.84197578,3295.43506084,123.40691493
ibiara,2591.96606512,1616.74744717,7435.49986243,7200.52701815,234.97284427
igaracy,2680.30928425,1617.14420846,7717.15570026,7364.79857936,352.3571209
imaculada,4489.10611449,2808.50130236,13341.77014518,13003.73804481,338.03210036
inga,7862.19585366,4996.69914163,23423.23173273,22406.41953027,1016.81220248
itabaiana,10870.44057635,6897.69878166,26041.00747699,25125.09061413,915.9168629
itaporanga,9940.95995096,5854.63650125,22859.97521655,22071.27579184,788.69942471
itapororoca,6992.63482628,4496.42239903,20732.67836386,19917.81681587,814.86154797
itatuba,4244.94509966,2689.97909628,12286.45857713,11593.26971267,693.18886449
jacarau,5876.8350913,3908.66316167,17799.35848086,17153.45222553,645.90625533
jerico,3247.10175447,2033.07523159,8416.79251486,7935.25007108,481.54244378
joao pessoa,334734.63848328,200467.51444889,571063.97655114,545732.08286879,25331.89368211
joca claudino,1148.30327209,712.45688044,3274.46286737,3217.05254791,57.41031947
juarez tavora,3175.67243517,1975.41592951,9543.24417497,8983.64704007,559.59713496
juazeirinho,6777.3582037,4235.48874761,19135.54286133,18353.55467542,781.98818589
junco do serido,2766.14209293,1766.98147484,7738.33703691,7352.90753694,385.42949994
juripiranga,4217.57751197,2809.85128771,12547.44665669,11901.71254738,645.73410931
juru,4119.17445959,2632.3549967,12652.88656268,11861.16938,791.71718274
lagoa,2037.2737104,1283.37352811,5372.74524376,5099.93649518,272.80874858
lagoa de dentro,3129.53654436,1956.76358213,10232.95927572,9840.14199815,392.81727755
lagoa seca,10984.03951803,6818.21104981,27457.79302283,26168.08308167,1289.70994117
lastro,1185.28873786,740.60743536,3257.27700991,3049.14119051,208.13581938
livramento,3013.56450617,1908.2348567,9307.0157895,8999.35018662,307.66560285
logradouro,1673.13038997,1075.49622526,4832.11729578,4493.99503662,338.12225918
lucena,4765.78728927,3155.30244045,12363.63350955,11382.66092387,980.97258573
mae d'agua,1719.01221178,1072.50194158,4930.22308091,4734.45316275,195.76991813
malta,2443.992168,1539.78192137,6945.43724553,6819.64554977,125.7916958
mamanguape,17760.50686239,11660.19264724,46393.12904749,43438.73395191,2954.39509565
manaira,4344.6618627,2821.65315138,12955.67998763,12460.75972199,494.92026564
marcacao,2922.10644835,1919.62722268,8623.95860883,8300.91629779,323.04231102
mari,9120.35045504,6005.65682381,26814.57336306,25435.75481074,1378.81855232
marizopolis,2628.70395295,1764.41188144,7260.50685809,6989.71292563,270.79393241
massaranduba,5590.89237627,3483.92599576,15532.90221632,14888.6724575,644.22975885
mataraca,2953.29728263,1944.56652331,7937.73703984,7702.55182375,235.1852161
matinhas,1792.31103845,1098.02982046,4989.86743223,4862.17478528,127.69264695
mato grosso,1143.2127554,694.93075431,2859.05638801,2750.24716537,108.80922266
matureia,2500.09518442,1542.41959302,7613.94309354,7409.99033996,203.95275359
mogeiro,5344.92916083,3327.49527186,15196.88349385,14236.38881026,960.49468363
montadas,2089.04055839,1392.81118859,6781.79128372,6641.1412281,140.65005567
monte horebe,1884.27895682,1213.04581128,5363.13233249,5256.07345289,107.05887961
monteiro,13553.99965791,8950.27058082,35270.7158011,32910.69157113,2360.02422995
mulungu,4051.72509459,2529.3416634,11062.89566065,10681.54352367,381.35213699
natuba,4441.58242897,2676.05843292,13995.02335586,13039.07532061,955.94803527
nazarezinho,3068.30298923,1928.91968259,8341.27754048,8034.6730112,306.60452929
nova floresta,4574.46098622,2942.7465494,12787.09566295,12262.86012937,524.23553361
nova olinda,2557.35287269,1571.4190546,7787.1448348,7463.76006321,323.38477157
nova palmeira,1836.38452723,1231.07594826,4743.43945146,4596.45468405,146.98476745
olho d'agua,2989.41227472,1673.89358646,8321.82924238,7942.30092652,379.52831586
olivedos,1511.86254943,971.28552493,3763.10083786,3613.01830355,150.08253427
ouro velho,1235.45712857,849.57084732,3070.24297602,2854.02189121,216.22108485
parari,535.84509439,337.67185008,1409.44168746,1384.86325828,24.57842917
passagem,932.45500353,618.50488022,2734.10291139,2545.33900931,188.76390204
patos,45062.25837827,27968.39311324,100765.85865549,95851.39674338,4914.46191219
paulista,5136.28334754,3102.79946321,12230.65797684,11737.69030073,492.9676761
pedra branca,1562.66725293,892.95700626,3858.25477136,3748.20371034,110.05106102
pedra lavrada,3135.45644316,2142.5408381,8581.0703806,8231.10172298,349.96865762
pedras de fogo,11292.71463369,7163.59428186,29727.34755774,28363.04390835,1364.30364946
pedro regis,2380.79963105,1606.32081228,8051.6211304,7781.55719422,270.06393615
pianco,6900.04473895,4117.4445479,16117.33420863,15357.7928551,759.54135355
picui,7811.09748491,5196.99128173,21261.14104242,20444.38128438,816.75975809
pilar,4794.06112648,2962.92864362,12673.27854328,11884.7834889,788.49505433
piloes,2819.27549952,1733.98001141,8618.78219667,8200.97392435,417.80827227
piloezinhos,2195.1289205,1327.58406369,6062.61321365,5908.76482317,153.84839049
pirpirituba,4408.64015291,2693.94085236,11401.0613987,10832.6973296,568.36406914
pitimbu,6630.79077115,4279.06770785,17028.8423283,16141.42978594,887.41254236
pocinhos,7014.49709199,4524.77090733,20305.85643442,19137.90921327,1167.94722112
poco dantas,1498.95564145,954.24334768,4963.1816157,4763.42690266,199.754713
poco de jose de moura,1769.02741799,1087.42066404,4804.27011673,4649.91167072,154.35844599
pombal,14438.31755128,8752.63154473,32737.99889951,30991.65885921,1746.34004036
prata,1601.54079178,1106.21747131,4515.11478159,4361.2694409,153.84534075
princesa isabel,9172.86186941,5628.72739914,25440.58354353,24050.25556435,1390.32797918
puxinana,5455.97405553,3473.81975517,14394.52494802,13884.08610089,510.43884716
queimadas,17708.13823741,10963.8667929,45741.87349947,43065.60482079,2676.26867868
quixaba,675.49935528,416.70469781,1882.61802389,1795.77481291,86.84321096
remigio,7612.73602974,4874.38748159,21636.636747,20669.30973508,967.32701191
riachao,1384.96042572,857.74402803,3574.55707436,3378.38000043,196.17707392
riachao do bacamarte,1815.72101336,1185.71283687,5356.5073985,5135.85409948,220.65329903
riachao do poco,1706.74380006,1120.98251549,5311.76160218,5162.69832949,149.06327271
riacho de santo antonio,707.54923027,441.76144721,1865.64038134,1813.60925452,52.03112683
riacho dos cavalos,3412.3534787,2165.12459961,9052.89588505,8742.46912422,310.42676089
rio tinto,9875.86847742,6185.82156928,24642.28542468,23250.66643824,1391.61898645
salgadinho,1410.39734477,919.54189991,4163.30274697,4087.09841515,76.20433182
salgado de sao felix,5200.10549009,3379.9419698,16088.28651721,15173.48290511,914.80361203
santa cecilia,2672.19196077,1645.77710406,8898.60882628,8648.04231766,250.56650856
santa cruz,2780.99746949,1872.49091495,8015.86570743,7649.29565887,366.57004857
santa helena,2385.61062424,1532.40036699,7006.08497273,6557.46217191,448.62280078
santa ines,1399.85188039,882.99320583,3914.27234888,3710.23769097,204.03465791
santa luzia,6453.47827981,3997.70882057,15416.54724668,14676.39729927,740.14994737
santa rita,52251.78326523,33923.79495011,117535.83958881,110181.36467195,7354.47491683
santa teresinha,1947.77627674,1141.11670511,5020.22468484,4866.88252376,153.34216112
santana de mangueira,2201.18924089,1303.35890668,6278.59231198,6095.89980816,182.69250379
santana dos garrotes,3238.88985678,1797.06583726,8091.39681008,7652.76249498,438.63431514
santo andre,1128.19966959,737.62578238,3268.86010009,3165.26557097,103.59452911
sao bentinho,1783.08614673,1102.75886442,4785.91129271,4563.24235842,222.66893429
sao bento,13222.01856458,8349.97513752,30711.24689573,28903.68713274,1807.5597629
sao domingos,1251.17023106,735.49634744,2935.05309378,2711.70017718,223.35291663
sao domingos do cariri,1027.61906284,639.82948816,2642.82317442,2548.82414746,93.9990269
sao francisco,1467.9559368,1001.32179086,4123.34998348,4017.99870467,105.35127876
sao joao do cariri,1896.64719226,1211.53678301,4841.21138358,4505.44186895,335.76951457
sao joao do rio do peixe,8062.21782769,4896.12437649,20324.63359169,19532.16152092,792.47207081
sao joao do tigre,1787.77398771,1173.83750615,5031.10247857,4760.30731661,270.79516202
sao jose da lagoa tapada,3276.59377785,2046.56254747,9366.44423426,9026.09885655,340.34537771
sao jose de caiana,2381.44070421,1349.88679577,6255.58836746,6133.94835175,121.64001571
sao jose de espinharas,1887.99359697,1188.84675709,5239.7426827,4994.15973603,245.58294667
sao jose de piranhas,7995.05525595,4891.44144292,21440.53416675,20401.79497128,1038.73919549
sao jose de princesa,1763.68677289,1014.77255108,5536.39222521,5344.14072075,192.25150446
sao jose do bonfim,1341.39777549,854.16815859,3579.84001423,3479.71030075,100.12971349
sao jose do brejo do cruz,689.34876399,451.15247358,1766.40811638,1679.35617221,87.05194414
sao jose do sabugi,1667.36710679,1062.86082725,4244.71719974,4122.50428474,122.21291499
sao jose dos cordeiros,1690.22709843,1134.35785881,4852.49957665,4641.58742378,210.91215282
sao jose dos ramos,2303.86559314,1477.71928164,6896.76532108,6545.59342035,351.17190074
sao mamede,3356.54998184,2219.63495267,9137.4486802,8806.56799009,330.88069014
sao miguel de taipu,2719.47143698,1698.36268161,7921.82633185,7706.50675474,215.31957708
sao sebastiao de lagoa de roca,4686.25351049,2919.18709979,12428.97206322,11727.62948952,701.3425737
sao sebastiao do umbuzeiro,1364.5000156,877.00450525,3718.65725259,3620.42544612,98.23180644
sape,21445.00989539,13621.42944169,57491.3863058,53777.49586928,3713.89043651
serido,4028.16392246,2398.4157037,11467.85544303,10952.71566495,515.13977804
serra branca,5670.22661819,3681.40016174,14150.94034174,13359.80833028,791.13201143
serra da raiz,1328.09255365,869.38321585,4042.66889352,3890.64580839,152.02308511
serra grande,1236.29984188,782.35238454,3599.33121471,3553.34674318,45.98447157
serra redonda,3141.75613226,1912.17943097,8658.87451925,8183.71480411,475.15971514
serraria,2601.09807812,1679.31059629,8017.02364882,7614.2290605,402.79458831
sertaozinho,1889.4112704,1224.94714215,5645.21010764,5545.63603166,99.57407604
sobrado,3141.38844439,1954.53494139,8329.12458305,8017.32000253,311.80458055
solanea,11677.74056519,7437.47304391,30985.25894514,29326.88517923,1658.37376591
soledade,5807.91516209,3745.34872285,14882.90100143,14161.87818992,721.02281156
sossego,1284.77792227,866.50848499,3346.61060972,3268.61467845,77.99593126
sousa,29001.9122784,18554.83171592,67160.91662129,64305.49067661,2855.42594458
sume,7010.00416923,4580.75899946,16904.27383115,16259.31979171,644.95403943
tacima,4361.0342354,2612.51720635,12332.33788827,11621.24181737,711.09607095
taperoa,6385.94393419,3930.70767265,17098.16590565,16403.55936841,694.60653725
tavares,5871.97231901,3527.96358532,17346.22895068,16598.18886715,748.04008354
teixeira,5849.11868327,3769.03322977,16645.81829499,16027.6939198,618.1243752
tenorio,1121.82645978,694.25376432,2986.76184035,2912.56871377,74.19312659
triunfo,3977.32381976,2356.74441292,11266.40739635,10812.74598264,453.66141368
uirauna,6520.95571958,3922.30236766,17258.27579597,16671.70797109,586.56782491
umbuzeiro,4017.86283777,2434.31376829,11889.91312505,11480.65562332,409.25750175
varzea,1065.7752927,656.76405098,2493.37946641,2406.07512695,87.30433947
vieiropolis,2175.12613793,1400.17223349,6872.79507487,6636.65226192,236.14281298
vista serrana,1442.08854381,857.41012546,3882.16203228,3740.84698288,141.31504936
zabele,851.31418354,583.52301349,2429.38540427,2232.7027348,196.6826695
