city,total
agua branca,3918.09339073
aguiar,2365.38941567
alagoa grande,11199.35074917
alagoa nova,8100.85167557
alagoinha,5596.8116363
alcantil,2137.21979611
algodao de jandaira,1008.79751349
alhandra,7535.09014173
amparo,942.94241123
aparecida,3634.80377265
aracagi,7564.21091847
arara,5037.19645085
araruna,8187.50941575
areia,9512.71874244
areia de baraunas,818.80238545
areial,2744.83508225
aroeiras,7924.56117794
assuncao,1478.13433177
baia da traicao,3320.09294192
bananeiras,9496.98156628
barauna,1776.23852252
barra de santa rosa,6046.66460434
barra de santana,3609.1092592
barra de sao miguel,2291.98321821
bayeux,41793.68680277
belem,7246.54614367
belem do brejo do cruz,3112.86580585
bernardino batista,1325.90438286
boa ventura,2424.90204068
boa vista,2695.97033169
bom jesus,1055.79057254
bom sucesso,2389.00711436
bonito de santa fe,4435.32438068
boqueirao,7066.08431774
borborema,2113.38988084
brejo do cruz,5514.18850455
brejo dos santos,2835.44160925
caapora,8444.8180267
cabaceiras,2241.81344531
cabedelo,24367.50386112
cachoeira dos indios,4194.25891194
cacimba de areia,1672.43221407
cacimba de dentro,7225.32041952
cacimbas,2407.9334973
caicara,3068.1474767
cajazeiras,24008.99766305
cajazeirinhas,1340.79067085
caldas brandao,2506.08569852
camalau,2393.1307495
campina grande,157073.38240475
capim,2312.35481162
caraubas,1691.68174921
carrapateira,1073.88770389
casserengue,3040.49629986
catingueira,1784.09230522
catole do rocha,12142.63717455
caturite,2031.44360598
conceicao,7955.77627482
condado,2775.87730139
conde,8836.9896693
congo,1970.25527626
coremas,6533.98481718
coxixola,807.47752751
cruz do espirito santo,6783.83069607
cubati,2916.48474367
cuite,8826.27902684
cuite de mamanguape,2643.93352317
cuitegi,2798.01637481
curral de cima,2035.28831397
curral velho,1048.5444064
damiao,2193.10566796
desterro,3180.72290229
diamante,2765.72449794
dona ines,4731.23060005
duas estradas,1505.91570334
emas,1293.90689059
esperanca,13689.49451349
fagundes,4873.93917653
frei martinho,1468.42201071
gado bravo,3470.17064259
guarabira,23443.5982639
gurinhem,6210.78450982
gurjao,1401.48478547
ibiara,2415.72850677
igaracy,2590.78173007
imaculada,4500.29579184
inga,7306.82799712
itabaiana,10830.78126972
itaporanga,8901.5034177
itapororoca,7531.59700547
itatuba,4358.89850014
jacarau,5764.63314099
jerico,3336.13423526
joao pessoa,295610.27280959
joca claudino,1226.20095864
juarez tavora,3067.72265663
juazeirinho,6764.26059895
junco do serido,2942.12106723
juripiranga,4233.29532201
juru,4348.26973766
lagoa,2037.99662574
lagoa de dentro,3236.9730374
lagoa seca,11281.05240445
lastro,1325.98354586
livramento,2922.20531341
logradouro,1810.82516822
lucena,4908.69626186
mae d'agua,1678.21796442
malta,2103.90668434
mamanguape,18243.92910007
manaira,4449.88740996
marcacao,3124.58253849
mari,8864.990086
marizopolis,2801.98971597
massaranduba,5486.63087976
mataraca,3125.4396372
matinhas,1779.39141472
mato grosso,1304.90606837
matureia,2396.75481991
mogeiro,5124.47420479
montadas,2306.99336706
monte horebe,1978.35443501
monteiro,13339.73562984
mulungu,4018.71186142
natuba,4303.36775402
nazarezinho,3478.67238331
nova floresta,4296.45075921
nova olinda,2477.44610843
nova palmeira,2056.8881374
olho d'agua,2855.72164919
olivedos,1647.49190344
ouro velho,1231.46657202
parari,543.55794863
passagem,895.16774681
patos,40576.63957834
paulista,5451.03455633
pedra branca,1537.2162771
pedra lavrada,3431.49432747
pedras de fogo,11525.8722213
pedro regis,2478.96776428
pianco,6538.61733418
picui,8216.14460375
pilar,4753.52194259
piloes,2672.81963967
piloezinhos,2029.64644564
pirpirituba,4174.1396045
pitimbu,6718.24706721
pocinhos,7498.81858569
poco dantas,1690.96972345
poco de jose de moura,1704.67000564
pombal,13817.59001965
prata,1590.27918148
princesa isabel,8914.76826129
puxinana,5440.87420775
queimadas,17874.86083807
quixaba,747.72841988
remigio,7002.27148346
riachao,1362.57009235
riachao do bacamarte,1853.75592282
riachao do poco,1830.25676306
riacho de santo antonio,708.03451334
riacho dos cavalos,3834.52144733
rio tinto,9698.50688397
salgadinho,1461.77652739
salgado de sao felix,5179.04495105
santa cecilia,2831.57387801
santa cruz,3120.45892603
santa helena,2420.5972885
santa ines,1571.75625376
santa luzia,6091.5986451
santa rita,51049.34177189
santa teresinha,1873.86727947
santana de mangueira,2112.77639174
santana dos garrotes,3041.47004047
santo andre,1090.02674149
sao bentinho,1743.08032163
sao bento,13537.96361018
sao domingos,1312.01767054
sao domingos do cariri,1020.58203307
sao francisco,1653.27209085
sao joao do cariri,1756.91394975
sao joao do rio do peixe,8230.52041153
sao joao do tigre,1905.22487911
sao jose da lagoa tapada,3622.68003073
sao jose de caiana,2464.01265783
sao jose de espinharas,1982.61783226
sao jose de piranhas,8315.77673163
sao jose de princesa,1700.45494627
sao jose do bonfim,1293.45719804
sao jose do brejo do cruz,702.13083646
sao jose do sabugi,1817.92485426
sao jose dos cordeiros,1807.45297633
sao jose dos ramos,2437.87466174
sao mamede,3313.8635451
sao miguel de taipu,2747.21470186
sao sebastiao de lagoa de roca,4849.53342258
sao sebastiao do umbuzeiro,1388.53458095
sape,21177.75024176
serido,4146.05213905
serra branca,5374.52049056
serra da raiz,1301.17741614
serra grande,1311.35469951
serra redonda,2993.12813562
serraria,2410.72764575
sertaozinho,2052.66219464
sobrado,3240.7265439
solanea,11324.62460787
soledade,5913.57624236
sossego,1428.3849394
sousa,29336.7342088
sume,6682.1384795
tacima,4057.64152267
taperoa,6041.05785111
tavares,5946.96163562
teixeira,5671.40175493
tenorio,1192.95557371
triunfo,3987.05515032
uirauna,6494.53893883
umbuzeiro,3498.38738929
varzea,986.71885694
vieiropolis,2406.04554941
vista serrana,1502.48666357
zabele,925.23100376
