city,total,has_children,children_born,children_borned_live,children_borned_dead
abreu e lima,42234.43707833,27569.88714342,85319.36894807,81189.73158159,4129.63736644
afogados da ingazeira,15497.27122833,9866.12760333,37712.73208424,36017.07937615,1695.65270802
afranio,7214.25305053,4525.87739028,18014.79713861,17245.97756461,768.81957402
agrestina,9921.81133735,6078.4891617,27168.33566427,25123.12613434,2045.20952995
agua preta,13435.83078658,7746.70807271,32658.96060831,30227.79648319,2431.16412511
aguas belas,16404.48010694,10382.07207689,49489.6064434,46252.72856971,3236.8778737
alagoinha,5677.52020353,3682.56201193,14139.55213039,13592.76489952,546.78723085
alianca,15815.77658876,10010.6711916,40848.81335957,37773.86200594,3074.95135366
altinho,9655.29605274,5941.98559444,25830.14108777,23901.41548491,1928.72560281
amaraji,8957.34524055,5693.26984109,23985.4415606,22410.34530642,1575.09625416
angelim,4240.66800672,2568.30951643,11124.96342179,10773.62561788,351.33780394
aracoiaba,7509.48014781,4766.52414257,17929.03212177,16922.04335964,1006.9887621
araripina,31889.31477878,19568.85146451,79442.22521191,76167.36380536,3274.86140649
arcoverde,30405.21996446,18632.90782821,68163.39179492,63717.60595832,4445.7858366
barra de guabiraba,5121.09943205,3162.49829702,13524.9840314,12959.61975154,565.36427988
barreiros,17167.90872455,10358.21937104,42146.30246899,39101.96690414,3044.33556476
belem de maria,4630.07520491,2820.09124854,12214.77135587,11431.12520308,783.6461528
belem do sao francisco,8295.48555896,5207.18717351,20836.58615977,19673.78046384,1162.80569592
belo jardim,31918.57109334,20174.07005186,76369.12636934,71292.57476777,5076.55160151
betania,4917.80307048,3129.71346117,12577.76423196,11956.79067026,620.97356169
bezerros,26532.30631084,16871.31796449,66897.28107658,61884.288015,5012.99306157
bodoco,14131.5319788,8394.86142671,39108.4810646,37051.47640261,2057.00466198
bom conselho,19312.33792941,11827.16796133,52622.39321162,50065.53965692,2556.85355474
bom jardim,16586.13552976,10125.54011847,42543.24501857,40579.53749527,1963.70752331
bonito,15664.27838101,9761.66967004,41893.6268081,39295.65546039,2597.97134774
brejao,3716.16518234,2312.89851577,10280.04254125,9723.9732967,556.06924458
brejinho,3093.6455446,1935.56898641,8850.76512909,8531.36279634,319.40233274
brejo da madre de deus,18779.92429663,11899.66504074,46843.70866925,43730.15700882,3113.55166047
buenos aires,5318.20098286,3336.61370293,14659.94681651,13777.99135331,881.95546324
buique,20817.44330907,12014.8854054,56331.15696413,53459.76462949,2871.39233463
cabo de santo agostinho,79858.92443745,50407.51055094,161601.41831757,153225.19809288,8376.22022457
cabrobo,12757.12878606,7815.94704321,29268.83101235,28013.16071644,1255.67029593
cachoeirinha,8203.16135405,5195.37219681,21642.60609584,20390.89019904,1251.71589675
caetes,10905.03311321,6126.47862255,29918.20856984,28323.17751629,1595.03105358
calcado,4549.31601277,2852.64586032,13788.78750707,12991.76191777,797.0255893
calumbi,2424.72074275,1512.52804244,7043.09812893,6778.52421595,264.57391298
camaragibe,65012.42877993,40389.56528902,123175.90547677,117854.30815209,5321.59732461
camocim de sao felix,7417.5530622,4744.14779233,19512.78237364,18367.67403541,1145.10833822
camutanga,3431.98807052,2262.15743819,9285.65492273,8798.04863893,487.60628379
canhotinho,10093.90010837,6181.52238663,26123.27748565,24695.52642396,1427.7510617
capoeiras,8112.10325511,4913.65892289,23823.68695504,22438.13633704,1385.55061797
carnaiba,7846.8819658,4855.62002311,22429.31638611,21783.88243615,645.43394998
carnaubeira da penha,4446.42861054,2611.23133202,11824.78196311,11485.83632266,338.94564049
carpina,33702.11096529,20499.94873305,69050.21557686,64877.0249389,4173.19063791
caruaru,141396.19327037,87250.95940416,283318.88539109,266624.55268057,16694.33271063
casinhas,5829.43700939,3451.66979796,17414.23402962,16193.82129363,1220.412736
catende,16017.99408468,10077.18932051,40582.78485423,38097.85099693,2484.93385726
cedro,4465.45431437,2589.42353396,11667.18227334,11160.71020511,506.47206817
cha de alegria,5325.91510878,3274.56081373,13124.55465463,12252.28703212,872.26762247
cha grande,8504.0783529,5388.50647491,20861.85492801,20038.12769957,823.72722845
condado,10342.2369766,6499.87086481,25686.90004518,24271.28153066,1415.61851456
correntes,7303.26760502,4277.99817721,18830.41433102,18129.77684492,700.63748609
cortes,5099.24544125,3175.78527808,12872.87494256,12154.12060001,718.75434255
cumaru,7356.08834489,4631.11462363,21664.96550946,20184.50301347,1480.46249599
cupira,10512.93875727,6625.4595842,27550.29323344,26055.04041293,1495.25282054
custodia,14448.86898049,9258.89103231,37293.13665742,34829.26107471,2463.87558269
dormentes,6701.45199286,4128.85893108,16805.00655382,16237.33642526,567.67012849
escada,27076.18510319,16915.11153978,60129.67771842,57017.22321821,3112.45450025
exu,13058.20577302,7880.56476963,35554.03780232,33637.63372082,1916.40408156
feira nova,8915.36422698,5516.46699256,23762.32674815,21709.11634063,2053.21040746
fernando de noronha,1142.40796746,721.08643646,1660.48919978,1618.28048151,42.20871829
ferreiros,4875.7269064,3098.07354254,13246.69142579,12570.55642043,676.13500541
flores,9352.19409609,6132.18855801,26211.53980178,25002.35203263,1209.18776916
floresta,12014.08622256,7163.20185082,26853.26966817,25892.18204706,961.0876211
frei miguelinho,6256.84030493,3748.33753986,17394.27252885,16565.85179301,828.42073588
