city,total,married,separated,divorced,widow,single
abreu e lima,80276.68945738,26421.84722289,966.57771275,2147.71987672,3803.09080872,46937.4538363
afogados da ingazeira,29301.87987433,11072.11277599,443.81156985,759.81561752,1933.4569301,15092.68298087
afranio,14292.24085127,5207.22777264,145.31010004,197.52147726,570.53619512,8171.64530621
agrestina,18997.73045524,5851.23787626,166.28073813,299.21801314,1339.0817948,11341.91203291
agua preta,26956.12691173,6441.15190799,171.41938447,228.33126348,1121.54432291,18993.68003288
aguas belas,31885.00677243,10359.41594767,280.18687329,464.08936835,1660.89548561,19120.41909751
alagoinha,11417.17081695,4133.99554995,134.90837747,219.58380045,688.77229062,6239.91079846
alianca,31159.41524908,9888.28351105,204.24585612,347.20076017,1584.59776234,19135.0873594
altinho,19031.53003618,5814.09489287,153.81173155,440.75297008,1243.98504533,11378.88539635
amaraji,17976.55723143,3473.5328531,64.61185789,187.13419407,788.95212931,13462.32619706
angelim,8302.37138495,3077.43742401,150.4273428,191.53565186,561.73723203,4321.23373425
aracoiaba,14867.98685027,3261.87797426,45.92818977,149.54822657,524.2751112,10886.35734847
araripina,62031.67650835,23683.89666115,1110.01586725,983.85506321,2799.53142964,33454.3774871
arcoverde,56749.31791357,18989.02761947,836.45157787,1445.04265642,3244.29430589,32234.50175392
barra de guabiraba,10410.78208591,2023.9385933,-,83.67865426,450.04615475,7853.1186836
barreiros,33250.47622839,8366.14349585,128.45068515,669.52560418,1521.39851544,22564.95792777
belem de maria,9185.3669227,2440.68662281,57.04479912,83.37479854,550.19536468,6054.06533755
belem do sao francisco,16275.18706307,5687.60682828,230.00524388,217.77684299,745.93857591,9393.85957201
belo jardim,60770.74062948,22395.32844957,783.12910183,1872.32095491,3652.89007144,32067.07205173
betania,9737.78146478,4271.42526567,61.71575079,122.16047898,439.06854486,4843.41142448
bezerros,50276.44028544,14491.77137707,460.29878426,1118.00352136,3129.48279108,31076.88381167
bodoco,28206.97679146,11696.44000767,362.73123188,291.71424873,1368.64153816,14487.44976502
bom conselho,36943.75689353,14688.2622729,551.1798779,742.52758465,2530.56033848,18431.2268196
