city,total,married,separated,divorced,widow,single
acaua,5584.77426479,1697.59591333,28.33591482,43.02151962,230.0469686,3585.77394842
agricolandia,4299.05998909,1891.72658173,53.25509719,63.52525625,277.1021277,2013.45092622
agua branca,13584.50467698,5054.83331609,180.4565729,342.98535614,783.48144356,7222.74798829
alagoinha do piaui,6261.12625924,2705.23070502,50.98486979,57.13276048,282.59732998,3165.18059397
alegrete do piaui,4289.40894119,1654.23232304,46.31597954,88.67893759,225.75954439,2274.42215663
alto longa,11561.69470395,4547.35549249,108.82100513,202.58404781,740.44398989,5962.49016863
altos,32316.47415786,11462.76021608,462.77638921,413.52158559,1516.98125226,18460.43471472
alvorada do gurgueia,3981.02706313,752.02034378,35.32378388,51.60172539,128.96080843,3013.12040165
amarante,14208.56844308,5181.07019551,186.73718242,161.20219513,733.36248581,7946.19638421
angical do piaui,5669.09442899,2242.50410557,58.51171777,104.58255849,384.69185843,2878.80418873
anisio de abreu,7445.3475824,3501.6978992,93.06161642,87.37480735,161.77385018,3601.43940925
antonio almeida,2535.354706,886.53220297,51.51152586,35.40846814,136.46210091,1425.44040812
aroazes,4821.79147576,1469.06176107,52.26910586,49.99540536,246.51827292,3003.94693055
aroeiras do itaim,2136.81098549,779.73379024,9.3493151,22.07360338,123.67173489,1201.98254188
arraial,3869.57799665,1177.78759581,35.34290116,37.68227904,189.82896818,2428.93625246
assuncao do piaui,5817.46106535,1182.3430124,14.09037852,3.43749315,164.72969757,4452.86048371
avelino lopes,9036.89935777,3821.4146657,121.41539899,114.85070643,371.06321218,4608.15537447
baixa grande do ribeiro,8144.07378115,2563.79814557,51.57075126,51.18831698,202.72201282,5274.79455452
barra d'alcantara,3203.7457765,1084.1339461,53.51564016,46.78609065,146.93996658,1872.37013301
barras,36188.3826837,8993.35042162,327.19043678,307.80701498,1352.79765236,25207.23715796
barreiras do piaui,2602.78132657,923.01655684,3.96626147,20.83397759,145.18457884,1509.77995183
barro duro,5446.93615354,1986.50260651,90.88378826,77.96420172,296.97597091,2994.60958614
batalha,21276.92295749,8590.68206423,242.80899698,196.87219192,807.69864028,11438.86106408
bela vista do piaui,3091.26013317,1343.39281516,35.11298685,45.05524569,98.54995987,1569.1491256
belem do piaui,2754.26231393,942.6491412,33.77556751,71.37531475,119.59161356,1586.87067691
beneditinos,8306.57971037,3181.7548051,139.14319128,99.75701484,495.21815175,4390.7065474
bertolinia,4421.78763236,1645.94141743,61.39398314,47.5505378,215.34252391,2451.55917008
betania do piaui,4819.38318147,953.49465201,5.25836793,9.8845665,122.09733904,3728.64825599
boa hora,5036.98620613,1826.00482718,40.92230839,14.41019083,130.5104569,3025.13842283
bocaina,3811.50515088,1547.74426575,77.28437842,60.97786835,265.61869193,1859.87994643
bom jesus,18308.16322103,4402.53004088,152.92528574,333.720692,528.33514141,12890.652061
bom principio do piaui,4343.91613047,1471.98639384,35.9099936,54.01842907,186.5981202,2595.40319376
bonfim do piaui,4499.41076016,2162.16471772,55.609003,44.14794279,204.0837763,2033.40532035
boqueirao do piaui,5059.59478183,1872.84607445,24.63465362,55.65150142,231.15699054,2875.3055618
brasileira,6722.18603962,1873.82175515,91.38118623,47.75933515,245.37137052,4463.85239257
brejo do piaui,3160.05840036,1274.80366147,24.3126797,36.72794173,166.29588788,1657.91822958
buriti dos lopes,15578.05421749,3755.74753698,83.77658961,224.38565459,734.2384869,10779.90594941
buriti dos montes,6579.75005282,2124.3045023,36.15639421,23.94365369,195.9785222,4199.36698042
cabeceiras do piaui,8301.74351948,2529.57800515,103.78078461,48.4591099,336.99895655,5282.92666327
cajazeiras do piaui,2743.49431507,823.16220876,43.53114225,25.61208315,124.98044054,1726.20844037
cajueiro da praia,5823.7814342,2404.73462913,48.18766501,18.18096964,208.22957775,3144.44859267
caldeirao grande do piaui,4649.21240586,1921.95159708,15.73869025,64.50468527,164.6516324,2482.36580086
campinas do piaui,4462.49492606,1727.2075586,47.353173,46.13135899,247.33996723,2394.46286824
campo alegre do fidalgo,3829.00263238,1022.37218485,7.37846036,59.26308595,128.79211148,2611.19678974
campo grande do piaui,4702.66980394,1548.2657341,67.52014713,37.84228736,187.352027,2861.68960835
campo largo do piaui,5245.34989656,685.72288332,31.82911673,4.42191686,200.14886837,4323.22711128
campo maior,38852.70114623,13779.87331973,712.6623396,614.84999637,2153.90218787,21591.41330266
canavieira,3183.11225421,1048.7037944,20.36477772,20.20452046,88.19685721,2005.64230442
canto do buriti,16564.27374408,5547.60520113,164.76677684,113.85325858,802.95734318,9935.09116435
capitao de campos,8969.75677145,3400.21220742,60.85685551,99.08578838,432.85046333,4976.75145681
capitao gervasio oliveira,3123.86984783,816.81073813,19.51537539,37.86725093,143.46204496,2106.21443842
caracol,8261.58687023,3959.41814731,106.39093058,60.68071495,270.85928468,3864.23779271
caraubas do piaui,4482.35120613,1329.20206382,12.97518125,37.66140529,170.40869619,2932.10385958
caridade do piaui,3908.79210793,735.0860933,20.99062113,13.33493518,106.19656254,3033.18389578
castelo do piaui,15169.39329054,4992.20776254,191.784498,93.32890471,723.03060582,9169.04151947
caxingo,4009.10301739,865.46470961,26.39799749,19.40481667,149.08863386,2948.74685976
cocal,20965.83191818,6396.63670974,105.58121519,152.73565124,738.64923886,13572.22910315
cocal de telha,3744.96354514,1591.16675624,34.05686832,28.87899365,167.98659279,1922.87433414
cocal dos alves,4572.09331589,1127.71001452,27.00674048,12.34810839,170.75917049,3234.26928201
coivaras,3166.95528881,1325.97955773,112.54238867,21.68784265,126.15154412,1580.59395564
colonia do gurgueia,4893.23618398,1508.34770925,51.97609034,62.09563199,174.90940712,3095.90734528
colonia do piaui,6194.60949457,2558.61370709,27.0726656,68.19258869,295.48107936,3245.24945383
conceicao do caninde,3750.31034138,1121.47301718,21.33671753,46.58294436,153.66677844,2407.25088387
coronel jose dias,3830.83202734,1607.43588641,44.6741684,43.72849043,190.42466122,1944.56882088
corrente,20455.72995444,6397.26035784,216.74044696,272.67839972,992.59705259,12576.45369733
