city,total,has_children,children_born,children_borned_live,children_borned_dead
angra dos reis,72520.92014639,44504.36642968,123320.55325791,117792.90409106,5527.64916683
aperibe,4550.39658082,2939.31379633,8214.28420951,8015.30605976,198.97814975
araruama,50017.00768594,32898.32964574,89247.01752403,85276.05050849,3970.96701557
areal,5003.46138336,3157.81277574,9483.98933722,9158.53487383,325.45446339
armacao dos buzios,11879.70686621,7481.26727471,19484.66546461,18537.85638329,946.80908131
arraial do cabo,12231.929888,8190.42778645,22365.26708337,21537.04838927,828.21869405
barra do pirai,43616.20062815,27750.18820145,75356.10997636,72203.00438012,3153.10559625
barra mansa,80955.63140644,52530.6721456,145311.03566546,138619.90235557,6691.13330977
belford roxo,207537.25673977,129172.03379238,354808.97548366,339234.24167446,15574.73380912
bom jardim,10946.13072495,7016.34479269,20997.99549727,20244.18165311,753.81384414
bom jesus do itabapoana,16025.07113941,10379.43621943,32057.35508469,30379.22614023,1678.12894444
cabo frio,82148.64241464,52539.68160447,142056.35816499,136761.1599556,5295.19820927
cachoeiras de macacu,23602.3068368,15559.55697826,45579.86387202,43416.47006448,2163.39380749
cambuci,6543.71411091,4537.74287041,14369.65358886,13777.92562036,591.72796848
campos dos goytacazes,207716.81975563,130127.78356362,374908.51932874,357373.11848375,17535.40084486
cantagalo,8657.34356381,5615.64890589,16546.17017996,15865.83962285,680.33055708
carapebus,5669.30541399,3856.68442928,11651.94916296,11024.38944505,627.55971788
cardoso moreira,5532.10414534,3761.42799052,12437.03728229,12000.36472493,436.67255741
carmo,7670.15708529,4998.10993956,15213.34381939,14425.91149349,787.43232585
casimiro de abreu,15320.41034253,10105.21533802,27761.83852788,26481.60732775,1280.23120014
comendador levy gasparian,3571.56270232,2336.03819144,7448.81275105,7089.87840433,358.93434671
conceicao de macabu,9106.9372772,6254.97663173,18897.00463663,17840.42912366,1056.57551298
cordeiro,9360.50573198,6146.05862757,17112.24410411,16411.57157856,700.67252565
duas barras,4642.36853357,3069.67705186,9554.16897985,9050.54779376,503.62118609
duque de caxias,382101.12269342,235196.21794466,639714.76307287,612241.74596755,27473.01710534
engenheiro paulo de frontin,6023.91251029,3883.90617297,10510.88342242,10010.27231975,500.61110258
guapimirim,22288.97285648,14007.45850492,41327.36348615,38815.18444824,2512.17903794
iguaba grande,10329.5914391,6871.62995572,18103.99778376,17278.16173583,825.83604795
itaborai,96608.93502034,63788.59121612,177604.61736594,169854.26291454,7750.35445133
itaguai,46617.00623991,30231.32260387,83308.8016782,80380.14087674,2928.66080138
italva,6380.08565584,4346.25541467,12697.54903679,12032.71106441,664.83797237
itaocara,10417.42761308,7173.43048466,20479.77261189,19463.75903452,1016.01357741
itaperuna,43493.83968396,28365.82756074,77953.02786593,74710.48132119,3242.54654471
itatiaia,12462.91650568,8056.91949879,22620.63334686,21763.93655536,856.69679149
japeri,39935.19046837,25451.26373554,75421.45472241,71539.61476597,3881.83995648
laje do muriae,3222.99029294,2159.63007178,6803.55245005,6365.35820901,438.19424102
macae,88895.50075549,55068.56429449,139778.5229303,134637.25096014,5141.2719703
macuco,2343.34645953,1531.26315718,4741.96707153,4560.95836238,181.00870914
mage,99791.99505466,65229.60811626,192996.01328796,184309.44490163,8686.56838638
mangaratiba,16022.97335122,10198.97758146,25463.09608649,24732.50098375,730.59510275
marica,56786.47315828,35842.87316983,89556.66355231,86600.80068298,2955.86286929
mendes,8302.95709483,5449.63609992,14339.04303528,13705.03256373,634.01047154
mesquita,77149.88842144,49060.01131924,129933.81002555,124578.43005212,5355.3799735
miguel pereira,11490.47773819,7628.64898257,20784.22810375,19881.56526028,902.66284351
miracema,12037.9411681,7785.82733209,24347.21084567,23382.50517049,964.70567525
natividade,6700.6301434,4446.54095081,13323.12230416,12755.69503291,567.4272713
nilopolis,73934.98910796,47168.22598686,117046.82728154,113140.05269165,3906.77458989
niteroi,237163.99669283,143825.03574362,328509.54794717,318413.94912954,10095.59881785
nova friburgo,83925.5962958,54585.54982517,140763.02677184,135759.53679688,5003.48997492
nova iguacu,357640.46665361,223998.70752783,607768.66921539,582742.83782253,25025.83139284
paracambi,20902.50049279,11947.42547196,28900.15628087,28094.70137128,805.45490956
paraiba do sul,18581.96213338,11598.99004579,31672.2035362,30360.6276262,1311.57590992
paraty,15601.75280111,9831.24836052,29633.34661072,28216.90551802,1416.44109276
paty do alferes,11651.17623907,7633.84259741,24162.13274164,22995.35397678,1166.77876478
petropolis,136864.6632704,86421.26474819,226490.50488714,218172.66962006,8317.83526715
pinheiral,10165.00347051,6615.42226536,18291.33478215,17780.65487864,510.67990351
pirai,11743.42195712,6754.56111848,18648.07046039,17716.34204807,931.72841229
porciuncula,7694.9708853,5077.41656565,15791.25382769,15001.09671337,790.15711426
porto real,7114.29551188,4528.48359195,14037.20783146,13238.88250581,798.32532564
quatis,5578.25692223,3498.44703623,10009.75715413,9526.94150437,482.81564967
queimados,60934.93822479,38148.01572692,111522.98543689,106444.417444,5078.56799295
quissama,8719.33838213,5674.45440046,16773.12544381,16382.66513577,390.46030803
resende,53434.66772551,33732.03094883,91134.30966567,86800.88786812,4333.42179754
rio bonito,24631.69332296,15238.50698985,41051.31723941,39698.0009565,1353.31628289
rio claro,7424.45153581,4722.82697904,14768.72798517,14174.62944316,594.09854195
rio das flores,3751.34309985,2275.50757474,6535.73241636,6339.04600466,196.68641174
rio das ostras,45789.54829856,29772.31182998,73720.34820721,71361.40731718,2358.94088998
