city,total,married,separated,divorced,widow,single
angra dos reis,144603.15900939,50873.95595387,2461.24879652,5293.71723604,5713.27137123,80260.96565173
aperibe,8960.37956016,3559.20264937,204.10919776,299.49296869,616.65300729,4280.92173705
araruama,96234.66935135,30630.20316263,1689.79837391,4208.39702298,5924.88708175,53781.38371008
areal,9847.08384686,3653.14959475,186.90271694,353.56388397,547.78750312,5105.68014808
armacao dos buzios,23537.41808336,6983.75421221,469.68872325,1186.55971712,955.24575485,13942.16967593
arraial do cabo,23952.01260703,8849.9578351,357.58304709,1184.07487731,1185.13342875,12375.26341878
barra do pirai,82353.63480519,28425.81733649,1847.42438083,3345.88052217,5723.86116824,43010.65139746
barra mansa,155072.29125474,60880.30321594,3232.84413715,6468.39468436,9780.78131068,74709.96790661
belford roxo,398519.95917344,127224.54350163,4525.35457495,10357.17783314,22102.19702172,234310.686242
bom jardim,21942.53445849,8589.90948164,573.23472342,905.94395488,1279.86933244,10593.57696611
bom jesus do itabapoana,30928.78483776,12720.91810142,890.63885899,1206.68937795,2193.92176975,13916.61672965
cabo frio,159205.64915749,53414.54627046,2722.29594987,7516.84783225,7743.99903658,87807.96006833
cachoeiras de macacu,46837.41500082,16575.99863865,532.98982691,1703.05532174,2531.79023584,25493.58097768
cambuci,13076.49195488,5562.8336473,272.16497453,535.02875752,1023.99772948,5682.46684605
campos dos goytacazes,396965.8908216,141846.37255463,6312.66476355,12694.8560693,24069.93794384,212042.05949028
cantagalo,17133.44523274,6175.26212008,420.0680612,704.5813295,1056.58502902,8776.94869294
carapebus,11444.80199498,4088.90742526,83.04184923,429.77413744,531.56601262,6311.51257043
cardoso moreira,10964.24402175,4784.34396517,112.49842009,453.68052508,780.0956024,4833.62550901
carmo,15008.1658549,5211.22951403,400.50930086,723.74321861,963.42255027,7709.26127113
casimiro de abreu,30031.16503615,9509.8176937,545.69442786,1510.22270899,1638.60789137,16826.82231423
comendador levy gasparian,7070.00082312,2362.16009693,139.18670012,335.95296719,465.06431034,3767.63674854
conceicao de macabu,18094.4533287,6441.35877014,334.35063082,708.86212903,962.30513924,9647.57665947
cordeiro,17796.24496091,6230.82919144,432.5054259,825.4224352,1275.24421814,9032.24369023
duas barras,9345.05539508,3078.87008062,160.39610279,404.85431979,509.68536441,5191.24952747
duque de caxias,729833.96712638,240440.01816247,10238.16776344,24309.13919618,40528.03488893,414318.60711536
engenheiro paulo de frontin,11716.57627036,3718.94528618,265.45753859,515.40575301,928.8697737,6287.89791888
guapimirim,43567.8400687,12145.00555883,527.43431764,1360.67378752,2338.14340147,27196.58300324
iguaba grande,19907.44984683,7113.7334914,333.39995318,1020.90974503,1200.55389745,10238.85275977
itaborai,187193.07040446,62452.52238519,2876.52051709,7679.20600509,10150.74826855,104034.07322854
itaguai,92461.60868957,31629.80654648,1396.24257463,3940.56022471,4817.65661388,50677.34272987
italva,12318.92634053,5625.01619742,336.72151674,449.29330513,903.37389795,5004.52142329
itaocara,20236.96855816,8773.15118448,346.25972825,978.82191471,1489.67488761,8649.06084311
itaperuna,83852.79498233,36457.83806044,1950.89713195,3793.28351143,5369.31786683,36281.45841168
itatiaia,24655.70963633,8347.21235655,810.71731276,1025.61227504,1488.93146961,12983.23622237
japeri,80235.98999622,24129.97140781,750.92342506,1950.58133932,4126.38432153,49278.1295025
laje do muriae,6474.38829389,2433.16876898,128.10391067,182.99375634,424.19640566,3305.92545224
macae,175803.16494738,60971.94528774,2790.0169982,6645.55070628,6810.64597464,98585.00598052
macuco,4453.87786265,1688.50428541,111.32417523,145.41386323,320.90581276,2187.72972602
mage,192827.82468096,59035.62368922,2486.36212526,6538.37915012,11442.84227005,113324.61744631
mangaratiba,31596.54453011,10765.99993552,387.99123006,1601.39596477,1797.45752311,17043.69987665
marica,111227.53998929,37912.91083207,1940.52516942,5694.76646392,6316.35414836,59362.98337552
mendes,15877.27859018,5309.70900104,292.68010436,740.51009031,1259.24649323,8275.13290124
mesquita,144966.68840507,47976.50606936,2259.08309744,5219.63662316,9431.94378661,80079.5188285
miguel pereira,21623.33348991,7015.06892514,514.69398686,1098.23462946,1379.115369,11616.22057945
miracema,23182.8833884,8219.95233232,369.78435441,703.14804127,1714.89083333,12175.10782707
natividade,13154.24723053,5135.72256919,323.14405898,519.70411311,948.78257568,6226.89391357
nilopolis,137413.79985327,46321.01110367,2239.82669519,5890.92621378,10399.49872457,72562.53711606
niteroi,437702.45635077,152460.51477748,9992.59020902,23360.38294561,30393.34583104,221495.62258762
nova friburgo,159910.49889983,59353.86101799,3722.01704526,7771.45326879,10390.66363587,78672.50393192
nova iguacu,681292.40475637,220001.84969433,8491.29370212,23434.29073809,43002.70982596,386362.26079587
paracambi,42143.49230353,15488.15429606,684.21965539,1447.02896714,2684.67600674,21839.4133782
paraiba do sul,35512.5280659,11679.20930803,668.32680613,1529.46103916,2384.05429642,19251.47661616
paraty,31560.75183278,8832.5207536,853.47213702,1095.19032381,1526.18826488,19253.38035347
paty do alferes,22620.51722246,8091.07087543,347.86995126,755.54891955,1414.07655286,12011.95092336
petropolis,259263.94133111,91588.2954561,6075.97593061,12690.60976394,17291.22378362,131617.83639684
pinheiral,19669.81866748,6663.98922111,643.00932455,824.81142431,1131.33803318,10406.67066433
pirai,22936.26335788,8112.17975092,411.29028282,728.75716637,1256.59588941,12427.44026836
porciuncula,15216.28874612,5536.18374287,449.85949114,617.42297567,1000.15934252,7612.66319392
porto real,14052.47148512,4827.80288821,323.49469466,525.67741278,674.7017121,7700.79477737
quatis,10923.02504495,3433.52061893,229.18925878,422.33240932,722.43814482,6115.5446131
queimados,116681.30795649,38075.64907158,1325.5250138,3510.81523884,6134.01038885,67635.30824342
quissama,17232.46560881,4329.58794264,198.59831586,596.00516481,859.64094537,11248.63324013
resende,103480.06091533,37720.09777165,2315.0888303,4553.13252327,5566.44899254,53325.29279757
rio bonito,48315.60568868,18060.14582082,820.6469043,1385.01995635,2634.27295801,25415.5200492
rio claro,14998.68904037,5094.82562888,174.80231384,426.65453075,1050.33020792,8252.07635898
rio das flores,7340.6223578,2300.03432208,144.16131467,260.13110011,437.66112338,4198.63449756
rio das ostras,89706.93399638,32124.95889667,1682.1330629,4431.48714652,3482.03921374,47986.31567655
rio de janeiro,5559922.76053426,1814699.34182328,102371.23492685,250296.77369044,374768.08398552,3017787.32610817
santa maria madalena,8927.10693047,2935.35413929,167.74839209,326.35169766,613.40092726,4884.25177417
santo antonio de padua,35420.39079293,14194.6210942,735.35767725,1951.19860207,2358.84217603,16180.37124338
sao fidelis,32783.75880683,13754.69050342,830.692812,1531.64793256,2198.41813673,14468.30942212
sao francisco de itabapoana,35274.05174645,10817.24211358,336.8392178,758.42596854,1705.32765045,21656.21679608
