city,total,has_children,children_born,children_borned_live,children_borned_dead
acari,4921.02496431,3168.5330896,11449.03835024,11070.48842633,378.54992395
acu,22855.97632105,14648.6179004,52234.40707624,49935.74181527,2298.66526099
afonso bezerra,4448.06597491,2983.16473239,13520.50230003,12805.94246155,714.55983846
agua nova,1262.73929881,502.25470169,1825.24749789,1733.68787587,91.55962203
alexandria,5910.59717485,3956.01644237,15374.39112313,15060.20149394,314.18962921
almino afonso,2004.99479451,1351.72954585,5224.35815463,5133.65646986,90.70168478
alto do rodrigues,5140.49421218,3407.4672205,11988.26328662,11358.33739922,629.92588739
angicos,4987.34362001,3159.05172772,12274.01206865,11714.33484747,559.6772212
antonio martins,2896.68779589,1920.69486073,8076.83131086,7892.54379438,184.28751646
apodi,15173.69291228,9891.61039382,37446.36865619,36026.36813874,1420.00051749
areia branca,11192.64083493,7321.94424836,24626.76249887,23386.15149823,1240.61100063
ares,5413.20358455,3486.16837586,13342.88366644,12749.80905984,593.07460665
augusto severo,3847.05709435,2453.95871961,9990.86956645,9524.28129447,466.58827202
baia formosa,3487.71105862,2311.33304811,9069.90638471,8757.51412261,312.39226213
barauna,9633.21145239,6521.4995406,26531.73042045,24552.19588803,1979.53453245
barcelona,1625.83792816,1036.23827299,4895.18967796,4765.07932015,130.11035778
bento fernandes,2035.36730764,1249.06191182,5763.85123338,5532.83344381,231.01778954
bodo,962.60054956,623.54851375,2499.32395675,2376.61694282,122.70701396
bom jesus,3919.11811302,2572.82770511,11219.95996647,10730.9110211,489.04894537
brejinho,4820.20088746,2995.48372749,12748.85680942,12151.64820547,597.20860393
caicara do norte,2395.84433097,1641.02945412,7085.36204345,6411.49328617,673.86875727
caicara do rio do vento,1403.72681592,873.02913738,3599.95606296,3512.25904519,87.69701774
caico,28138.21838898,17783.65319731,58687.70832789,55969.83429497,2717.87403289
campo redondo,4347.97891995,2698.64634099,11852.83195691,11292.56670083,560.2652561
canguaretama,12438.48035961,7807.88039552,31687.92010361,29649.32593124,2038.59417243
caraubas,8598.17571413,5856.8006939,22158.14845336,20908.61241645,1249.53603689
carnauba dos dantas,3160.99463034,2112.06092413,7544.04901712,7255.6172957,288.4317214
carnaubais,4017.60206473,2659.3483798,10781.5512843,10106.70506588,674.84621838
ceara-mirim,28518.26682113,17766.4327434,68734.69396208,65649.32754615,3085.3664159
cerro cora,4572.35910527,2886.24721688,13044.50174352,12509.36825471,535.13348881
coronel ezequiel,2230.36684156,1480.04292221,6487.27109414,6224.45763417,262.81345993
coronel joao pessoa,1988.10851168,1248.18275224,6538.48775095,6170.99331666,367.49443424
cruzeta,3536.50086685,2263.4602905,8161.30780211,7858.71413538,302.59366672
currais novos,19267.83763333,12325.44166511,45066.45829666,42369.8741696,2696.58412707
doutor severiano,2757.07668151,1640.44749748,7774.19319111,7530.01379812,244.179393
encanto,2269.4179963,1400.333817,6154.97707864,5977.44429973,177.53277889
equador,2386.45981528,1581.92913566,6904.75940356,6374.14659152,530.61281204
espirito santo,4292.56050186,2668.59835767,12746.23985885,12478.538211,267.70164786
