city,total,married,separated,divorced,widow,single
alta floresta d'oeste,20434.28282562,7893.07296697,211.88978419,691.38205896,645.32981623,10992.60819927
alto alegre dos parecis,10425.34322008,3999.99676016,162.22554149,332.321552,412.4869146,5518.31245183
alto paraiso,14004.76505194,4706.83048826,197.87021044,410.00835815,499.50784856,8190.54814653
alvorada d'oeste,14059.094393,5896.02310679,225.31351803,362.57294797,561.43463899,7013.75018122
ariquemes,74725.02004455,22518.25779358,915.16253054,2648.47990536,2697.98058258,45945.13923249
buritis,26102.83775887,10686.358394,493.29589133,659.27305431,626.71145749,13637.19896174
cabixi,5290.93734991,2322.64430812,92.42228236,190.04777523,239.32381195,2446.49917225
cacaulandia,4694.42642247,1776.74071689,53.25100213,119.14922702,125.90859701,2619.37687942
cacoal,66375.89697055,28041.39762436,1173.07682127,2771.61463441,2388.79922358,32001.00866693
campo novo de rondonia,10084.44772129,3878.94550996,62.23168586,186.55002586,193.30905904,5763.41144057
candeias do jamari,15803.16392918,4467.60621249,130.12366002,328.11381226,498.43391887,10378.88632554
castanheiras,3033.90702817,1224.16915367,37.29986227,84.66420613,138.0162631,1549.757543
cerejeiras,14453.92147721,6020.9700655,268.8090278,552.28266014,619.71022549,6992.14949828
chupinguaia,6699.28678327,2223.83029799,103.03848277,160.50534443,141.5975037,4070.31515438
colorado do oeste,15768.88266053,6795.46408092,231.99029702,545.92692271,815.09138575,7380.40997413
corumbiara,7419.16088952,3084.5377084,135.7546184,201.22500909,193.62305209,3804.02050154
costa marques,10775.08495793,2939.10616627,60.96702874,165.56851372,258.51597504,7350.92727416
cujubim,12508.12474528,3830.69752125,92.47548961,386.44223408,243.22340526,7955.28609508
espigao d'oeste,23896.73954938,8767.43167873,462.24706882,969.63100967,969.93063361,12727.49915855
governador jorge teixeira,8706.4651923,3635.22176394,88.41934769,200.04350098,307.21113075,4475.56944894
guajara-mirim,33017.19823123,7055.99311151,184.52156052,606.51324227,1178.03584311,23992.13447382
itapua do oeste,6886.69728983,1855.04905799,104.42790085,142.21984142,264.34246253,4520.65802704
jaru,43209.98130091,17056.83009124,879.81074868,1262.3089711,1900.74028418,22110.29120571
ji-parana,97570.77920113,35507.05304622,1582.45418481,3908.37397437,3563.99583924,53008.90215649
machadinho d'oeste,25126.06194553,8500.9514357,364.74719713,814.30198104,909.38863451,14536.67269715
ministro andreazza,8531.42962014,3927.31743827,106.16113838,178.83880328,299.95482204,4019.15741817
mirante da serra,9809.31247114,3813.54367451,99.52457263,288.20026641,446.82133922,5161.22261837
monte negro,11419.00355185,4441.76868812,80.57489795,320.35334598,370.05919271,6206.24742709
nova brasilandia d'oeste,16720.41242119,7072.55762496,138.91003563,387.77904834,599.62732731,8521.53838495
nova mamore,17777.65236561,5867.21617096,259.68576935,465.84104946,481.83771924,10703.0716566
nova uniao,6228.46277361,2461.88212201,46.55126585,168.77936489,245.52420451,3305.72581635
novo horizonte do oeste,8627.51984988,3985.35338575,102.04696193,184.22089919,306.62881414,4049.26978887
ouro preto do oeste,31909.79610006,11882.00532107,441.40437145,1256.59828292,1269.7246,17060.06352462
parecis,3906.22808102,1446.34266313,40.45636288,106.55149215,118.44632527,2194.43123759
pimenta bueno,28322.19639968,9600.63056317,411.05886627,1257.2612377,1202.50949304,15850.7362395
pimenteiras do oeste,1852.59494443,541.83360914,12.20573423,62.38414459,39.97818559,1196.19327088
porto velho,356825.90823468,93515.63283597,3654.81752224,10196.29389429,9562.23096834,239896.93301384
presidente medici,18859.57360912,8048.70740334,282.37357953,617.46966733,736.30343157,9174.71952735
primavera de rondonia,2977.2847967,1269.85160384,22.44305889,98.14552179,145.67607043,1441.16854175
rio crespo,2721.46462954,1029.43400422,24.87261181,71.4467783,93.15291328,1502.55832193
rolim de moura,42659.61868089,16162.21251702,671.13896148,1788.11492402,1806.79718279,22231.35509558
santa luzia d'oeste,7559.28714322,3188.03920453,97.7983968,276.39411416,248.66630537,3748.38912236
sao felipe d'oeste,5114.14003876,2461.82919992,56.07881595,111.0446699,181.19089272,2303.99646027
sao francisco do guapore,12951.67584601,4736.79097658,134.09725493,338.57628551,316.27363358,7425.93769541
sao miguel do guapore,17892.53919841,7658.99405363,161.61791022,456.36426356,530.39056521,9085.17240579
seringueiras,9524.01510528,4425.12075637,63.46060263,197.41645486,263.44254605,4574.57474537
teixeiropolis,4138.47291906,1826.71173377,26.35077545,102.72223194,218.15134449,1964.53683341
theobroma,8773.94107793,3574.82561431,118.95870696,217.26844787,341.27491293,4521.61339586
urupa,10812.83667471,4645.04286371,115.53087654,278.90227904,397.71643262,5375.6442228
vale do anari,7633.19675046,3151.45125706,51.66552485,242.85682806,249.20745859,3938.0156819
vale do paraiso,6905.6829941,2932.50816596,129.23489145,146.03254876,253.30698547,3444.60040246
vilhena,63429.70730462,21314.21018866,1188.29085162,2713.6537614,2415.79482837,35797.75767457
