city,total,has_children,children_born,children_borned_live,children_borned_dead
alto alegre,5365.38402515,3218.30074608,12275.50333812,11688.88840945,586.6149287
amajari,2946.51862067,1881.79671175,7414.33998461,7283.42000932,130.91997531
boa vista,116626.27810965,69964.54028747,222264.19895877,212680.81695193,9583.38200677
bonfim,3548.59794098,2271.45612512,9723.73068052,9432.3756821,291.35499843
canta,4725.56388269,2725.76586214,11091.96456058,10728.11356222,363.85099832
caracarai,6641.69561486,4083.57440996,16797.09853619,16076.90771857,720.19081758
caroebe,2903.86191075,1945.48839491,7757.6791881,7263.98471235,493.69447576
iracema,3155.52058998,1551.68936819,5707.89508554,5391.0679417,316.8271439
mucajai,5316.78850372,3401.99604043,13444.96137736,12701.40503624,743.55634117
normandia,2826.77569671,1257.49651934,5168.6910811,5065.7384448,102.95263628
pacaraima,3559.55914272,2224.48575526,9190.75483092,8861.5087307,329.24610026
rorainopolis,8830.46608156,5407.6471754,20815.80214683,20015.96743448,799.83471229
sao joao da baliza,2514.68213842,1547.96863046,6024.6787753,5697.22017937,327.45859593
sao luiz,2639.57655753,1389.83984586,4831.87227477,4613.50154963,218.37072514
uiramuta,2526.67774463,1258.38702249,6100.50852138,5693.41791376,407.0906076
