city,total,married,separated,divorced,widow,single
alto alegre,11547.22536476,2285.56949984,72.24235039,76.03548291,276.28762009,8837.09041153
amajari,6432.49147189,1026.56738659,33.22180438,67.68090841,158.77238132,5146.24899119
boa vista,229759.65016904,55452.67398428,2684.55504003,6430.5504046,6444.31788883,158747.5528513
bonfim,7775.95860892,1646.94857496,31.00582101,99.90108355,114.3916939,5883.7114355
canta,10522.24057117,2748.86560071,37.44433933,134.21580406,148.50191234,7453.21291473
caracarai,14156.49621415,3064.30012133,98.7460667,208.89056499,375.15553795,10409.40392318
caroebe,6273.19514024,2018.53380456,42.00748329,183.93580925,157.90252453,3870.81551861
iracema,6766.91779733,2198.26684689,63.25280258,123.2787933,222.20871459,4159.91063997
mucajai,11689.15111289,3036.52281989,76.3667266,262.65801573,269.06466797,8044.5388827
normandia,5952.87843147,1518.21212055,36.05354278,23.15236557,124.72874325,4250.73165932
pacaraima,7425.59556974,1428.88014598,53.92233721,128.59806639,147.59159928,5666.60342088
rorainopolis,19200.35710405,6366.52094661,130.1592545,409.41068713,359.86401377,11934.40220204
sao joao da baliza,5305.49117817,1788.40451389,62.52011268,97.76961791,111.76000741,3245.03692628
sao luiz,5602.1432512,1624.65035375,90.56220367,93.67436164,140.07984559,3653.17648655
uiramuta,5268.75768564,914.96161502,3.23528238,263.86721276,102.47561353,3984.21796195
