city,total,married,separated,divorced,widow,single
adamantina,30168.83040009,12547.28020106,829.40343037,1217.81548463,2338.81264879,13235.51863524
adolfo,3136.38843819,1344.02645347,107.80261131,133.4321966,213.87839779,1337.24877902
aguai,27555.04201555,10130.86937963,707.7791398,1108.74160717,1523.66541621,14083.98647274
aguas da prata,6728.30250871,2969.27801621,135.27431416,314.42989817,464.44909795,2844.87118222
aguas de lindoia,15169.50269738,6227.89491107,447.40303903,526.21462,921.42352294,7046.56660434
aguas de santa barbara,4828.15171686,1915.02028025,141.94683118,213.8031764,282.9327786,2274.44865043
aguas de sao pedro,2440.6860865,936.15290987,53.74447598,181.05912246,233.17111893,1036.55845926
agudos,29765.70077123,12048.44759843,793.48735239,1269.96545275,1626.06878001,14027.73158765
alambari,4133.86593203,1801.36902391,67.71810925,136.10584463,231.40912154,1897.2638327
alfredo marcondes,3466.76913469,1652.84267844,74.62542951,94.63648719,251.93514757,1392.72939198
altair,3241.04188082,1101.11955983,81.39298811,97.85674911,149.06708039,1811.60550338
altinopolis,13653.53081693,6184.75438507,375.51912574,400.87840476,737.03097357,5955.34792779
alto alegre,3655.48784024,1817.6587832,49.5927304,109.51296613,227.84085895,1450.88250156
aluminio,14185.88081498,6169.71354969,402.4761021,278.8533375,618.10942083,6716.72840486
alvares florence,3544.55286418,1769.04062257,91.24192859,95.15614654,233.41911172,1355.69505476
alvares machado,20365.95220834,8990.12373806,438.37907636,844.27237166,1140.44119713,8952.73582513
alvaro de carvalho,4133.83935917,1066.87639325,62.68946252,161.64450573,204.97810464,2637.65089303
alvinlandia,2556.39938176,1083.02569787,27.25928289,95.54378428,154.83022434,1195.74039238
americana,186762.91045384,86646.22372561,4483.14528941,7673.42677953,9904.09831672,78056.01634257
americo brasiliense,29378.09431383,11532.1522069,809.9670263,908.1971378,1115.21090657,15012.56703626
americo de campos,5051.3441211,2363.86954182,206.55053665,132.89553713,370.32294119,1977.70556431
amparo,58289.41677463,23997.69737638,1500.48240372,2531.23865614,3363.32490083,26896.67343756
