city,total,has_children,children_born,children_borned_live,children_borned_dead
amparo de sao francisco,939.07969941,598.92682429,2529.54775152,2443.92731976,85.62043174
aquidaba,8569.64058303,5403.33567752,22385.31848583,21685.33457983,699.98390599
aracaju,266052.04869587,155046.75612284,457813.91550023,437567.73782455,20246.17767572
araua,4394.92293081,2714.00023389,11205.36699821,10756.10369826,449.26329995
areia branca,6843.27946427,4288.16624461,18653.57718488,17523.70557119,1129.87161368
barra dos coqueiros,10580.91901942,6188.39652449,20198.5477923,19068.24467514,1130.30311718
boquim,10832.61206442,6796.55145018,27492.5129755,25754.3600452,1738.15293033
brejo grande,3033.03938015,1987.15249483,9935.10268385,9458.38427251,476.71841131
campo do brito,7177.66266224,4729.24022276,18741.12438781,17530.03668047,1211.08770736
canhoba,1531.98469594,955.03150789,4830.29507922,4698.27878233,132.01629689
caninde de sao francisco,9776.38118348,6040.08359147,25607.79136359,24524.5440343,1083.2473293
capela,12629.74619198,7613.60587474,30788.96722854,28892.8065149,1896.16071359
carira,8269.07376112,5288.1139301,22237.76187625,20815.52954278,1422.23233347
carmopolis,5545.0809658,3443.74337362,11398.12313812,10864.9728387,533.15029939
cedro de sao joao,2406.94291714,1567.89283781,5960.35110987,5767.83902544,192.51208444
cristinapolis,6533.53596567,3898.89647093,16094.52896946,15366.65306524,727.87590425
cumbe,1624.5510635,1054.13366764,4628.10589125,4483.62954966,144.47634157
divina pastora,1717.69864425,1086.94062437,4351.70017532,4214.34424552,137.35592978
estancia,27796.83175747,17027.7058925,64693.81126365,59811.74668454,4882.0645792
feira nova,2206.66026268,1434.15133217,6239.55524293,5971.35178047,268.20346244
frei paulo,6004.59702314,3667.39691039,14507.21571406,13895.52525447,611.69045965
gararu,4466.79895337,2826.61424054,12481.19923397,11811.12623126,670.07300276
general maynard,1249.75595814,758.72996389,2660.53370799,2596.90718899,63.62651902
gracho cardoso,2307.38482553,1488.69371646,6263.91641768,6025.57829825,238.33811945
ilha das flores,3344.14303152,2169.01469686,9560.57391621,8921.31542211,639.25849405
indiaroba,6112.27738859,3744.27531748,17712.77884902,16663.65290691,1049.12594218
itabaiana,37702.01180559,22995.96434485,80292.12357939,75634.090035,4658.0335444
itabaianinha,15723.36059283,9559.13525122,42706.7654348,39979.05479684,2727.71063782
itabi,2113.48296938,1352.43654277,5935.66765274,5838.32018902,97.34746374
itaporanga d'ajuda,12499.57313777,7757.26906085,31222.18106115,29613.88457273,1608.29648838
japaratuba,6999.3865184,4352.47591295,17361.82963464,16571.47873544,790.35089922
japoata,5200.59577474,3357.45639233,15012.29844155,14106.04629388,906.25214769
lagarto,40767.17045955,25164.16286888,101240.02247936,95140.25935397,6099.76312541
laranjeiras,11324.17992339,6323.91292792,22576.54015267,21347.16427033,1229.37588237
macambira,2751.22949132,1714.28932608,7002.64671559,6657.78027113,344.86644452
malhada dos bois,1401.71765578,887.89904209,3552.04264349,3435.40568327,116.63696025
malhador,4951.52981201,3197.66117844,12739.69850296,12251.21793685,488.48056614
maruim,6761.34102864,4359.11351594,15966.24750721,15223.24809633,742.99941087
moita bonita,4761.44746039,2937.92592907,11895.49652218,11459.43261087,436.06391135
monte alegre de sergipe,5358.40526928,3385.50887471,14155.70424381,13388.3645805,767.33966325
muribeca,3063.49945268,1907.98775729,8325.07573128,7903.77975612,421.2959752
neopolis,7695.06030853,4789.47867079,19806.70499647,18908.09836411,898.60663234
nossa senhora aparecida,3568.2706387,2214.16725826,9374.3546896,9023.56685698,350.78783259
nossa senhora da gloria,13641.28260144,8422.24821465,34385.83904877,32615.21949214,1770.61955664
nossa senhora das dores,10318.94862892,6474.43860127,26636.87475153,25077.88923973,1558.98551179
nossa senhora de lourdes,2550.61730929,1542.923446,6426.36514555,6081.24472814,345.12041739
nossa senhora do socorro,68296.97998789,42014.86620049,131294.11793801,124711.25343266,6582.86450527
pacatuba,5186.53093772,2897.31336574,13203.27901091,12389.66032221,813.61868873
pedra mole,1266.08611187,835.08794398,3547.14425828,3344.95441247,202.18984578
pedrinhas,3701.59616448,2276.61482561,9560.41368241,8924.61116714,635.8025153
pinhao,2562.63740022,1678.72547499,6903.59703763,6463.19370784,440.40332974
pirambu,3385.18348126,2155.25596188,8697.74970392,8333.09725973,364.6524442
poco redondo,11856.15170877,6856.41901664,30596.4629694,29013.95817194,1582.50479747
poco verde,9356.79569393,5530.65752567,25444.93163076,24066.55291288,1378.37871789
porto da folha,10722.45160863,6810.12462245,32199.56410526,30607.79570491,1591.76840029
propria,12233.34392298,7628.55834559,28659.00131399,27080.37915039,1578.62216353
riachao do dantas,7956.00719886,4520.58683552,21145.31516333,19793.8799515,1351.43521191
riachuelo,3865.36166237,2490.89898683,9318.27971079,9021.37448181,296.905229
ribeiropolis,7458.55213049,4557.27345322,18382.74132261,17627.79115252,754.9501701
rosario do catete,3886.34632216,2471.89222176,8815.32448947,8264.19029757,551.13419188
salgado,8110.14008388,4754.99973196,20917.46748962,19595.79055875,1321.67693091
santa luzia do itanhy,4948.10292769,2865.00270605,12972.69549784,12389.92054421,582.77495364
santa rosa de lima,1527.36894823,986.51040221,4406.3420981,4007.84028628,398.5018118
santana do sao francisco,2848.59813314,1795.19809563,7990.60281545,7779.95173612,210.65107926
santo amaro das brotas,4760.99714902,3106.12596629,12768.77047055,12059.13104813,709.63942237
sao cristovao,33670.9277121,21082.50001727,70539.80931107,66541.82278377,3997.98652731
sao domingos,4274.17384265,2802.224559,11634.07601776,10748.0227844,886.05323335
sao francisco,1386.54136591,920.65583063,3827.89183323,3698.83789601,129.05393719
sao miguel do aleixo,1552.53439079,920.09174619,4283.83975264,4119.64611539,164.19363734
simao dias,16664.42191612,10301.39146948,39816.15327276,37490.11195046,2326.04132238
siriri,3264.9197643,2014.82169479,8461.32809376,8033.5696533,427.75844046
telha,1239.51443781,765.81565829,3350.80918433,3215.38163475,135.42754961
tobias barreto,20672.953795,12381.34663842,50595.72730701,47507.50152934,3088.2257776
tomar do geru,5129.50903414,3045.27387257,13930.11085412,13175.11398985,754.99686433
umbauba,9375.65788442,5794.24847802,22145.19816669,20991.15911679,1154.03904992
