city,total,married,separated,divorced,widow,single
abreulandia,1886.92641075,561.32294851,11.35550285,27.26599027,50.77132308,1236.21064604
aguiarnopolis,3996.87469844,1267.29841855,23.981075,75.93049285,113.80981589,2515.85489615
alianca do tocantins,4749.48961144,1249.80509365,44.04447683,111.46758495,251.2882429,3092.88421311
almas,6061.4613576,1473.83462001,36.86986025,64.5824019,245.65269221,4240.52178323
alvorada,6968.25095616,2093.15485807,125.79953243,215.69554746,322.58055837,4211.02045983
ananas,7940.26813978,2542.88120591,52.26988604,151.95881834,356.94053848,4836.21769101
angico,2562.8170676,858.92090871,43.59466346,33.86397337,104.21562988,1522.22189218
aparecida do rio negro,3376.31127598,1162.40473229,45.54744236,48.61709736,133.70075281,1986.04125116
aragominas,4762.21801578,1589.26356335,71.2182144,84.38524904,185.95996267,2831.39102632
araguacema,5070.46075258,1653.74968667,39.59524504,154.19140111,200.12803978,3022.79637998
araguacu,7494.37090291,2697.98146614,109.19457595,249.52922588,389.81618357,4047.84945137
araguaina,124534.84159403,39178.24992048,1571.08808164,3606.08224757,4362.74997525,75816.67136909
araguana,4015.96879288,1057.15559818,46.83705131,89.89759077,122.99258845,2699.08596417
araguatins,24677.87219595,7550.70410585,178.29551188,404.27038962,1081.98452843,15462.61766017
arapoema,5557.33429225,1582.04256317,29.09296973,122.70462916,243.04873033,3580.44539986
arraias,8805.40466196,2318.9927926,134.88493914,151.83259035,359.56168815,5840.13265172
augustinopolis,12846.05896583,4058.48066136,142.64983527,170.8243097,602.72407245,7871.38008705
aurora do tocantins,2854.8857448,903.94906145,18.452219,32.75506711,134.24362015,1765.48577709
axixa do tocantins,7320.45688478,2216.05222797,154.29246594,60.83960956,384.39934911,4504.8732322
babaculandia,8703.94755637,2513.39993062,12.23220178,134.18899458,327.250224,5716.87620539
bandeirantes do tocantins,2488.79672576,874.31485141,65.13471344,32.83785682,77.15155292,1439.35775117
barra do ouro,3203.06004096,819.8730731,15.77171817,29.09769402,98.59409804,2239.72345763
barrolandia,4457.99608675,1310.1877615,61.24260255,133.5563097,199.26657097,2753.74284203
bernardo sayao,3672.59193199,1255.54083225,35.75154974,92.1040181,103.1853057,2186.0102262
bom jesus do tocantins,2991.79312157,734.76983532,56.67715977,34.52032755,78.3299369,2087.49586203
brasilandia do tocantins,1674.94828937,586.50736797,7.08130943,42.8629015,59.71888332,978.77782715
brejinho de nazare,4228.48618551,1298.05847777,37.83758566,113.16920165,188.59298413,2590.8279363
