city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
acre,24.49,16.5,13.92,5.43,26.62,17.32,54.3,46.16
ate 5.000 ,47.28,27.61,36.61,20.92,49.79,29.86,79.67,48.78
santa rosa do purus,56.84,27.61,46.12,20.92,58.43,29.86,89.52,48.78
de 5.001 a 10.000 ,42.82,26.93,29.23,10.87,48.58,30.36,70.56,61.01
assis brasil,29.05,21.71,15.87,8.95,31.08,22.27,68.14,59.15
bujari,38.77,24.91,19.9,7.35,46.14,27.18,71.99,56.25
capixaba,37.72,21.78,25.32,5.57,40.63,23.81,61.07,51.14
jordao,60.66,26.87,50.11,10.92,65.64,34.27,87.28,70.95
manoel urbano,45.76,32.5,36.01,17.63,49.65,34.97,68,69.42
porto walter,51.61,34.22,38.63,13.97,58.96,42.52,81.46,74.21
de 10.001 a 20.000 ,27.06,22.69,13.84,7.54,30,24.96,56.3,54.16
acrelandia,26.69,15.64,11.89,3.1,30.54,16.03,61.15,47.42
epitaciolandia,24.62,16.31,10.89,3.91,27.06,16.76,56.08,46.49
mancio lima,31.64,23.79,18.31,6.78,37.88,27.41,59.89,59.78
marechal thaumaturgo,52.63,34.39,31.94,13.39,67,44.46,83.52,80.82
placido de castro,24.74,18.45,11.24,5.36,27.9,18.91,54.28,46.83
porto acre,31.42,23.5,16.63,6.3,34.8,24.42,62.93,58.19
rodrigues alves,49.85,31.26,38.57,12.08,55.58,37.02,73.19,68.63
xapuri,29.36,22.24,18.65,8.71,30.88,23.51,51.16,47.79
de 20.001 a 50.000 ,42.34,26.14,29.07,9.37,47.46,29.4,68.27,60.57
brasileia,24.51,18.1,12.12,4.29,27.37,19.02,50.73,49.84
feijo,52.59,34.72,39.27,15.39,58.23,40.72,76.56,70.15
sena madureira,34.03,24.75,20.89,9.16,38.29,27.31,62.86,60.34
senador guiomard,26.16,17.7,11.79,3.38,28.56,18.03,61.36,50.22
tarauaca,41.49,31.13,28.2,10.26,46.81,37.62,66.87,68.82
de 50.001 a 100.000 ,28.45,18.52,15.37,4.8,32.8,20.36,61.88,52.5
cruzeiro do sul,28.45,18.52,15.37,4.8,32.8,20.36,61.88,52.5
de 100.001 a 500.000 ,14.01,9.03,5.21,2.19,15.01,8.59,43.5,33.58
rio branco,14.01,9.03,5.21,2.19,15.01,8.59,43.5,33.58
mais de 500.000 ,-,-,-,-,-,-,-,-
