city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
acre,44.34,31.26,46.64,30.89,30.24,16.96
ate 5.000 ,71.13,35.98,76.78,68.5,63.01,24.77
santa rosa do purus,76.48,35.98,79.63,68.5,66.85,24.77
de 5.001 a 10.000 ,65.69,47.5,75.18,56.01,55.29,33.31
assis brasil,47.08,42.73,46.19,45.7,34.16,27.42
bujari,62.06,36,67.65,46.63,48.43,22.05
capixaba,54.71,33.72,76.77,45.76,45.93,18.29
jordao,81.1,46.97,91.43,70.34,76.26,39.5
manoel urbano,70.59,53.77,65.2,44.73,53.43,32.99
porto walter,73.21,61.03,73.37,70.09,60.68,47.64
de 10.001 a 20.000 ,45.08,37.71,59.91,47.79,32.96,23.72
acrelandia,44.5,22.29,68.22,48.63,36.66,15.69
epitaciolandia,40.99,23.66,47.83,29.07,26.38,9.07
mancio lima,54.18,37.05,94.19,35.42,52.2,17.18
marechal thaumaturgo,77.25,59.53,92.58,74.26,73.16,50.36
placido de castro,41.34,27.29,58.25,40.34,28.63,12.96
porto acre,47.33,31.92,61.3,45.35,32.48,15.69
rodrigues alves,69.84,50.92,74.62,58.27,58.21,34.77
xapuri,48.73,33.55,51.27,39,33.11,19.27
de 20.001 a 50.000 ,67.43,47.03,71.79,47.44,55.42,30.19
brasileia,42.87,29.25,61.36,34.76,34.18,15.34
feijo,76.47,59.92,80.71,59.19,67.99,42.81
sena madureira,58.58,39.65,66.42,40.02,45.32,23
senador guiomard,42.89,27.43,50.22,31.7,27.34,12.86
tarauaca,68.48,56.73,69.32,54.58,54.56,37.89
de 50.001 a 100.000 ,50.89,35.69,67.02,34.41,40.64,18.44
cruzeiro do sul,50.89,35.69,67.02,34.41,40.64,18.44
de 100.001 a 500.000 ,25.64,14.46,15.5,6.45,7.39,2.25
rio branco,25.64,14.46,15.5,6.45,7.39,2.25
mais de 500.000 ,-,-,-,-,-,-
