city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
alagoas,33.39,24.32,20.57,7.69,35.23,25.67,62.33,54.1
ate 5.000 ,44.92,34.81,26.99,10.12,49.59,37.77,73.72,68.52
belem,40.68,33.33,20.31,9.12,43.58,34.07,75.47,67.99
feliz deserto,42.86,33.5,26.72,10.2,46.5,39.08,66.67,62.2
jundia,46.71,33.73,29.27,8.67,52.89,38.3,76.78,69.53
mar vermelho,39,29.99,17.98,5.62,42.7,28.87,74.54,66.44
olho d'agua grande,52.53,41.97,35.4,14.35,58.34,46.13,77.99,76.92
pindoba,50.29,35.29,34.48,11.48,55.09,39.74,70,63.95
de 5.001 a 10.000 ,43.48,33.21,27.06,10.64,47.26,36.7,72.58,66.74
barra de sao miguel,36.17,23.71,21.52,7.56,42.99,27.78,58.82,49.32
belo monte,47.89,38.11,35.15,11.25,51.5,45.41,66.48,68.85
campestre,39.34,32.41,21.88,10.45,43.49,34.95,68.91,68.6
campo grande,53.03,39.27,35.97,11.94,57.48,45.59,80.36,72.45
carneiros,39.43,29.96,19.92,10.19,42.41,32.63,72.33,63.03
cha preta,44.57,35.51,27.49,12.46,49.69,38.74,74.49,68.75
coqueiro seco,35.7,28.23,21.46,9.34,36.66,29.8,64.74,59.15
jacare dos homens,43.99,28.12,31.98,8.43,45.72,31.35,73.13,57.64
jacuipe,48.5,30.82,33.1,9.1,52.59,35.32,73.79,64.13
japaratinga,39.01,29.67,25.13,12.86,42.26,31.86,70.97,62.05
jaramataia,46.29,39.17,24.73,9.35,52.6,46.16,83.2,78.65
minador do negrao,50.89,43.89,36.26,15.11,54.92,48.23,77.06,77.93
monteiropolis,47.29,37.49,30.77,14.09,50.8,40.79,76.25,72.82
olho d'agua do casado,48.27,35.08,29.96,11.27,53.71,40.94,75.95,71.02
palestina,38.58,34.56,18.64,11.08,42.36,36.51,74.55,70.54
paulo jacinto,40,32.0,19.45,9.05,43.16,33.12,72.86,66.17
porto de pedras,51.8,32.26,37.82,12.02,56.07,35.67,73.84,61.43
roteiro,49.53,38.03,33.95,12.58,56.21,43.99,77.39,74.57
santa luzia do norte,29.83,23.13,16.71,7.01,32.25,23.62,61.27,54.09
sao bras,43.14,34.7,22.58,8.48,48.35,38.28,71.8,66.67
sao miguel dos milagres,38.45,28.59,26.85,10.57,38.65,30.4,67.05,56.78
tanque d'arca,48.52,38.52,27.2,9.2,53.02,41.02,81.05,77.32
de 10.001 a 20.000 ,45.04,34.1,28,10.68,49,37.56,74.13,67.87
agua branca,40.73,30.92,24.86,8.87,43.77,33.72,66.57,61.1
anadia,42.01,36.16,22.82,11.49,46.85,39.91,71.41,68.43
barra de santo antonio,42.71,27.94,31.36,10.4,45.17,31.59,70.75,58.41
batalha,42.38,30.84,27.67,7.75,45.57,34.94,68.01,64.81
branquinha,54.64,41.8,38.86,14.91,61.26,49.06,84.28,80.2
cacimbinhas,50.79,40.61,33.71,12.11,53.63,45.05,74.76,71.51
canapi,52.64,40.35,33.37,13.02,57.41,46.37,80.03,71.57
capela,45.39,31.98,28.42,9.07,50.59,35.56,73.43,63.62
coite do noia,46.23,38.95,24.03,10.43,53.88,42.52,77.52,77.78
dois riachos,49.31,39.13,31.75,15.19,52.78,42.49,76.26,71.77
estrela de alagoas,49.06,40.47,25.13,11.96,54.08,41.8,80.66,75.89
flexeiras,46.48,32.2,28.81,7.04,51.56,36.34,79.21,70.99
ibateguara,49.64,38.75,30.24,12.59,54.12,42.99,80.27,74.47
inhapi,52.79,40.36,34.1,17.0,57.45,44.37,79.68,72.54
jequia da praia,-,28.05,-,8.61,-,32.2,-,58.27
lagoa da canoa,44.62,38.38,23.7,12.45,51.9,41.94,77.5,74.6
major isidoro,48.67,35.91,33.78,12.5,50.78,39.68,73.54,64.49
maravilha,44.89,30.08,25.03,8.79,52.26,32.68,72.51,61.8
maribondo,38.29,29.69,19.96,7.7,41.24,30.67,69.97,61.87
messias,38.72,29.9,25.13,8.48,41.7,32.91,71.93,69.71
novo lino,48.27,36.14,31.97,12.68,52.74,41.22,77.74,73.23
olivenca,46.53,36.66,30.45,11.75,48.49,40.8,75.66,69.02
ouro branco,37.24,30.53,20.51,8.82,40.07,33.77,70.04,61.23
pariconha,44.28,31.96,26.53,8.88,48.16,33.63,69.41,63.96
paripueira,33.12,24.19,21.49,9.61,35.68,25.73,60.73,53.07
passo de camaragibe,47.28,32.23,31.21,11.38,52.14,36.06,76.34,67.03
piacabucu,39.04,31.77,26.29,10.22,41.04,35.19,62.98,60.91
poco das trincheiras,51.03,33.63,33.72,8.46,54.88,39.06,80.38,72.63
porto real do colegio,44.36,34.5,26.99,12.43,47.57,37.5,71.88,67.0
quebrangulo,46.27,32.23,29.01,6.44,49.68,35.56,72.79,68.86
santana do mundau,50.42,38.72,32.13,13.26,54.96,43.46,81.83,76.92
satuba,22.99,18.53,13.31,7.37,23.07,18.87,56.01,46.61
senador rui palmeira,49.84,36.71,33.32,9.89,54.43,44.22,74.94,71.27
taquarana,47.48,37.95,28.05,9.44,52.83,41.45,76.74,72.25
de 20.001 a 50.000 ,42.55,32.1,26.13,10.06,46.86,35.54,73,66.8
atalaia,43.51,33.57,27.87,10.63,47.91,37.92,73.53,69.17
boca da mata,36.49,27.32,18.15,4.93,42.66,30.01,70.62,65.06
cajueiro,46.72,33.86,30.44,10.94,51.44,37.77,76.64,72.47
colonia leopoldina,41.88,34.59,22.77,10.74,46.4,38.13,75.33,71.24
craibas,50.9,39.67,32.76,12.5,55.68,45.15,80.16,76.78
delmiro gouveia,31,23.35,16.6,7.13,32.38,23.59,60.94,53.59
feira grande,49.68,38.82,32.25,12.36,54.4,43.29,79.31,74.44
girau do ponciano,50.75,35.97,32.27,10.47,56.57,41.36,79.95,73.4
igaci,47.29,38.08,26.89,11.24,52.55,41.48,78.92,70.6
igreja nova,48.7,36.97,28.68,11.19,53.93,42.32,76.49,71.14
joaquim gomes,49.85,39.68,34.14,13.86,54.37,45.35,81.87,77.96
junqueiro,41.22,32.26,21.08,7.79,47.89,36.04,72.1,68.16
limoeiro de anadia,46.65,35.1,24.44,8.74,54.79,38.77,78.29,77.22
maragogi,40.14,29.35,28.16,10.47,43.28,33.55,69.58,61.65
marechal deodoro,33.99,21.9,21.41,6.96,37.32,24.03,60.26,47.55
mata grande,50.01,38.79,35.17,14.31,52.78,43.89,74.46,67.96
matriz de camaragibe,42.42,31.47,28.53,8.91,45.4,34.87,73.64,68.49
murici,43.46,30.64,29.11,10.22,45.8,34.15,74.72,65.17
olho d'agua das flores,39.2,29.22,25.64,8.96,39.63,31.53,71.3,60.82
pao de acucar,41,30.72,25.52,8.51,44.85,34.26,64.36,62.26
pilar,37.07,24.48,24.26,8.27,39.55,25.29,67.1,56.4
piranhas,38.81,30.49,27.33,9.71,41.43,34.48,69.4,69.11
porto calvo,39.47,28.44,25.06,8.1,42.67,31.15,71.66,63.81
santana do ipanema,38.73,28.94,23.62,10.67,40.73,30.99,68.23,59.56
sao jose da laje,42.97,31.13,25.25,8.27,46.94,34.54,70.47,65.01
sao jose da tapera,50.25,37.04,30.35,11.13,55.11,42.88,80.96,74.53
sao luis do quitunde,46.58,33.85,32.96,13.99,50.39,38.29,77.25,70.1
sao sebastiao,49.8,37.41,30.84,11.07,55.15,42.36,81.51,74.74
teotonio vilela,40.57,28.87,20.26,5.95,48.72,32.97,77.19,70.18
traipu,53.13,42.76,39.11,18.97,57.02,47.95,74.57,70.39
vicosa,41.88,33.47,24.48,10.5,45.31,36.01,73.57,69.61
de 50.001 a 100.000 ,32.93,24.1,18.81,6.64,34.67,25.37,63.49,57.22
campo alegre,40.52,27.41,19.43,5.7,49.17,31.26,80.71,75.41
coruripe,36.39,23.9,22.29,5.05,40.57,27.33,66.53,57.9
palmeira dos indios,32.45,24.41,17.55,7.75,33.27,23.48,61.63,52.73
penedo,30.17,22.83,17.2,6.78,31.92,23.91,57.08,51.48
rio largo,26.99,18.3,15.54,5.4,27.19,18.24,59.81,48.74
sao miguel dos campos,32.08,21.28,17.14,4.8,36.45,23.13,62.47,55.09
uniao dos palmares,43.7,31.62,26.74,10.54,46.69,33.47,76.67,67.97
de 100.001 a 500.000 ,30.4,22.45,15.79,5.74,32.64,22.94,62.23,55.78
arapiraca,30.4,22.45,15.79,5.74,32.64,22.94,62.23,55.78
mais de 500.000 ,16.87,11.86,10.04,3.94,17.2,11.9,37.17,28.8
maceio,16.87,11.86,10.04,3.94,17.2,11.9,37.17,28.8
