city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
alagoas,21.77,26.23,55.19,59.95,23.04,13.82
ate 5.000 ,4,3.93,53.45,60.24,42.56,35.83
belem,2.66,4.99,37.52,56.87,59.82,38.14
feliz deserto,1.58,1.08,91.75,92.1,6.67,6.82
jundia,1.35,1.78,44.54,64.59,54.11,33.63
mar vermelho,18.27,15.22,25.58,37.96,56.14,46.82
olho d'agua grande,0.19,0.54,37.57,49.27,62.24,50.19
pindoba,0.15,0.13,46.73,58.36,53.12,41.51
de 5.001 a 10.000 ,9.39,10.01,51.86,67.95,38.75,22.05
barra de sao miguel,74.86,51.61,14.71,44.11,10.43,4.28
belo monte,1.71,11.83,30.73,52.96,67.56,35.21
campestre,31.66,36.27,42.81,47.96,25.52,15.77
campo grande,1.78,6.85,51.68,80.9,46.54,12.26
carneiros,-,0.2,53.73,69.59,46.27,30.22
cha preta,27.18,5.36,29.07,60.05,43.75,34.58
coqueiro seco,2.16,14.76,83.24,75.76,14.61,9.49
jacare dos homens,0.25,4.34,76.29,90.46,23.46,5.21
jacuipe,4.92,22.87,45.11,41.88,49.97,35.25
japaratinga,0.67,9.18,46.25,54.19,53.08,36.63
jaramataia,0.25,0.65,55,77.3,44.75,22.05
minador do negrao,0.74,0.48,35.72,43.7,63.54,55.82
monteiropolis,0.72,0.35,55.29,77.42,43.99,22.23
olho d'agua do casado,1.73,11.83,64.62,62.82,33.64,25.35
palestina,1.19,4.4,79.31,90.17,19.5,5.42
paulo jacinto,50.77,10.89,26.52,71.16,22.71,17.95
porto de pedras,5.39,0.85,21.64,58.37,72.97,40.77
roteiro,0.13,6.23,73.69,83.41,26.18,10.35
santa luzia do norte,5.46,2.61,85.1,93.17,9.44,4.22
sao bras,1.32,7.84,75.31,87.22,23.36,4.94
sao miguel dos milagres,0.15,5.12,74.08,86.49,25.77,8.39
tanque d'arca,2.92,1.93,47.17,54.55,49.9,43.52
de 10.001 a 20.000 ,11.21,17.21,44.77,50.88,44.02,31.91
agua branca,19.01,27.81,33.79,34.26,47.19,37.93
anadia,1.82,15.24,70.41,67.94,27.77,16.82
barra de santo antonio,1.98,22.01,78.2,71.91,19.82,6.08
batalha,5.05,15.16,71,66.32,23.95,18.52
branquinha,25.32,31.52,28.72,32.93,45.96,35.55
cacimbinhas,0.04,0.03,38.51,56.93,61.44,43.04
canapi,-,2.82,23.71,34.56,76.29,62.62
capela,32.6,42.55,32.6,39.01,34.8,18.43
coite do noia,0.04,1.07,24.47,38.72,75.49,60.21
dois riachos,0.08,0.48,43.56,52.85,56.36,46.67
estrela de alagoas,0.41,2.88,26.34,37.58,73.25,59.54
flexeiras,15.89,45.55,44.86,25.89,39.26,28.56
ibateguara,31.44,55.58,29.63,30.06,38.93,14.37
inhapi,2.32,7.28,33.9,44.57,63.78,48.15
jequia da praia,-,1.61,-,83.34,-,15.05
lagoa da canoa,0.23,4.03,55.82,70.99,43.95,24.98
major isidoro,0.75,10.13,51.95,60.95,47.3,28.92
maravilha,1.22,8.15,41.22,53.4,57.56,38.45
maribondo,44.69,50.27,24.28,34.34,31.02,15.39
messias,5.07,28.89,74.28,64.82,20.65,6.29
novo lino,14.93,17.98,36.79,39.09,48.28,42.93
olivenca,0.44,0.69,35.54,48.65,64.02,50.66
ouro branco,0.13,0.81,44.76,63.77,55.1,35.41
pariconha,1.24,2.23,39.51,70.61,59.24,27.16
paripueira,0.8,9.61,71.68,80.39,27.52,10.0
passo de camaragibe,0.24,1.58,54.85,73.2,44.91,25.21
piacabucu,1.93,37.26,91.15,58.53,6.92,4.22
poco das trincheiras,0.18,1.17,28.08,39.41,71.74,59.42
porto real do colegio,7.23,31.3,50.37,34.7,42.4,33.99
quebrangulo,3.62,11.46,58.79,54.17,37.6,34.37
santana do mundau,16.15,4.59,35.48,50.34,48.37,45.07
satuba,54.9,60.55,35.83,37.8,9.27,1.65
senador rui palmeira,1.03,2.07,34.43,43.07,64.53,54.85
