city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
alagoas,56.61,39.03,30.09,17.38,23.6,10.85
ate 5.000 ,69.49,51.41,45.43,37.58,35.5,22.85
belem,62.39,42.65,62.52,37.35,41.18,20.24
feliz deserto,68.99,47.36,7.84,8.74,7.49,5.08
jundia,71.47,56.88,61.14,37.06,48.18,22.38
mar vermelho,61.52,40.35,54.11,42.69,35.67,21.05
olho d'agua grande,76.95,61.74,68.87,54.84,57.09,38.42
pindoba,77.8,54.21,55.37,45.79,46.26,27.11
de 5.001 a 10.000 ,67.42,49.27,44.91,24.81,35.53,15.92
barra de sao miguel,60.93,37.86,16.26,6.49,14.36,3.61
belo monte,71.54,54.41,68.86,38.49,55.11,27.93
campestre,66.8,51.71,31.54,18.38,26.04,13.85
campo grande,76.63,57.75,52.77,13.9,44.81,10.7
carneiros,62.91,46.3,50.09,32.04,34.87,16.79
cha preta,69.8,50.46,52.33,41.28,41.39,25.8
coqueiro seco,56.67,47.99,19.39,10.99,14.09,8.55
jacare dos homens,68.29,45.05,34.15,6.75,28.22,3.92
jacuipe,70.99,45.33,61.2,40.85,51.34,23.69
japaratinga,62.44,46.55,57.41,42.43,42.4,26.78
jaramataia,70.08,55.36,49.37,23.54,40.61,14.77
minador do negrao,75.78,64.73,72.93,56.31,61.25,44.09
monteiropolis,71.36,60.72,52.43,31.32,41.34,22.08
olho d'agua do casado,72.52,51.46,41.21,29.04,33.45,18.62
palestina,61.3,46.48,25.32,7.72,17.79,4.63
paulo jacinto,62.19,41.53,27.38,15.73,18.86,6.45
porto de pedras,74.45,50.16,82.37,46.88,65.83,31.11
roteiro,74.06,57.34,29.84,13.01,27.18,8.32
santa luzia do norte,55.21,37.05,12.41,4.41,10.09,2.2
sao bras,67.53,47.42,28.17,7.22,23.42,4.71
sao miguel dos milagres,59.61,42.09,33.12,9.25,26.62,6.2
tanque d'arca,67.69,49.03,54.68,43.39,38.36,25.22
de 10.001 a 20.000 ,68.92,50.33,50.25,35.57,39.26,21.69
agua branca,65.51,48.25,56.34,45.78,41.8,26.38
anadia,67.15,53.96,31.56,16.54,23.88,10.2
barra de santo antonio,64.97,43.6,25.58,7.17,21.44,3.59
batalha,65.56,49.24,28.73,22.16,23.43,13.96
branquinha,78.25,59.72,49.92,34.87,42.83,23.02
cacimbinhas,75.66,56.14,69.75,46.28,58.07,31.3
canapi,79.7,59.18,83.2,66.47,68.77,43.65
capela,73.16,53.16,42.62,24.49,36.57,15.99
