city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
amapa,12.1,8.42,4.75,2.36,13.01,8.38,44.84,33.85
ate 5.000 ,18.66,11.94,8.03,2.71,21.49,13.23,51.19,39.67
cutias,17.83,11.19,7.67,2.03,20.45,12.94,54.55,40.76
itaubal,19.09,14.03,7.5,3.91,24.25,15.8,43.24,40.6
pracuuba,18.14,11.79,10.27,2.81,18.46,13.91,52.94,30.22
serra do navio,11.2,10.91,2.49,2.18,12.95,10.86,52.83,45.71
de 5.001 a 10.000 ,17.91,12.46,7.86,3.64,20.41,13.57,50.63,34.77
amapa,17.16,11.13,9.38,3.04,17.23,12.49,47.24,29.94
calcoene,16.43,12.97,6.5,3.83,19.31,14.29,42.55,34.57
ferreira gomes,17.71,13.56,6.78,4.24,19.5,13.89,51.96,41.83
de 10.001 a 20.000 ,21.86,16.48,10.12,4.48,24.67,18.3,59,50.89
mazagao,29.04,21.27,13.66,6.36,34.63,25.19,60.68,52.5
pedra branca do amapari,26.41,16.99,13.64,5.55,30.79,17.97,51.11,55.1
porto grande,20.03,12.78,7.84,3.25,22.17,13.1,60.29,46.6
tartarugalzinho,19.94,16.7,9.08,3.53,22.36,19.65,57.75,47.08
vitoria do jari,18.19,14.72,6.77,3.58,22.61,16.41,56.58,55.29
de 20.001 a 50.000 ,16.44,10.61,6.56,2.53,18.86,11.54,58.44,43.85
laranjal do jari,16.44,11.39,6.56,2.57,18.86,12.21,58.44,46.98
oiapoque,17.19,9.05,8.81,2.47,18.94,10.26,54.94,35.94
de 50.001 a 100.000 ,14.37,-,4.72,-,16.08,-,53.83,-
de 100.001 a 500.000 ,9.04,6.9,3.48,1.99,9.19,6.49,38.47,30.3
macapa,9.04,6.17,3.48,1.96,9.19,5.75,38.47,27.03
santana,14.37,9.83,4.72,2.12,16.08,9.65,53.83,42.31
mais de 500.000 ,-,-,-,-,-,-,-,-
