city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
amapa,25.72,17.66,21.79,10.94,9.37,3.8
ate 5.000 ,34.53,20.52,50.08,28.95,22.25,10.14
cutias,36.04,19,38.6,28.16,14.19,6.38
itaubal,40.68,29.59,50.54,45.12,26.52,20.99
pracuuba,33.77,21.34,71.43,32.24,28.79,10.9
serra do navio,20,11.96,36.81,9.19,10.76,2.6
de 5.001 a 10.000 ,34.66,23.8,47.43,19.17,21.35,7.81
amapa,33.04,23.69,45.23,20.5,20.44,8.32
calcoene,31.21,23.21,72.58,16.84,28.16,7.17
ferreira gomes,29.21,24.91,31.38,21.33,14.84,8.22
de 10.001 a 20.000 ,38.19,28.63,54.82,35.1,28.24,14.58
mazagao,47.95,36.05,73.63,62.15,40.84,27.78
pedra branca do amapari,44.99,27.87,72.3,29.33,36.93,14.03
porto grande,31.46,23.11,34.62,21.95,14.5,6.86
tartarugalzinho,38.38,29.18,62.29,37.36,29.36,13.42
vitoria do jari,35.09,24.81,15.9,14.17,9.31,6.7
de 20.001 a 50.000 ,30.92,18.07,19.15,15.41,9.22,3.81
laranjal do jari,30.92,20.1,19.15,6.18,9.22,2.37
oiapoque,34.03,14.47,52.29,31.76,26.72,6.35
de 50.001 a 100.000 ,30.51,-,15.67,-,6.98,-
de 100.001 a 500.000 ,20.03,15.25,13.64,4.89,4.81,1.44
macapa,20.03,13.87,13.64,4.67,4.81,1.21
santana,30.51,20.44,15.67,5.74,6.98,2.33
mais de 500.000 ,-,-,-,-,-,-
